pertumbuhan	None	growth	kasvu	None	None	None	rośnięcie	crescimento	None	rast	crecimiento	None
oktober	أَكْتُوبَر	October	lokakuu	Οκτώβριος	神無月	十月	październik	outubro	октобар	október	octubre	ตุลาคม
xilofon	سِيلُوفُون	woodwind	puupuhallin	ξύλινα	カウベル	木管樂器	krowi	madeira	ksilofon	kravji	cencerro	ระนาด
pembantu	خَادِم	servant	palvelija	υπηρέτης	使用人	僕人	służący	empregado	слу́га	služabnik	sirviente	ข้า
pelayan	None	servant	palvelija	υπηρέτης	None	None	None	servente	None	None	servidor	None
perut	بَطْن	abdomen	vatsa	στομάχι	お腹	腹部	brzuch	abdómen	тр̀бух	trebuh	vientre	ท้อง
dekak-dekak	مِعَد	abacus	helmitaulu	άβακας	None	算盤	liczydło	ábaco	рачунаљка	računalo	None	ลูกคิด
politeisme	شِرْك	polytheism	monijumalisuus	πολυθεϊσμός	None	多神教	politeizm	politeísmo	политеизам	politeizem	None	พหุเทวนิยม
ganjil	None	odd	outo	αλλόκοτος	変な	奇怪	dziwny	estranho	None	čuden	extraño	None
gasal	None	odd	pariton	περιττός	奇の	奇	nieparzysty	ímpar	непаран	lih	impar	None
lompat	وَثَبَ	leap	loikata	πάλλομαι	飛躍する	跳躍	skakać	saltar	None	None	None	เผ่น
lompatan	None	leap	hyppy	άλμα	跳躍	None	skok	salto	None	None	None	None
penyerap	None	absorber	None	None	None	None	absorbent	absorvedor	None	None	None	None
ilmu	عِلْم	computer	tietojenkäsittelytiede	πληροφορική	情報科学	電腦科學	informatyka	ciência	računarstvo	None	computación	วิทยาการคอมพิวเตอร์
kata	فِعْل	verb	verbi	ρήμα	None	動詞	czasownik	verbo	глагол	None	None	คำกริยา
bulan	شَهْر	month	kuukausi	μήνας	月間	月	miesiąc	mês	ме̏се̄ц	mésec	mes	เดือน
morfem	مُورْفِيم	morpheme	morfeemi	μόρφημα	形態素	詞素	None	morfema	морфе́ма	None	None	หน่วยคำ
monoteisme	تَوْحِيد	monotheism	monoteismi	μονοθεϊσμός	None	一神教	monoteizm	monoteísmo	монотеѝзам	monoteizem	None	เอกเทวนิยม
Januari	يَنَايِر	January	tammikuu	Ιανουάριος	睦月	一月	styczeń	janeiro	јануар	jánuar	enero	มกราคม
kontinuitas	تَشَاكُل	metric	metriikka	ομομορφισμός	計量	度量	metryka	métrica	homomorfizam	homomorfizem	continuidad	None
Badan	نَاسَا	NASA	None	None	米航空宇宙局	國家航空航天局	None	None	None	None	None	None
pelepasan	None	parole	ehdonalainen	None	仮釈放	假釋	None	condicional	None	None	libertad	None
palkon	None	dickhead	None	πουτσοκέφαλος	None	龜頭	None	cabeça	None	None	capullo	หัวควย
goblok	None	dickhead	molopää	βλάκας	糞垂れ	傻屄	chujogłowy	cabeça	None	None	cabeza	None
burung	غُرَاب	crow	varis	κουρούνα	烏	烏鴉	wrona	gralha-preta	вра̏на	vrána	corneja	กา
kukuruyuk	None	crow	kieunta	λάλημα	コケコッコー	咕咕咕	pianie	canto	крик	kikirikȋ	cacareo	เอ้กอีเอ้กเอ้ก
googling	None	google	googlaus	γκουγκλιά	None	None	guglanie	pesquisa	None	None	googleada	None
SM	ق.	BC	eKr.	π.Χ.	None	公元前	przed	a.C.	None	None	a.	None
okultasi	احتجاب	occultation	okkultaatio	επιπρόσθηση	掩蔽	掩星	okultacja	ocultação	okultacija	None	ocultación	None
sinonim	مُرَادِف	synonym	synonyymi	συνώνυμο	同義語	同義詞	synonim	sinónimo	истозначница	sopomenka	None	ไวพจน์
sanggup	قَادِر	able	taitava	ικανός	有能	能幹	umiejętny	capaz	sposoban	None	diestro	None
boleh	None	able	pätevä	αρτιμελής	有資格の	有資格	None	competente	None	None	None	None
milenium	أَلْفِيَّة	millennium	vuosituhat	χιλιετία	千年間	千年	tysiąclecie	milénio	тисућлеће	tisočletje	milenio	สหัสวรรษ
menit	دَقِيقَة	minute	minuutti	λεπτό	None	分鐘	None	minuto	мину́та	None	None	นาที
detik	None	minute	minuutti	λεπτό	秒	None	minuta	minuto	None	None	None	ลิปดา
bebas	بِغَيْرِ	absent	ilman	None	None	None	bez	na	bez-	None	None	None
definisi	تَعْرِيف	definition	määritelmä	ορισμός	語義	定義	definicja	definição	дефини́ција	definicija	definición	การกำหนด
dasawarsa	عَقْد	decade	vuosikymmen	δεκαετία	None	十年	dziesięciolecie	década	десетлеће	desetletje	decenio	ทศวรรษ
-itas	None	-ity	-uus	-ότητα	None	性	-ość	-idade	None	-nost	-idad	None
kamus	قَامُوس	dictionary	sanakirja	λεξικό	辞書	字典	słownik	dicionário	ре̑чнӣк	slovar	diccionario	พจนานุกรม
kue	فَطِيرَة	pie	piirakka	πίτα	パイ	餡餅	ciasto	tarte	пита	None	pastel	พาย
paun	جُنَيْه	pie	punta	λίρα	ポンド	鎊	funt	libra	фу̑нта	None	florín	ปอนด์
orang	غَرِيب	alien	muukalainen	ξένος	余所者	異客	obcy	estranho	изванзема́љац	None	desconocido	None
makhluk	فَضَائِيّ	alien	avaruusolento	εξωγήινος	異星人	外星人	obcy	alienígena	ванзема́љац	nezemljan	None	มนุษย์ต่างดาว
asing	None	alien	vierasmaalainen	ξένος	外来の	None	cudzoziemski	alienígena	None	None	None	ต่างประเทศ
pendatang	None	alien	vieras	ξένος	相容れない	None	None	alheio	None	None	ajeno	None
M	حِقْبَة	AD	jKr.	μ.Χ.	西暦	公元	po	DC	None	n.	d.C.	ค.ศ.
hari	الْيَوْمَ	today	tänään	σήμερα	本日	今天	dzisiaj	hoje	да̀нас	dánes	hoy	วันนี้
masa	حَاضِر	today	nykyisin	σήμερα	今日	現代	w	hoje	са̀дашњица	dánes	hoy	วันนี้
hari	الْيَوْم	today	tämä	σήμερα	None	今天	dzisiaj	hoje	да̀нас	dánes	hoy	วันนี้
teliti	None	meticulous	huolellinen	επιμελής	細部まで行き届いた	過細	drobiazgowy	meticuloso	None	None	minucioso	None
Bank	اَلْبَنْك	European	Euroopan	Ευρωπαϊκή	欧州中央銀行	歐洲中央銀行	Europejski	Banco	Europska	None	Banco	ธนาคารกลางยุโรป
empat	أَرْبَعَة	four	neljä	τέσσερα	四つ	四	cztery	quatro	чѐтири	štírje	cuatro	สี่
utang	دَيْن	debt	velvoite	χρέος	None	人情債	zobowiązanie	dívida	None	dôlg	deuda	None
berutang	None	debt	velka	χρέος	None	人情債	zadłużenie	dívida	дуг	dolg	deuda	None
utang	دَيْن	debt	velka	χρέος	負債	借款	dług	dívida	дуг	dôlg	deuda	หนี้
merah	None	pumpkin	kurpitsa	κερασί	栗色の	珊瑚色	dyniowy	abóbora	None	None	guinda	กัลปังหา
bebas	حُرّ	libre	vapaa	None	None	自由	wolny	livre	сло̏бодан	prosto	None	None
musikus	مُوسِيقِيّ	musician	muusikko	μουσικός	音楽家	音樂家	muzyk	músico	музичар	glasbenik	None	นักดนตรี
Uni	اَلاِتِّحَاد	USSR	SNTL	ΕΣΣΔ	ソ連	蘇聯	ZSRR	URSS	СССР	ZSSR	None	สหภาพโซเวียต
omong	هُرَاء	nonsense	hölynpöly	βλακείες	無意味	廢話	niedorzeczność	besteira	bèsmislica	None	tontería	ความเพ้อเจ้อ
elang	عُقَاب	eagle	kotka	αετός	鷲	老鷹	orzeł	águia	о̀рао	orel	águila	อินทรี
kalender	تَقْوِيم	calendar	kalenteri	ημερολόγιο	暦	日曆	kalendarz	calendário	калѐнда̄р	koledar	calendario	ปฏิทิน
kalender	تَقْوِيم	calendar	kalenteri	ημερολόγιο	カレンダー	None	kalendarz	calendário	калѐнда̄р	koledar	calendario	None
jadwal	None	calendar	toimintakalenteri	πρόγραμμα	None	None	kalendarz	calendário	None	None	None	None
gagak	غُرَاب	raven	korppi	κόρακας	渡り鴉	烏鴉	kruk	corvo	га̏вра̄н	krokar	cuervo	นกยาง
Jepang	الْيَابَان	Japan	Japani	Ιαπωνία	大和	日本	Japonia	Japão	Ја̀па̄н	Japónska	Japón	ญี่ปุ่น
Republik	جُمْهُورِيَّة	former	entinen	πρώην	マケドニア旧ユーゴスラビア共和国	前南斯拉夫馬其頓共和國	Była	Antiga	бивша	Nekdanja	Antigua	อดีตสาธารณรัฐยูโกสลาฟมาซิโดเนีย
firman	None	word	sana	λόγος	福音	None	Słowo	verbo	None	None	None	None
kata	كَلِمَة	word	sana	λέξη	言葉	詞	słowo	palavra	ре̑ч	beseda	palabra	คำ
bahasa	الأَلْمَانِيَّة	German	saksa	γερμανικά	ドイツ語	德語	niemiecki	alemão	немачки	némščina	alemán	ภาษาเยอรมัน
Jerman	أَلْمَانِيّ	German	saksalainen	γερμανικός	ドイツの	德國	niemiecki	alemão	нѐмачкӣ	némški	alemán	เยอรมัน
payung	مِظَلَّة	umbrella	sateenvarjo	ομπρέλα	蝙蝠傘	傘	parasol	guarda-chuva	ки̏шобра̄н	dežnik	paraguas	ร่ม
Serbia	صِرْبِيَا	Serbia	Serbia	Σερβία	セルビア・モンテネグロ	塞爾維亞和黑山	Serbia	Sérvia	Ср̀бија	Srbija	Serbia	เซอร์เบียและมอนเตเนโกร
tahun	أَعْوَام	year	vuosi	χρόνος	None	年	rok	ano	го̏дина	lẹ́to	año	ปี
tahun	None	year	vuosi	χρόνος	None	年度	rok	ano	None	None	año	ปี
tahun	None	year	vuosi	χρόνος	None	None	rok	ano	None	None	None	None
tahun	صَفّ	year	luokka	None	None	年級	rok	ano	разред	None	año	ปี
lensa	عَدَسَة	lens	linssi	φακός	レンズ	透鏡	soczewka	lente	со̏чӣво	leča	None	เลนส์
keparat	None	motherfucker	kusipää	καριόλης	くそったれ	肏你媽	skurwysyn	filho	мамојебац	pizdun	hijo	None
huruf	حَرْف	letter	kirjain	γράμμα	None	字母	litera	letra	сло̏во	črka	carácter	ตัวอักษร
surat	رِسَالَة	letter	kirje	επιστολή	手紙	信	list	carta	пи́смо	pismo	None	จดหมาย
awatara	None	avatar	inkarnaatio	αβατάρα	天降	化身	awatar	None	None	None	encarnación	อวตาร
boleh	اِسْتَطَاعَ	may	voida	μπορώ	してもいい	可以	móc	poder	None	None	None	None
mungkin	None	may	voida	ίσως	多分	可能	móc	talvez	None	None	quizás	อาจ
mengabaikan	تَرَكَ	abandon	jättää	εγκαταλείπω	放置する	遺棄	opuszczać	abandonar	napustiti	zapustiti	None	None
angka	عَدَد	number	luku	αριθμός	None	數	liczba	número	бро̑ј	število	None	จำนวน
nomor	عَدَد	number	numero	αριθμός	数詞	數詞	cyfra	número	brȏj	števnik	None	เลข
barel	None	number	lukumäärä	αριθμός	多寡	多少	liczba	quantidade	мно̀штво	None	cantidad	บาร์เรล
kelahiran	وِلَادَة	birth	synnyttäminen	γέννα	誕生	出生	urodzenie	nascimento	рође́ње	rojstvo	nacimiento	การเกิด
kata	نَعْت	adjective	adjektiivi	επίθετο	形容動詞	形容詞	przymiotnik	adjetivo	придев	pridevnik	None	คุณศัพท์
sedikit	قَلِيل	few	harva	λίγοι	少し	少	mało	poucos	мало	nekaj	poco	น้อย
segelintir	قَلِيل	few	vähän	χούφτα	わずか	少	kilka	poucos	None	None	pocos	None
sedikit	قَلِيل	few	harva	None	None	None	None	None	None	None	None	None
jam	سَاعَة	hour	tunti	ώρα	時	小時	godzina	hora	са̑т	úra	None	ชั่วโมง
kapan	وَقْت	hour	milloin	ώρα	何時	None	kiedy	hora	None	None	el	None
abad	قَرْن	century	vuosisata	αιώνας	None	世紀	stulecie	século	ве̑к	stoletje	centuria	ศตวรรษ
september	سِبْتِمْبِر	September	syyskuu	Σεπτέμβριος	長月	九月	wrzesień	setembro	септембар	septêmber	septiembre	กันยายน
abjad	حُرُوف	alphabet	aakkoset	αλφάβητο	アルファベット	字母	abecadło	abc	а̀збука	abeceda	abecedario	ตัวอักษร
sistem	نِظَام	operating	käyttöjärjestelmä	λειτουργικό	オペレーティングシステム	操作系統	system	sistema	оперативни	operacijski	None	ระบบปฏิบัติการ
kepala	رَئِيس	head	päällikkö	κεφαλή	指導者	領袖	kierownik	chefe	None	poglavar	cabeza	None
kepala	رَأْس	head	lanttu	κεφάλι	頭部	腦袋	głowa	cabeça	гла́ва	glava	cabeza	หัว
memimpin	None	head	johtaa	None	指導する	None	kierować	comandar	None	None	encabezar	None
menuju	اِتَّجَهَ	head	suunnata	None	向かう	None	kierować	dirigir-se	None	None	dirigirse	None
Inggris	إِنْجِلِيزِيّ	English	englantilainen	αγγλικός	イギリスの	英格蘭的	angielski	inglês	енглески	angléški	inglés	อังกฤษ
Inggris	إِنْجِلِيزِيّ	English	englannin	αγγλικός	英語の	英語的	angielski	inglês	енглески	angléški	inglés	อังกฤษ
orang	إِنْجِلِيز	English	englantilainen	Άγγλος	イギリス人	英國人	Anglik	ingleses	Ѐнгле̄з	Angléž	None	คนอังกฤษ
inggristis	None	English	englanti	None	None	None	None	None	None	None	None	None
bahasa	إِنْكِلِيزِيّ	English	englanti	αγγλικά	None	英語	(język)	inglês	енглески	angléščina	inglés	อังกฤษ
pengangguran	بِطَالَة	unemployment	työttömyys	ανεργία	None	失業	bezrobocie	desemprego	неза̀послено̄ст	brezposelnost	desempleo	การว่างงาน
musim	صَيْف	summer	kesä	καλοκαίρι	夏	夏天	lato	verão	ле̏то	polétje	verano	ฤดูร้อน
pensil	قَلَم	pencil	lyijykynä	μολύβι	None	鉛筆	ołówek	lápis	о̀ло̄вка	svinčnik	lápiz	ดินสอ
kata	اِسْم	noun	substantiivi	ουσιαστικό	None	名詞	rzeczownik	substantivo	именица	samostalnik	sustantivo	นาม
menyembunyikan	أَخْفَى	conceal	kätkeä	αποκρύπτω	隠す	隱瞞	chować	esconder	кри̏ти	skrivati	ocultar	ปิดบัง
juni	يُونِيُو	June	kesäkuu	Ιούνιος	水無月	六月	czerwiec	junho	јун	júnij	junio	มิถุนายน
musim	مَوْسِم	season	kausi	σεζόν	旬	季節	sezon	temporada	сезона	obdobje	período	ฤดู
musim	مَوْسِم	season	kausi	κύκλος	シーズン	None	sezon	temporada	None	None	None	None
musim	فَصْل	season	vuodenaika	εποχή	折節	季	pora	estação	годишње	letni	estación	ฤดู
membumbui	None	season	maustaa	None	味付けする	给调味	przyprawić	condimentar	None	začiniti	aliñar	None
dua	اِثْنَانِ	two	kaksi	δύο	二つ	二	dwa	dois	два̑	dvá	dos	สอง
ratu	أَعْرَج	two	kakkonen	βαλές	デュース	武士	trójka	A	двојка	fant	dos	แหม่ม
biliun	بِلْيُون	trillion	biljoona	τρισεκατομμύριο	None	萬億	bilion	bilião	None	None	billón	None
daging	لَحْم	meat	liha	κρέας	身	肉	mięso	carne	ме̑со	meso	None	เนื้อ
fiskal	مَالِيّ	fiscal	fiskaalinen	δημοσιονομικός	None	None	None	None	None	None	None	None
suling	نَاي	flute	huilu	φλάουτο	フルート	長笛	flet	flauta	фрула	flavta	corno	ฟลุต
tujuh	سَبْعَة	seven	seitsemän	επτά	七つ	七	siedem	sete	седам	sédem	siete	เจ็ด
Britania	الْمَمْلَكَة	United	Yhdistynyt	Ηνωμένο	イギリス	英國	Zjednoczone	Reino	Уједињено	Zdrúženo	Reino	สหราชอาณาจักร
sedang	حَالِيًّا	currently	parhaillaan	None	現在は	目前	obecnie	atualmente	тренутно	None	actualmente	None
delapan	ثَمَانِيَة	eight	kahdeksan	οκτώ	八つ	八	osiem	oito	о̏сам	ósem	ocho	แปด
obat	دَوَاء	medicine	lääke	φάρμακο	薬	藥	lekarstwo	remédio	ле̑к	zdravilo	medicina	ยา
pengobatan	عِلَاج	medicine	hoito	αγωγή	医療	治療	leczenie	tratamento	лечење	zdravljenje	None	การรักษา
kedokteran	طِبّ	medicine	lääketiede	ιατρική	機械学習	醫學	medycyna	medicina	медици́на	None	matemáticas	แพทยศาสตร์
dokter	طِبّ	medicine	lääketiede	ιατρική	医師	工程	adwokactwo	medicina	None	None	relaciones	แพทย์
nama	اِسْم	name	nimi	όνομα	名前	名	imię	nome	и̏ме	ime	nombre	ชื่อ
imamat	None	name	nimi	None	None	聖職	None	sacerdócio	svećenstvo	None	sacerdocio	None
menamai	سَمَّى	name	nimetä	ονομάζω	名付ける	命名	nazywać	nomear	именовати	None	nombrar	เรียก
sebut	اِخْتَارَ	name	nimetä	κατονομάζω	選ぶ	None	wybierać	escolher	None	None	escoger	None
sebut	عَيَّنَ	name	nimetä	καθορίζω	明示する	None	określać	especificar	None	None	None	None
Islandia	آيْسْلَنْدَا	Iceland	Islanti	Ισλανδία	アイスランド	冰島	Hiszpania	Islândia	Ѝсланд	Islándija	España	ไอซ์แลนด์
tulang	عَظْم	bone	luu	κόκαλο	骨	骨質	kość	osso	кост	slonovina	hueso	กระดูก
tulang	عَظْم	bone	luu	οστό	None	骨頭	kość	osso	кост	None	hueso	กระดูก
