synset	lemma	annotation	goodness label
00048739-r	langsung	KEEP	O
00756076-v	jadi	DELETE	O
04190052-n	rak	KEEP	Y
02118476-v	memperhatikan	KEEP	None
01654628-v	bangun	KEEP	Y
07511733-n	harap	KEEP	O
03083417-a	malaysia	KEEP	None
03484083-n	kereta	KEEP	O
01156834-v	mencerna	DELETE	O
03183080-n	alat	KEEP	O
01044533-v	gumam	KEEP	None
09877951-n	teman	KEEP	O
02025353-v	berduyun-duyun	KEEP	O
09218315-n	honeycomb	KEEP	None
00443490-a	jauh	KEEP	O
02075857-v	membutuhkan	DELETE	O
90000121-n	acara saat malam	KEEP	None
00127137-a	dahulu	KEEP	L
04985198-n	nada	KEEP	O
14512817-n	keadaan	KEEP	O
01824736-v	solak	DELETE	O
00255450-n	wudu	KEEP	None
03671473-n	talian	DELETE	None
14460565-n	integritas	KEEP	O
00085002-r	tempat lain	DELETE	X
01180844-v	melayani	KEEP	O
03290771-n	entry	KEEP	None
07800091-n	makanan	KEEP	L
02140033-v	menunjukkan	KEEP	Y
00668805-v	mereguk	DELETE	O
07009042-n	sedikit	KEEP	None
02402825-v	bisa	DELETE	O
00174412-n	tindakan	KEEP	Y
01646075-v	membuat	KEEP	O
07372565-n	repot	KEEP	None
01862697-a	cuma	KEEP	O
02627934-v	memerlukan	KEEP	O
02187793-a	15	KEEP	None
02785365-n	lilitan	KEEP	None
02892656-a	ritual	KEEP	O
07734744-n	jamur	KEEP	O
14513062-n	ekologi	KEEP	O
01564144-v	mengobrak-abrik	DELETE	X
01168468-v	mengisi perut	DELETE	X
90000095-n	singapore food festival	KEEP	None
03844045-n	lampu minyak	KEEP	M
07985223-n	pasangan	KEEP	O
01097315-a	dilengkapi	KEEP	X
01361863-a	sedih	KEEP	Y
00331514-v	ditumbuk	KEEP	None
90000045-n	italia selatan	KEEP	None
77000080-n	itu	KEEP	None
05611302-n	otak	KEEP	O
01675190-a	istimewa	KEEP	Y
00037396-n	tindakan	KEEP	O
08521623-n	kuburan	KEEP	O
07193596-n	pertanyaan	KEEP	Y
03945615-n	pipa	KEEP	O
02186665-a	4	KEEP	None
02397234-a	kaya	KEEP	Y
00035058-r	sering kali	KEEP	O
01315613-v	cari	KEEP	Y
12125890-n	nasi	KEEP	O
01673946-a	yang biasa	KEEP	X
90000299-n	nyonya baba	KEEP	None
00756897-a	hitam	KEEP	Y
00734054-v	menganggap	DELETE	O
02150948-v	saksikanlah	KEEP	None
00524682-v	mengumpamakan	DELETE	O
03578656-n	port	KEEP	None
01392249-a	kecil	KEEP	L
02655135-v	kelihatan	DELETE	O
01966488-a	tetap	KEEP	Y
06689667-n	izin	KEEP	O
14463676-n	kelelahan	KEEP	O
07571547-n	dimsum	KEEP	None
00775486-a	eklektik	KEEP	None
08549070-n	kawasan	KEEP	O
08569998-n	ladang	KEEP	Y
05685030-n	bingung	KEEP	O
08663860-n	puncak	KEEP	Y
07560652-n	makanan dan minuman	KEEP	X
06879180-n	demo	KEEP	O
05538625-n	head	KEEP	None
10601078-n	pendosa	KEEP	O
00427496-a	halal	KEEP	None
03335600-n	sosok	KEEP	Y
02197828-a	170	KEEP	None
07579076-n	mencicipi	KEEP	O
02697759-n	gang	KEEP	None
02685951-v	menghabiskan masa	DELETE	X
02240668-a	giling	KEEP	O
00935247-n	keramik	KEEP	O
08613593-n	di luar	KEEP	None
02685951-v	membarui	DELETE	O
07543288-n	cinta	KEEP	O
00903098-v	harap	KEEP	O
02538050-a	musik	KEEP	O
00823350-a	timur	KEEP	O
05861067-n	jumlah	KEEP	O
02718497-a	elektronik	KEEP	Y
06050901-n	kandungan	KEEP	None
02055062-a	keagamaan	KEEP	O
03724870-n	topeng	KEEP	Y
14449405-n	kekurangan	KEEP	Y
00614999-v	tinggalkan	KEEP	X
04765038-n	solidaritas	KEEP	None
01726172-v	bermain	KEEP	O
00085002-r	di	DELETE	O
07891726-n	anggur	KEEP	Y
00025654-v	bersantai	KEEP	O
00748972-v	citarasa	KEEP	None
02020590-v	mencatat	DELETE	O
02993546-n	pusat	KEEP	Y
02558767-a	natural	KEEP	None
15248564-n	zaman	KEEP	Y
01394744-a	kecil	KEEP	O
06793426-n	poster	KEEP	O
02871858-a	wilayah	KEEP	O
01158181-v	menyia-nyiakan	DELETE	None
00122626-a	kemudian	KEEP	Y
02276305-a	berbusa	KEEP	O
02627934-v	perlukan	DELETE	X
02474239-v	dianugerahi	KEEP	X
03463832-n	perkebunan	KEEP	None
02128066-v	temukan	KEEP	None
00755745-v	bersangka	DELETE	O
02998988-a	ke-100	KEEP	None
00489108-a	ghalib	DELETE	None
09480809-n	dunia	KEEP	O
02533834-n	ikan bilis	KEEP	None
01060494-v	memberi	KEEP	O
00941148-a	secara langsung	KEEP	None
06693198-n	puji	KEEP	Y
04133789-n	sandal	KEEP	Y
02102840-v	berpetualang	KEEP	X
01418667-v	mencampur	DELETE	O
04081281-n	restaurant	KEEP	None
01023820-n	prosedur	KEEP	Y
00967129-a	aneh	KEEP	Y
01666131-v	menyediakan	KEEP	O
02887899-a	laut	KEEP	Y
01645601-v	membentuk watak	DELETE	X
12897493-n	kentang	KEEP	Y
00230033-v	menambahkan	KEEP	Y
02140033-v	tampilkan	KEEP	X
07911677-n	koktail	KEEP	O
01999798-v	mengarik	DELETE	O
00585406-n	fasilitas	KEEP	None
01646941-a	muda	KEEP	O
00614829-v	lupakan	KEEP	X
00973056-v	menyiarkan	KEEP	Y
01643620-a	ratusan	KEEP	None
02204692-v	milik	KEEP	O
00037641-r	memang	KEEP	O
00950431-v	anggap	KEEP	L
01580968-a	perlu	KEEP	O
08806897-n	roma	KEEP	None
10017272-n	dj	KEEP	X
08811982-n	tuscany	KEEP	None
90000331-n	nasi lemak	KEEP	None
02869563-a	visual	KEEP	O
07573696-n	makanan	KEEP	Y
01156834-v	mengarik	DELETE	O
03659292-n	tuas	KEEP	O
00320852-n	perkenalan	DELETE	O
00485044-a	pemukiman	KEEP	O
01617192-v	terciptalah	KEEP	None
01998432-v	turut	KEEP	Y
00995775-a	mendukung	KEEP	None
00848466-a	harus	KEEP	O
00699815-v	menetapkan	KEEP	O
00485044-a	perumahan	KEEP	O
01646941-a	kecil	KEEP	O
00217728-a	asri	KEEP	O
80000749-n	century egg	KEEP	None
80001610-n	Sistem Pengangkutan Gerak Cepat	KEEP	None
01387786-v	peras	KEEP	Y
00118869-r	pernah	KEEP	O
02006834-v	membelasah	DELETE	O
02685951-v	membimbing	DELETE	O
00779061-v	istirahat	KEEP	Y
03007130-n	kapel	KEEP	None
07485626-n	selera	KEEP	O
00272951-r	seberang	KEEP	Y
00786195-n	upaya	KEEP	Y
01110517-v	mengalahkan	KEEP	Y
05663671-n	pemerintah	KEEP	O
90000036-n	garden spice	KEEP	None
07508486-n	kemegahan	KEEP	O
02646605-a	astronomi	KEEP	O
01842204-v	keluar	KEEP	O
00067129-v	tersedu-sedu	KEEP	L
14939445-n	bendalir	DELETE	None
06636259-n	fakta	KEEP	Y
01386234-a	ekstensif	KEEP	L
05146471-n	mewah	KEEP	O
02203373-a	ke-10	KEEP	None
01084900-a	penuh	KEEP	O
02251743-v	membayar	KEEP	Y
14563564-n	kegelapan	KEEP	O
12607456-n	nanas	KEEP	O
06492939-n	menu makanan	KEEP	X
01829292-v	bakar	KEEP	L
05785508-n	perenungan	KEEP	None
09334396-n	tanah	KEEP	Y
00193194-r	daripada	DELETE	O
08168978-n	negeri	KEEP	Y
09788521-n	teman	KEEP	O
09358358-n	bulan	KEEP	O
00605516-a	tradisi	DELETE	Y
02621395-v	merupakan	KEEP	O
01825237-v	impikan	KEEP	None
06410904-n	kitab	KEEP	Y
07648150-n	kaki ayam	KEEP	O
00599992-v	makan	DELETE	O
01638368-v	rancang	KEEP	O
00120796-v	mendapati	DELETE	O
01818235-v	dorong	KEEP	O
01609287-v	menarik	KEEP	O
02248465-v	mencari	KEEP	L
08552138-n	wilayah	KEEP	Y
05546540-n	leher	KEEP	Y
01816887-n	nuri	KEEP	O
00512130-a	berkompeten	KEEP	None
00610167-v	terlupakan	KEEP	None
01036874-a	lokal	KEEP	O
00036935-r	pasti	KEEP	O
80001382-x	aduh	KEEP	None
01564144-v	melalap	DELETE	O
01712704-v	membuat	KEEP	O
01320424-v	memanen	KEEP	O
00344174-v	terjadi	KEEP	Y
02649830-v	tinggal di	KEEP	X
01326528-v	melondong	DELETE	O
00546389-n	lagu	KEEP	O
01073311-a	asin	KEEP	O
02320773-v	surcharges	KEEP	None
07565259-n	sajian	KEEP	O
01488616-a	besar	KEEP	O
00024073-r	belum	DELETE	O
06423619-n	daftar	KEEP	O
03289268-n	pahatan	KEEP	O
01256157-v	ukir	KEEP	O
06497233-n	menu	KEEP	O
90000336-n	lomi	KEEP	None
08934532-n	bordeaux	KEEP	None
06341249-n	miss	KEEP	None
07243837-n	khotbah	KEEP	None
02570267-v	manja	KEEP	Y
00350104-v	lanjutkan	KEEP	None
02406916-v	merangkap	KEEP	Y
01694081-a	terbalik	KEEP	None
07623664-n	kue tar	KEEP	O
01999798-v	di hadapan	DELETE	X
90000414-n	tandoori	KEEP	None
00612612-v	mengenang	KEEP	None
00257580-n	penyiraman	KEEP	None
07784522-n	ikan parang	KEEP	L
04574999-n	roda	KEEP	Y
02418421-v	main	KEEP	O
10107303-n	penemu	KEEP	O
01551871-v	tertata	KEEP	None
90000299-n	nyonya	KEEP	None
02635956-v	memimpin	DELETE	O
00028984-a	rahasia	KEEP	None
00168588-v	menghidupkan	KEEP	O
05064037-n	bentuk	KEEP	O
01071423-a	preserved	KEEP	None
01664172-v	buat	KEEP	Y
02126430-a	terletak	KEEP	O
04709253-n	kesulitan	KEEP	Y
00348953-n	jangkauan	KEEP	None
01157517-v	menyikat	DELETE	O
80000093-n	chinatown	KEEP	None
02627934-v	melibatkan	DELETE	O
02717102-v	memasukkan	DELETE	O
00748972-v	berikan	KEEP	O
07487375-n	nostalgia	KEEP	O
00488857-a	tidak biasa	KEEP	X
02434976-v	turut	KEEP	None
06359193-n	situs	KEEP	O
00019609-r	senantiasa	KEEP	O
03176763-n	department store	KEEP	X
01839963-v	pergi	KEEP	O
01097292-n	pasar	KEEP	O
02560585-v	membuatkan	DELETE	O
01326528-v	meruntuhkan	DELETE	O
02630189-v	mempunyai	KEEP	O
00524682-v	menjadi	KEEP	None
01664172-v	buat	DELETE	Y
00422435-r	begitu	KEEP	O
10344443-n	tokoh	KEEP	O
90000301-n	hokkian	KEEP	None
08903872-n	mumbai	KEEP	None
01648126-v	mementaskan	KEEP	O
02020590-v	mengantongi	DELETE	O
90000175-n	Data Statistik	KEEP	None
00513177-v	lengkapi	KEEP	X
01801029-a	lezat	KEEP	None
00232600-r	sayup-sayup	KEEP	None
02627934-v	mengarik	DELETE	O
00017782-a	bisa diterima	KEEP	None
01616157-a	sendiri	KEEP	O
13268842-n	hadiah	KEEP	Y
02020590-v	melanda	DELETE	O
77000092-n	sesuatu	KEEP	None
13769033-n	sekuali	KEEP	None
02050452-a	kampung	KEEP	O
00144722-r	memang	KEEP	O
14997529-n	pengawet	KEEP	O
01672607-a	yang biasa	KEEP	None
02720354-v	ikut	KEEP	O
04952944-n	kilauan	KEEP	O
02635956-v	menghantar	DELETE	O
00847399-a	pilihan	KEEP	O
00012267-v	membuat	KEEP	O
80000177-n	chai tow kueh	KEEP	None
77000139-n	kita	KEEP	None
00038625-r	tentu	KEEP	None
01741864-v	membajak	KEEP	O
01824736-v	sebagai	DELETE	O
77000075-a	ini	KEEP	None
01594664-v	menginjak	KEEP	O
02209936-v	terima	DELETE	O
76100075-x	bilah	KEEP	None
02701210-v	mengarik	DELETE	O
08111419-n	jenis	KEEP	O
08179879-n	populasi	KEEP	None
01564144-v	menjatuhkan	DELETE	O
90000414-n	tandori	KEEP	None
02200686-v	berikan	KEEP	Y
05643190-n	teknik	KEEP	Y
00505114-r	hanya	KEEP	L
00448872-n	rollerblading	KEEP	None
01664172-v	siapkan	KEEP	None
01849221-v	berdatangan	KEEP	None
80001130-n	ia	KEEP	None
04264914-n	wahana	KEEP	Y
01824736-v	menghendaki	DELETE	O
00893955-n	persiapan	KEEP	Y
02236124-v	menjual	DELETE	O
00586262-n	tempat tugas	DELETE	X
13742358-n	0	KEEP	X
04097622-n	jalan	KEEP	O
02530770-v	mencoba	KEEP	O
00218837-a	indah	KEEP	O
02468635-a	memang biasa	DELETE	X
02741546-v	mengarik	DELETE	O
05768553-n	mimpi	KEEP	Y
11431754-n	angin	KEEP	O
01876261-a	berpandangan maju	KEEP	None
90000106-n	sri mariamman temple	KEEP	None
14524849-n	atmosfir	KEEP	X
02006834-v	melanda	DELETE	O
02568672-v	berbuat	DELETE	O
04930478-n	tata tertib	DELETE	O
02188205-a	sembilan belas	KEEP	None
01010862-a	semula	KEEP	None
02913152-n	bangunan	KEEP	Y
07217924-n	laporan	KEEP	O
00087736-v	memperoleh	DELETE	O
07675156-n	minyak wijen	KEEP	X
90000131-n	geylang serai	KEEP	None
01103844-a	tertentu	KEEP	O
02742638-v	tatap muka	KEEP	O
14424517-n	pembaruan	KEEP	O
02704349-v	berukuran	KEEP	O
00100002-r	sedikit	KEEP	None
80001061-n	kerang bambu	KEEP	None
00517728-n	keramaian	KEEP	Y
00158309-r	saja	KEEP	O
00340239-a	tentu	KEEP	O
00759269-v	mohon	KEEP	O
02727039-v	antara	KEEP	O
80000329-n	Sang Nila Utama	KEEP	None
00015388-n	hewani	KEEP	None
90000033-n	food centre	KEEP	None
02761834-n	klakson	KEEP	X
07458453-n	lumba	KEEP	None
02627934-v	memasukkan	DELETE	O
09203827-n	kepulauan	KEEP	O
01528730-a	emas	KEEP	O
02186833-a	enam	KEEP	O
07556970-n	sajian	KEEP	O
07654148-n	daging panggang	KEEP	X
00825089-a	barat	KEEP	O
00164444-v	segarkan	KEEP	X
01982395-v	mengumpamakan	DELETE	O
01770802-v	sentuhan	KEEP	O
07584938-n	kaldu	KEEP	O
04299215-n	kios	KEEP	X
01071423-a	diolah	KEEP	None
01967240-a	berkala	KEEP	O
10077593-n	jemaah	KEEP	None
05793554-n	berdasarkan	KEEP	None
90000039-n	hae gor	KEEP	None
07126383-n	lenguhan	KEEP	None
02062670-a	sama	KEEP	O
90000058-n	kuil sri thendayuthapani temple	KEEP	None
80001273-v	bergelayutan	KEEP	None
01526605-v	ayo	KEEP	O
00063369-r	apalagi	KEEP	None
07680932-n	roti	KEEP	Y
01172701-v	makan	KEEP	O
00274724-v	menghakis	DELETE	None
80001042-n	Uniqlo	KEEP	None
15161631-n	hari besar	KEEP	O
02209745-v	mengikat perjanjian	DELETE	X
03113835-n	kostum	KEEP	O
01072949-v	mainkanlah	KEEP	X
02225510-a	terampil	KEEP	Y
03719053-n	rumah	KEEP	O
07377473-n	riuh	KEEP	O
08818444-n	slovenia	KEEP	None
02687385-v	membawa	DELETE	O
08523483-n	tengah	KEEP	X
90000127-n	east coast park	KEEP	None
01296462-v	mengenakan	KEEP	O
08964647-n	malaysia barat	KEEP	X
05064037-n	berbentuk	KEEP	O
02717102-v	jadi	DELETE	O
00779360-v	menghilangkan letih	KEEP	X
15224486-n	jangka	KEEP	None
01863246-a	selektif	KEEP	None
08559508-n	kediaman	KEEP	L
90000314-n	Deepawali	KEEP	None
00081836-n	berbelanja	KEEP	Y
01826498-v	lebih suka	KEEP	X
02568672-v	mengawal	DELETE	O
06532330-n	hukum	KEEP	O
01214265-v	mengambil	KEEP	O
00348746-v	memulai	KEEP	None
02616386-v	yaitu	KEEP	None
06806098-n	desir	KEEP	O
01688757-a	basi	DELETE	O
13774404-n	massal	KEEP	None
09763784-n	teman	KEEP	Y
02672371-n	akomodasi	KEEP	O
02218314-a	bermacam-macam	KEEP	O
02214736-a	hanya satu	KEEP	None
01498041-n	ikan pari	KEEP	O
00796315-n	petualangan	KEEP	Y
08492747-n	jalur penerbangan	KEEP	X
03859958-n	pakaian	KEEP	Y
03871083-n	bungkusan	KEEP	None
07827284-n	kunyit	KEEP	O
15123115-n	hari	KEEP	O
01188725-v	berangan-angan	DELETE	O
00110533-r	di sebelah dalam	DELETE	X
00341560-v	pergilah	KEEP	X
07908812-n	benedictine	KEEP	None
02077656-v	mengantar	KEEP	None
01010862-a	mula-mula	KEEP	X
00046299-r	sekali	KEEP	None
05618293-n	bidang	KEEP	O
00071840-r	seluruh	KEEP	None
00602255-v	makan	DELETE	O
06269396-n	karya	KEEP	O
01755816-v	buat	KEEP	L
01375831-a	kemuka	KEEP	None
00425071-v	muncul	KEEP	O
02796425-a	sensasional	KEEP	O
00047534-r	turut	KEEP	None
00602805-v	latih	KEEP	O
09468604-n	lembah	KEEP	Y
01976957-n	crab	KEEP	None
15167027-n	malam	KEEP	O
08964810-n	semenanjung melayu	KEEP	None
00340133-r	harafiah	KEEP	None
00014285-r	banyak	KEEP	O
01807529-v	mengundang	KEEP	O
00306663-a	mampu	KEEP	Y
07622708-n	kuih	KEEP	None
02068730-a	tersebut	KEEP	None
01129920-n	tanggung jawab	KEEP	None
07713074-n	terong	KEEP	None
02620587-v	orang	DELETE	O
80001077-n	berapa	KEEP	None
80000838-n	rendang	KEEP	None
00710005-v	diadakan	KEEP	X
00059171-r	sangat baik	KEEP	X
10309896-n	pedagang	KEEP	Y
15237044-n	festival	KEEP	None
08700255-n	negara asia	KEEP	X
00229605-v	meningkatkan	KEEP	O
00838367-n	makanan	KEEP	O
02684924-v	terus	KEEP	None
02871858-a	kawasan	KEEP	O
08624196-n	posisi	KEEP	O
07663899-n	perkedel	KEEP	None
00112601-r	baru	KEEP	O
00899226-a	muskil	KEEP	None
00770437-v	membentuk watak	DELETE	X
80000201-n	Idul Adha	KEEP	None
08096624-n	agama hindu	KEEP	None
00501990-r	atas	DELETE	O
10260706-n	nyawa	KEEP	O
02993546-n	centre	KEEP	X
02007417-v	diakses	KEEP	X
02267989-v	mengambil masa	DELETE	None
00180756-r	ke sisi	DELETE	O
00654885-n	heran	KEEP	O
02153709-v	mencari	KEEP	Y
04256520-n	sofa	KEEP	Y
02501693-a	kaya	KEEP	L
08616985-n	lapangan	KEEP	O
15055633-n	asap	KEEP	O
08615374-n	chinese garden	KEEP	None
03619890-n	dapur	KEEP	Y
08489497-n	sini	KEEP	O
02128286-v	saksikanlah	KEEP	X
00110533-r	bahagian dalam	DELETE	X
08663354-n	di atas	KEEP	X
02898711-n	jembatan	KEEP	O
00829107-v	diajarkan	KEEP	None
01009206-a	pertama	KEEP	O
90000016-n	China Singapura	DELETE	None
00008007-r	sama sekali	KEEP	O
14336539-n	dan panas	KEEP	X
00679389-v	memilih	KEEP	O
04910135-n	gaya	KEEP	O
02108654-v	memapak	DELETE	O
01788705-a	bunga	KEEP	O
00021265-n	makan	DELETE	Y
01600333-a	utara	KEEP	O
90000210-n	joo chiat	KEEP	None
01935233-v	sambangi	KEEP	None
09254614-n	benua	KEEP	O
00173338-v	mengarik	DELETE	O
00394813-v	gabungkan	DELETE	X
15182053-n	malam tahun baru	KEEP	X
06564387-n	undang-undang	KEEP	O
06784966-n	kes	DELETE	O
02327200-v	berikan	KEEP	Y
01580050-a	perlukan	KEEP	None
09765278-n	pemain	KEEP	O
02443907-a	tropis	KEEP	None
00320852-n	pendahuluan	DELETE	O
08641113-n	daerah	KEEP	Y
02225492-v	menyimpan	KEEP	O
01115635-a	otentik	KEEP	O
08375154-n	persemakmuran	KEEP	L
00488187-a	luar biasa	KEEP	O
06755568-n	ketentuan	KEEP	Y
02671780-n	asesoris	KEEP	None
02704818-v	berat	KEEP	Y
01643480-a	muda	KEEP	L
07006712-n	panggung sementara	KEEP	X
00900583-v	sambut	KEEP	O
09626238-n	sesama	KEEP	O
01661289-a	baik	KEEP	O
02727462-v	tetap	KEEP	O
02690081-n	penerbangan	KEEP	Y
00713558-a	yang penting	KEEP	X
07628870-n	kue	KEEP	O
01017439-a	sehat	KEEP	None
01158181-v	membazir	DELETE	None
02394183-v	memenuhi	DELETE	O
00018302-r	juga	KEEP	O
02655135-v	nampak	DELETE	O
02202146-a	kedua	KEEP	O
02373015-v	bekerja	KEEP	O
00109540-v	berkeringat	KEEP	O
00087736-v	beroleh	DELETE	O
00781000-v	meneruskan pekerjaan	DELETE	X
00975487-a	chic	KEEP	None
00965606-a	dikenal	DELETE	X
02236124-v	mempunyai	DELETE	O
80000315-n	michelin	KEEP	None
00021265-n	hara	KEEP	None
02006834-v	tertabrak	DELETE	O
07942152-n	kalangan	KEEP	Y
00031798-r	pernah	KEEP	O
76100078-x	bulir	KEEP	None
01795082-v	hilang	KEEP	O
02631659-v	membanggakan	KEEP	O
01247240-a	panas	KEEP	Y
02687385-v	ke	DELETE	O
04230093-n	kulit	KEEP	L
02244956-v	jual	KEEP	L
00154966-v	meningkatkan	KEEP	O
13136556-n	kacang	KEEP	Y
00582388-n	bisnis	KEEP	O
00301777-a	tidak terkira	KEEP	X
00632438-a	salah	KEEP	O
07871436-n	bakso	KEEP	O
08489497-n	disini	DELETE	X
00947128-n	menggunakan	KEEP	L
09940146-n	badut	KEEP	Y
04926728-n	kesegaran	KEEP	O
02078294-v	kembali	KEEP	Y
02020590-v	menggenjot	DELETE	O
00829745-a	berpendidikan	KEEP	None
01063049-v	keluarkan	KEEP	L
00002621-r	hanya	KEEP	O
05935060-n	kenangan	KEEP	Y
00134701-a	sesuai	KEEP	Y
01975138-a	bersinggungan	KEEP	None
02898711-n	jembatan 17 lengkungan	KEEP	None
00936523-a	berpengalaman	KEEP	O
00008007-r	semuanya	KEEP	L
02665282-v	mirip	KEEP	Y
01553629-a	banyak	KEEP	O
04335209-n	street	KEEP	None
07152590-n	mantra	KEEP	None
09020961-n	tajikistan	KEEP	None
02020590-v	membelasah	DELETE	O
03378005-n	pujasera	KEEP	None
01893724-a	terbukti	KEEP	O
07885223-n	minum	DELETE	O
03671668-n	garis lurus	DELETE	X
02641463-v	menanti	KEEP	O
00362128-v	melengkung	KEEP	O
08434259-n	rangkaian	KEEP	Y
02301680-v	milik	KEEP	O
08430568-n	garis	DELETE	O
15142167-n	kelahiran	KEEP	O
05715864-n	citarasa	KEEP	X
02584981-a	patut	KEEP	O
01488245-a	matang	KEEP	O
90000335-n	wanton mee	KEEP	None
07827410-n	wijen	KEEP	O
00766234-n	pelanggaran	KEEP	Y
00043003-r	oleh karena itu	KEEP	None
02450256-v	mengambil bagian	KEEP	O
01031256-v	kirimkan	DELETE	None
00300441-n	penerbangan	KEEP	O
00406963-v	memberi	KEEP	O
00704690-v	rencanakanlah	KEEP	None
11473291-n	kehidupan	KEEP	O
80001383-n	fenghuang	KEEP	None
00496422-a	ramah	KEEP	O
15163797-n	sunday	KEEP	None
01912893-v	berjalanlah	KEEP	X
03259505-n	rumah	KEEP	Y
01427127-v	makan	DELETE	O
02408977-a	regional	KEEP	None
80000334-n	Zouk	KEEP	None
02131279-v	memeriksa	KEEP	O
00743344-v	menghubungi	KEEP	O
00679389-v	pilih	KEEP	O
07557434-n	santapan	DELETE	Y
00799076-v	meneguk	DELETE	O
01111375-n	sewaan	KEEP	O
05924920-n	lazim	DELETE	O
02815071-n	manik	KEEP	O
00978754-a	segera	KEEP	O
07164163-n	kesan	KEEP	O
07228971-n	terima kasih	KEEP	O
00317888-v	memperpanjang	KEEP	O
01380122-v	membabarkan	DELETE	O
01492061-a	lunak	KEEP	O
00380568-n	fusion	KEEP	None
10065547-n	etnis	KEEP	O
02075857-v	mengikut	DELETE	O
00142191-v	bentuk	DELETE	Y
00947128-n	penggunaan	KEEP	O
90000325-n	terasi	DELETE	None
00588888-v	memahami	KEEP	Y
01843689-v	berkunjung	KEEP	O
01158022-v	menguras	KEEP	O
02685951-v	hidup bahagia	DELETE	X
08559508-n	tempat kediaman	DELETE	None
02715513-n	aula	KEEP	X
07571324-n	citarasa	KEEP	None
02342899-a	baik sekali	DELETE	X
00048858-a	ekstra	KEEP	L
00027384-r	namun	KEEP	O
80001305-n	Orang Minangkabau	KEEP	None
02186580-a	3	KEEP	None
07786164-n	tiram	KEEP	O
00599992-v	mengkaji	DELETE	O
02396720-a	lezat	KEEP	O
05035353-n	daya	KEEP	X
01218327-n	memesan	KEEP	O
10665698-n	pelajar	KEEP	Y
00306314-a	boleh	KEEP	O
14492373-n	kemewahan	KEEP	O
04377057-n	sistem	KEEP	O
