Arabic	English	Finnish	Greek	Indonesian	Japanese	Mandarin Chinese	POS	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai	lang	POS
رَجَب	Abib	kuukausi	σεληνιακός	bulan	None	月	n	miesiąc	lua	месец	mésec	mes	เดือน	None	name
None	acclamation	suosionosoitukset	None	aklamasi	喝采	掌聲	n	poklask	aclamação	клицање	None	aclamación	None	None	noun
إِجْهَاض	abortion	keskenmeno	αποβολή	keguguran	流産	流產	n	poronienie	aborto	pobačaj	None	aborto	None	None	noun
خِدَاج	abortion	raskaudenkeskeytys	έκτρωση	aborsi	妊娠中絶	流產	n	aborcja	aborto	абортус	splav	aborto	การทำแท้ง	None	noun
None	abortion	abortti	None	aborsi	人工妊娠中絶	流產	n	aborcja	aborto	побацити	None	None	None	None	noun
None	accidentally	vahingossa	None	secara	無意識的に	偶然	a	przypadkowo	acidentalmente	None	None	accidentalmente	โดยไม่ตั้งใจ	None	adv
None	hyponym	alakäsite	υπώνυμο	hiponim	下位語	下義詞	n	None	hipónimo	хипо̀нӣм	podpomenka	None	None	None	noun
عَتَّابِي	Abyssinian	abessinialainen	None	kucing	アビシニアン	虎斑貓	n	kot	abissínio	абисинка	None	gato	แมวลายสลิด	None	noun
بِرْكَة	pond	lampi	νερόλακος	kolam	None	池塘	n	staw	lagoa	језе́рце	ribnik	charca	บ่อน้ำ	None	noun
قِنَّب	abaca	manila	αβάκα	pisang	マニラ麻	蕉麻	n	banan	abacá	бу̏ча	buča	calabaza	ฟักทอง	None	noun
بِيرُوقْرَاطِيّ	bureaucrat	byrokraatti	γραφειοκράτης	birokrat	None	官僚	n	biurokrata	burocrata	биро̀крат	None	burócrata	None	None	noun
فَضَاء	outer	ulkoavaruus	διάστημα	kepangeranan	宇宙	太空	n	kosmos	espaço	све̏мӣр	vesoljski	espacio	อวกาศ	None	noun
تَأْثِيل	etymology	etymologia	ετυμολογία	etimologi	語源学	語源學	n	źródłosłów	etimologia	етимологија	None	etimología	ศัพทมูลวิทยา	None	noun
None	transvestite	transvestiitti	τραβεστί	banci	異性装者	異裝癖者	n	transwestyta	travesti	трансвестит	None	transformista	None	None	noun
قُدْرَة	ability	kyky	ικανότητα	kemampuan	None	能力	n	zdolność	habilidade	спосо́бно̄ст	zmožnost	habilidad	ความสามารถ	None	noun
أُورُوبِيّ	accessary	eurooppalainen	Ευρωπαίος	orang	ヨーロッパ人	歐洲人	n	Europejczyk	europeu	Európljanin	Evropejec	europeo	ชาวเช็ก	None	noun
None	white-collar	valkokaulus-	None	kerah	ホワイトカラー	白領	a	None	de/do	None	None	None	None	None	adj
الْأَرْبِعَاء	Wednesday	keskiviikko	Τετάρτη	hari	水曜日	星期三	n	środa	quarta-feira	среда	sréda	miércoles	วันพุธ	None	noun
أَكُورْدِيُون	accordion	harmonikka	ακορντεόν	akordeon	アコーデオン	手風琴	n	harmonia	acordeão	хармо̀ника	harmọ́nika	acordeón	หีบเพลงชัก	None	noun
أُسْبُوع	week	viikko	εβδομάδα	minggu	週間	星期	n	tydzień	semana	недеља	téden	None	สัปดาห์	None	noun
خِنْزِير	aardvark	maasika	μυρμηγκοφάγος	gajah	ゾウ	土豚	n	mrównik	oricterope	сло̏н	slon	cerdo	อาร์ดวาร์ก	None	noun
None	abort	keskeyttää	None	menghentikan	None	終止	v	przerwać	abortar	prekinuti	None	None	None	None	verb
None	mondegreen	väärin	None	salah	空耳	None	n	przesłyszenie	tiocidade	None	None	pomporruta	None	None	noun
قَابِلَة	accoucheur	kätilö	μαία	bidan	助産師	男接生员	n	akuszer	parteiro	primalja	babica	matrón	ตำแย	None	noun
None	subsidiarity	subsidiariteetti	None	pisau	ベルヌーイの定理	伯努利定律	n	subsydiarność	navalha	Окамова	Occamova	subsidiariedad	หลักการของออคแคม	None	noun
ذِئْب	aardwolf	maasusi	άαρντ-γουλφ	serigala	アードウルフ	土狼	n	protel	protelo	земни	pižmova	lobo	None	None	noun
مَوْسُوعَة	encyclopedia	tietosanakirja	εγκυκλοπαίδεια	ensiklopedia	None	百科全書	n	encyklopedia	enciclopédia	енциклопе́дија	enciklopedija	enciclopedia	สารานุกรม	None	noun
اِخْتِبَار	quiz	tietovisa	None	kuis	クイズ	測驗	n	turniej	None	кви̑з	kviz	prueba	None	None	noun
فَوقَ	above	yllä	πάνω	atas	...の上に	在...上面	p	nad	acima	над	None	arriba	เหนือ	None	prep
بِـ	above	lisäksi	με	selain	…を伴って	跟	p	z	com	pored	s	con	กับ	None	prep
وَتَر	Achilles	akillesjänne	αχίλλειος	tendon	アキレス腱	跟腱	n	ścięgno	tendão	Ахилова	None	tendón	None	None	noun
بِضَاعَة	merchandise	tuotteet	εμπόρευμα	barang	品物	產品	n	towar	mercadoria	ро̏ба	blago	mercancía	สินค้า	None	noun
يُولِيُو	July	heinäkuu	Ιούλιος	juli	文月	七月	n	lipiec	julho	ју̑л	júlij	julio	กรกฎาคม	None	name
مَضْبُوط	accurate	tarkka	ακριβής	akurat	正確な	準確	a	dokładny	preciso	то̏чан	natančen	exacto	แม่นยำ	None	adj
اِتِّحَاد	trade	ammattiyhdistys	συντεχνία	serikat	労働組合	工會	n	związek	sindicato	синдѝка̄т	sindikat	entidad	สหภาพแรงงาน	None	noun
طُز	whatever	miten	καλά	bodo	どうでもいい！	隨便	i	oj	tanto	None	karkoli	como	None	None	intj
مَكْنَز	thesaurus	synonyymisanakirja	θησαυρός	tesaurus	シソーラス	分類詞詞典	n	tezaurus	dicionário	речник	None	diccionario	อรรถาภิธาน	None	noun
تَفَاهُم	accord	sopusointu	None	kesepakatan	合意	None	n	porozumienie	acordo	None	None	acuerdo	None	None	noun
None	queef	mulkku	None	bajingan	下劣な人	卑賤的人	n	świnia	canalha	None	None	cerdo	None	None	noun
لَهْجَة	dialect	murre	διάλεκτος	dialek	-弁	方言	n	dialekt	dialeto	наречје	naréčje	None	ภาษาถิ่น	None	noun
أشباه	false	petollinen	ψευδόφιλος	teman	偽りの友	偽友	n	fałszywy	falso	заменица	lažni	pronombre	สรรพนาม	None	noun
عِلْم	semantics	semantiikka	None	semantik	意味論	語義學	n	semantyka	semântica	сема̀нтика	pomenoslovje	semántica	None	None	noun
دِيسِمْبِر	December	joulukuu	Δεκέμβριος	Desember	師走	十二月	n	grudzień	dezembro	дѐце̄мбар	decêmber	diciembre	ธันวาคม	None	name
بُولَنْدِيَّة	Polish	puola	πολωνικά	bahasa	ポーランド語	波蘭語	n	język	polonês	по̏љскӣ	póljščina	None	ภาษาโปแลนด์	None	noun
لَوْح	osteo-	lapaluu	ωμοπλάτη	tulang	肩甲骨	肩胛骨	n	łopatka	omoplata	ло̀патица	lopatica	omóplato	กระดูกสะบัก	None	noun
أَبْرِيل	April	huhtikuu	Απρίλιος	april	卯月	四月	n	kwiecień	abril	април	apríl	None	เมษายน	None	name
None	growth	kasvu	None	pertumbuhan	None	None	n	rośnięcie	crescimento	None	rast	crecimiento	None	None	noun
أَكْتُوبَر	October	lokakuu	Οκτώβριος	oktober	神無月	十月	n	październik	outubro	октобар	október	octubre	ตุลาคม	None	name
سِيلُوفُون	woodwind	puupuhallin	ξύλινα	xilofon	カウベル	木管樂器	n	krowi	madeira	ksilofon	kravji	cencerro	ระนาด	None	noun
خَادِم	servant	palvelija	υπηρέτης	pembantu	使用人	僕人	n	służący	empregado	слу́га	služabnik	sirviente	ข้า	None	noun
None	servant	palvelija	υπηρέτης	pelayan	None	None	n	None	servente	None	None	servidor	None	None	noun
بَطْن	abdomen	vatsa	στομάχι	perut	お腹	腹部	n	brzuch	abdómen	тр̀бух	trebuh	vientre	ท้อง	None	noun
مِعَد	abacus	helmitaulu	άβακας	dekak-dekak	None	算盤	n	liczydło	ábaco	рачунаљка	računalo	None	ลูกคิด	None	noun
شِرْك	polytheism	monijumalisuus	πολυθεϊσμός	politeisme	None	多神教	n	politeizm	politeísmo	политеизам	politeizem	None	พหุเทวนิยม	None	noun
None	odd	outo	αλλόκοτος	ganjil	変な	奇怪	a	dziwny	estranho	None	čuden	extraño	None	None	adj
None	odd	pariton	περιττός	gasal	奇の	奇	a	nieparzysty	ímpar	непаран	lih	impar	None	None	adj
وَثَبَ	leap	loikata	πάλλομαι	lompat	飛躍する	跳躍	v	skakać	saltar	None	None	None	เผ่น	None	verb
None	leap	hyppy	άλμα	lompatan	跳躍	None	n	skok	salto	None	None	None	None	None	noun
None	absorber	None	None	penyerap	None	None	n	absorbent	absorvedor	None	None	None	None	None	noun
عِلْم	computer	tietojenkäsittelytiede	πληροφορική	ilmu	情報科学	電腦科學	n	informatyka	ciência	računarstvo	None	computación	วิทยาการคอมพิวเตอร์	None	noun
فِعْل	verb	verbi	ρήμα	kata	None	動詞	n	czasownik	verbo	глагол	None	None	คำกริยา	None	noun
شَهْر	month	kuukausi	μήνας	bulan	月間	月	n	miesiąc	mês	ме̏се̄ц	mésec	mes	เดือน	None	noun
مُورْفِيم	morpheme	morfeemi	μόρφημα	morfem	形態素	詞素	n	None	morfema	морфе́ма	None	None	หน่วยคำ	None	noun
تَوْحِيد	monotheism	monoteismi	μονοθεϊσμός	monoteisme	None	一神教	n	monoteizm	monoteísmo	монотеѝзам	monoteizem	None	เอกเทวนิยม	None	noun
يَنَايِر	January	tammikuu	Ιανουάριος	Januari	睦月	一月	n	styczeń	janeiro	јануар	jánuar	enero	มกราคม	None	name
تَشَاكُل	metric	metriikka	ομομορφισμός	kontinuitas	計量	度量	a	metryka	métrica	homomorfizam	homomorfizem	continuidad	None	None	adv
نَاسَا	NASA	None	None	Badan	米航空宇宙局	國家航空航天局	n	None	None	None	None	None	None	None	name
None	parole	ehdonalainen	None	pelepasan	仮釈放	假釋	n	None	condicional	None	None	libertad	None	None	noun
None	dickhead	None	πουτσοκέφαλος	palkon	None	龜頭	n	None	cabeça	None	None	capullo	หัวควย	None	noun
None	dickhead	molopää	βλάκας	goblok	糞垂れ	傻屄	n	chujogłowy	cabeça	None	None	cabeza	None	None	noun
غُرَاب	crow	varis	κουρούνα	burung	烏	烏鴉	n	wrona	gralha-preta	вра̏на	vrána	corneja	กา	None	noun
None	crow	kieunta	λάλημα	kukuruyuk	コケコッコー	咕咕咕	i	pianie	canto	крик	kikirikȋ	cacareo	เอ้กอีเอ้กเอ้ก	None	intj
None	google	googlaus	γκουγκλιά	googling	None	None	n	guglanie	pesquisa	None	None	googleada	None	None	noun
ق.	BC	eKr.	π.Χ.	SM	None	公元前	a	przed	a.C.	None	None	a.	None	None	adv
احتجاب	occultation	okkultaatio	επιπρόσθηση	okultasi	掩蔽	掩星	n	okultacja	ocultação	okultacija	None	ocultación	None	None	noun
مُرَادِف	synonym	synonyymi	συνώνυμο	sinonim	同義語	同義詞	n	synonim	sinónimo	истозначница	sopomenka	None	ไวพจน์	None	noun
قَادِر	able	taitava	ικανός	sanggup	有能	能幹	a	umiejętny	capaz	sposoban	None	diestro	None	None	adj
None	able	pätevä	αρτιμελής	boleh	有資格の	有資格	a	None	competente	None	None	None	None	None	adj
أَلْفِيَّة	millennium	vuosituhat	χιλιετία	milenium	千年間	千年	n	tysiąclecie	milénio	тисућлеће	tisočletje	milenio	สหัสวรรษ	None	noun
دَقِيقَة	minute	minuutti	λεπτό	menit	None	分鐘	n	None	minuto	мину́та	None	None	นาที	None	noun
None	minute	minuutti	λεπτό	detik	秒	None	n	minuta	minuto	None	None	None	ลิปดา	None	noun
بِغَيْرِ	absent	ilman	None	bebas	None	None	a	bez	na	bez-	None	None	None	None	adj
تَعْرِيف	definition	määritelmä	ορισμός	definisi	語義	定義	n	definicja	definição	дефини́ција	definicija	definición	การกำหนด	None	noun
عَقْد	decade	vuosikymmen	δεκαετία	dasawarsa	None	十年	n	dziesięciolecie	década	десетлеће	desetletje	decenio	ทศวรรษ	None	noun
None	-ity	-uus	-ότητα	-itas	None	性	s	-ość	-idade	None	-nost	-idad	None	None	suffix
قَامُوس	dictionary	sanakirja	λεξικό	kamus	辞書	字典	n	słownik	dicionário	ре̑чнӣк	slovar	diccionario	พจนานุกรม	None	noun
فَطِيرَة	pie	piirakka	πίτα	kue	パイ	餡餅	n	ciasto	tarte	пита	None	pastel	พาย	None	noun
جُنَيْه	pie	punta	λίρα	paun	ポンド	鎊	n	funt	libra	фу̑нта	None	florín	ปอนด์	None	noun
غَرِيب	alien	muukalainen	ξένος	orang	余所者	異客	n	obcy	estranho	изванзема́љац	None	desconocido	None	None	noun
فَضَائِيّ	alien	avaruusolento	εξωγήινος	makhluk	異星人	外星人	n	obcy	alienígena	ванзема́љац	nezemljan	None	มนุษย์ต่างดาว	None	noun
None	alien	vierasmaalainen	ξένος	asing	外来の	None	a	cudzoziemski	alienígena	None	None	None	ต่างประเทศ	None	adj
None	alien	vieras	ξένος	pendatang	相容れない	None	a	None	alheio	None	None	ajeno	None	None	adj
حِقْبَة	AD	jKr.	μ.Χ.	M	西暦	公元	n	po	DC	None	n.	d.C.	ค.ศ.	None	noun
الْيَوْمَ	today	tänään	σήμερα	hari	本日	今天	a	dzisiaj	hoje	да̀нас	dánes	hoy	วันนี้	None	adv
حَاضِر	today	nykyisin	σήμερα	masa	今日	現代	a	w	hoje	са̀дашњица	dánes	hoy	วันนี้	None	adv
الْيَوْم	today	tämä	σήμερα	hari	None	今天	n	dzisiaj	hoje	да̀нас	dánes	hoy	วันนี้	None	noun
None	meticulous	huolellinen	επιμελής	teliti	細部まで行き届いた	過細	a	drobiazgowy	meticuloso	None	None	minucioso	None	None	adj
اَلْبَنْك	European	Euroopan	Ευρωπαϊκή	Bank	欧州中央銀行	歐洲中央銀行	n	Europejski	Banco	Europska	None	Banco	ธนาคารกลางยุโรป	None	name
أَرْبَعَة	four	neljä	τέσσερα	empat	四つ	四	n	cztery	quatro	чѐтири	štírje	cuatro	สี่	None	num
دَيْن	debt	velvoite	χρέος	utang	None	人情債	n	zobowiązanie	dívida	None	dôlg	deuda	None	None	noun
None	debt	velka	χρέος	berutang	None	人情債	n	zadłużenie	dívida	дуг	dolg	deuda	None	None	noun
دَيْن	debt	velka	χρέος	utang	負債	借款	n	dług	dívida	дуг	dôlg	deuda	หนี้	None	noun
None	pumpkin	kurpitsa	κερασί	merah	栗色の	珊瑚色	n	dyniowy	abóbora	None	None	guinda	กัลปังหา	None	noun
حُرّ	libre	vapaa	None	bebas	None	自由	a	wolny	livre	сло̏бодан	prosto	None	None	None	adj
مُوسِيقِيّ	musician	muusikko	μουσικός	musikus	音楽家	音樂家	n	muzyk	músico	музичар	glasbenik	None	นักดนตรี	None	noun
اَلاِتِّحَاد	USSR	SNTL	ΕΣΣΔ	Uni	ソ連	蘇聯	n	ZSRR	URSS	СССР	ZSSR	None	สหภาพโซเวียต	None	name
هُرَاء	nonsense	hölynpöly	βλακείες	omong	無意味	廢話	n	niedorzeczność	besteira	bèsmislica	None	tontería	ความเพ้อเจ้อ	None	noun
عُقَاب	eagle	kotka	αετός	elang	鷲	老鷹	n	orzeł	águia	о̀рао	orel	águila	อินทรี	None	noun
تَقْوِيم	calendar	kalenteri	ημερολόγιο	kalender	暦	日曆	n	kalendarz	calendário	калѐнда̄р	koledar	calendario	ปฏิทิน	None	noun
تَقْوِيم	calendar	kalenteri	ημερολόγιο	kalender	カレンダー	None	n	kalendarz	calendário	калѐнда̄р	koledar	calendario	None	None	noun
None	calendar	toimintakalenteri	πρόγραμμα	jadwal	None	None	n	kalendarz	calendário	None	None	None	None	None	noun
غُرَاب	raven	korppi	κόρακας	gagak	渡り鴉	烏鴉	n	kruk	corvo	га̏вра̄н	krokar	cuervo	นกยาง	None	noun
الْيَابَان	Japan	Japani	Ιαπωνία	Jepang	大和	日本	n	Japonia	Japão	Ја̀па̄н	Japónska	Japón	ญี่ปุ่น	None	name
جُمْهُورِيَّة	former	entinen	πρώην	Republik	マケドニア旧ユーゴスラビア共和国	前南斯拉夫馬其頓共和國	n	Była	Antiga	бивша	Nekdanja	Antigua	อดีตสาธารณรัฐยูโกสลาฟมาซิโดเนีย	None	name
None	word	sana	λόγος	firman	福音	None	n	Słowo	verbo	None	None	None	None	None	noun
كَلِمَة	word	sana	λέξη	kata	言葉	詞	n	słowo	palavra	ре̑ч	beseda	palabra	คำ	None	noun
الأَلْمَانِيَّة	German	saksa	γερμανικά	bahasa	ドイツ語	德語	n	niemiecki	alemão	немачки	némščina	alemán	ภาษาเยอรมัน	None	name
أَلْمَانِيّ	German	saksalainen	γερμανικός	Jerman	ドイツの	德國	a	niemiecki	alemão	нѐмачкӣ	némški	alemán	เยอรมัน	None	adj
مِظَلَّة	umbrella	sateenvarjo	ομπρέλα	payung	蝙蝠傘	傘	n	parasol	guarda-chuva	ки̏шобра̄н	dežnik	paraguas	ร่ม	None	noun
صِرْبِيَا	Serbia	Serbia	Σερβία	Serbia	セルビア・モンテネグロ	塞爾維亞和黑山	n	Serbia	Sérvia	Ср̀бија	Srbija	Serbia	เซอร์เบียและมอนเตเนโกร	None	name
أَعْوَام	year	vuosi	χρόνος	tahun	None	年	n	rok	ano	го̏дина	lẹ́to	año	ปี	None	noun
None	year	vuosi	χρόνος	tahun	None	年度	n	rok	ano	None	None	año	ปี	None	noun
None	year	vuosi	χρόνος	tahun	None	None	n	rok	ano	None	None	None	None	None	noun
صَفّ	year	luokka	None	tahun	None	年級	n	rok	ano	разред	None	año	ปี	None	noun
عَدَسَة	lens	linssi	φακός	lensa	レンズ	透鏡	n	soczewka	lente	со̏чӣво	leča	None	เลนส์	None	noun
None	motherfucker	kusipää	καριόλης	keparat	くそったれ	肏你媽	n	skurwysyn	filho	мамојебац	pizdun	hijo	None	None	noun
حَرْف	letter	kirjain	γράμμα	huruf	None	字母	n	litera	letra	сло̏во	črka	carácter	ตัวอักษร	None	noun
رِسَالَة	letter	kirje	επιστολή	surat	手紙	信	n	list	carta	пи́смо	pismo	None	จดหมาย	None	noun
None	avatar	inkarnaatio	αβατάρα	awatara	天降	化身	n	awatar	None	None	None	encarnación	อวตาร	None	noun
اِسْتَطَاعَ	may	voida	μπορώ	boleh	してもいい	可以	v	móc	poder	None	None	None	None	None	verb
None	may	voida	ίσως	mungkin	多分	可能	v	móc	talvez	None	None	quizás	อาจ	None	verb
تَرَكَ	abandon	jättää	εγκαταλείπω	mengabaikan	放置する	遺棄	v	opuszczać	abandonar	napustiti	zapustiti	None	None	None	verb
عَدَد	number	luku	αριθμός	angka	None	數	n	liczba	número	бро̑ј	število	None	จำนวน	None	noun
عَدَد	number	numero	αριθμός	nomor	数詞	數詞	n	cyfra	número	brȏj	števnik	None	เลข	None	noun
None	number	lukumäärä	αριθμός	barel	多寡	多少	n	liczba	quantidade	мно̀штво	None	cantidad	บาร์เรล	None	noun
وِلَادَة	birth	synnyttäminen	γέννα	kelahiran	誕生	出生	n	urodzenie	nascimento	рође́ње	rojstvo	nacimiento	การเกิด	None	noun
نَعْت	adjective	adjektiivi	επίθετο	kata	形容動詞	形容詞	n	przymiotnik	adjetivo	придев	pridevnik	None	คุณศัพท์	None	noun
قَلِيل	few	harva	λίγοι	sedikit	少し	少	d	mało	poucos	мало	nekaj	poco	น้อย	None	det
قَلِيل	few	vähän	χούφτα	segelintir	わずか	少	n	kilka	poucos	None	None	pocos	None	None	noun
قَلِيل	few	harva	None	sedikit	None	None	p	None	None	None	None	None	None	None	pron
سَاعَة	hour	tunti	ώρα	jam	時	小時	n	godzina	hora	са̑т	úra	None	ชั่วโมง	None	noun
وَقْت	hour	milloin	ώρα	kapan	何時	None	n	kiedy	hora	None	None	el	None	None	noun
قَرْن	century	vuosisata	αιώνας	abad	None	世紀	n	stulecie	século	ве̑к	stoletje	centuria	ศตวรรษ	None	noun
سِبْتِمْبِر	September	syyskuu	Σεπτέμβριος	september	長月	九月	n	wrzesień	setembro	септембар	septêmber	septiembre	กันยายน	None	name
حُرُوف	alphabet	aakkoset	αλφάβητο	abjad	アルファベット	字母	n	abecadło	abc	а̀збука	abeceda	abecedario	ตัวอักษร	None	noun
نِظَام	operating	käyttöjärjestelmä	λειτουργικό	sistem	オペレーティングシステム	操作系統	n	system	sistema	оперативни	operacijski	None	ระบบปฏิบัติการ	None	noun
رَئِيس	head	päällikkö	κεφαλή	kepala	指導者	領袖	n	kierownik	chefe	None	poglavar	cabeza	None	None	noun
رَأْس	head	lanttu	κεφάλι	kepala	頭部	腦袋	n	głowa	cabeça	гла́ва	glava	cabeza	หัว	None	noun
None	head	johtaa	None	memimpin	指導する	None	v	kierować	comandar	None	None	encabezar	None	None	verb
اِتَّجَهَ	head	suunnata	None	menuju	向かう	None	v	kierować	dirigir-se	None	None	dirigirse	None	None	verb
إِنْجِلِيزِيّ	English	englantilainen	αγγλικός	Inggris	イギリスの	英格蘭的	a	angielski	inglês	енглески	angléški	inglés	อังกฤษ	None	adj
إِنْجِلِيزِيّ	English	englannin	αγγλικός	Inggris	英語の	英語的	a	angielski	inglês	енглески	angléški	inglés	อังกฤษ	None	adj
إِنْجِلِيز	English	englantilainen	Άγγλος	orang	イギリス人	英國人	n	Anglik	ingleses	Ѐнгле̄з	Angléž	None	คนอังกฤษ	None	noun
None	English	englanti	None	inggristis	None	None	n	None	None	None	None	None	None	None	name
إِنْكِلِيزِيّ	English	englanti	αγγλικά	bahasa	None	英語	n	(język)	inglês	енглески	angléščina	inglés	อังกฤษ	None	name
بِطَالَة	unemployment	työttömyys	ανεργία	pengangguran	None	失業	n	bezrobocie	desemprego	неза̀послено̄ст	brezposelnost	desempleo	การว่างงาน	None	noun
صَيْف	summer	kesä	καλοκαίρι	musim	夏	夏天	n	lato	verão	ле̏то	polétje	verano	ฤดูร้อน	None	noun
قَلَم	pencil	lyijykynä	μολύβι	pensil	None	鉛筆	n	ołówek	lápis	о̀ло̄вка	svinčnik	lápiz	ดินสอ	None	noun
اِسْم	noun	substantiivi	ουσιαστικό	kata	None	名詞	n	rzeczownik	substantivo	именица	samostalnik	sustantivo	นาม	None	noun
أَخْفَى	conceal	kätkeä	αποκρύπτω	menyembunyikan	隠す	隱瞞	v	chować	esconder	кри̏ти	skrivati	ocultar	ปิดบัง	None	verb
يُونِيُو	June	kesäkuu	Ιούνιος	juni	水無月	六月	n	czerwiec	junho	јун	júnij	junio	มิถุนายน	None	name
مَوْسِم	season	kausi	σεζόν	musim	旬	季節	n	sezon	temporada	сезона	obdobje	período	ฤดู	None	noun
