Sense	Arabic	English	Finnish	Greek	Indonesian	Japanese	Mandarin Chinese	POS	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai	lang	POS
mentioned or named before; aforesaid	الْمَذْكُورُ آنِفًا السًّابِقُ ذِكْرُهُ السَّابِقُ الذِّكْرِ	above-mentioned	yllä mainittu	προαναφερθείς	tersebut di atas dijelaskan di atas	上述 上で述べた	上述的	a d j	powyższy wyżej wymieniony wyżej ukazany	supracitado supramencionado	gore spomenuti gore navedeni	None	sobredicho antedicho	None	None	adj
exactly, precisely	None	accurately	tarkasti täsmällisesti tarkalleen täsmälleen tarkkaan	None	secara akurat secara teliti secara cermat	正確に	None	a d v	dokładnie akuratnie celnie trafnie	exatamente precisamente justamente	tačno тачно tȍčno то̏чно prȅcīzno пре̏цӣзно	None	None	None	None	adv
female given name	فِيكْتُورِيَا تْيْرْيْزَا مَرْثَا هَانَا مَرْيَم مَارِي	Fanny Victoria Adelaide Georgia Christian Laura Ursula Brittany Florence Larissa Virginia Alexandria Teresa Martha Nessie Claudia Hannah Mary	Fanni Viktoria Aada Aleksandra Martta Hanna Maria Marja	Βικτωρία Αδελαΐδα Γεωργία Χριστιανή Λαύρα Ούρσουλα Ουρσούλα Μπρίτνεϊ Ευανθία Φλωρεντία Βιργινια Παρθενία Θηρεσία Χάνα Μαρία	Mariam	ビクトリア アデレード ローラ ウルスラ アーシュラ ブリタニー フローレンス テレサ マーサ ハナ 花	維多利亞 维多利亚 羅娜 罗娜 蘿拉 萝拉 勞拉 劳拉 亞歷山卓 亚历山卓 亞歷山大 亚历山大 特蕾莎 特雷莎 特麗薩 特丽萨 特里薩 特里萨 德蕾莎 漢娜 汉娜 瑪麗 玛丽 瑪莉 玛莉 瑪利 玛利	n a m e	Wiktoria Adelajda Urszula Wirginia Marta Aga Klaudia	Vitória Úrsula Florência Virgínia Cláudia Ana	Вѝкто̄рија Vìktōrija Тереза Tereza Хана Hana	Lavra Urška	Adelaida Florencia Alejandra	ฮันนาห์	None	name
abbreviation of gross domestic product	None	GDP	BKT	ΑΕΠ	PDB	None	國內生產總值 国内生产总值	n o u n	PKB	PIB	БДП BDP	None	PBI	None	None	noun
member of an academy	أَكَادِيمِيّ أَكَادِيمِيَّة	academian academician	akateemikko	ακαδημαϊκός	akademikus akademisi	アカデミー会員 アカデミシャン	院士	n o u n	akademik akademiczka	acadêmico	акадѐмик akadèmik	None	académico académica academista	นักวิชาการ	None	noun
first of two coordinates	None	abscissa	abskissa	τετμημένη	absis	None	横坐标	n o u n	odcięta abscysa	abcissa	None	None	abscisa	None	None	noun
unrefined oil	None	crude oil	raakaöljy	αργό πετρέλαιο	minyak mentah	None	原油	n o u n	ropa	petróleo bruto petróleo cru crude	None	None	crudo	None	None	noun
astronomy	مقابلة الثُّرَيَّا	achronic centaur opposition Centaur triquetrum bow shock quadrature Pleiades Chiron hydrostatic equilibrium	oppositio iskurintama iskuaaltorintama Seulaset Plejadit hydrostaattinen tasapaino	αντίθεση Πλειάδες Χείρων	Kartika	ケンタウルス ケンタウロス ケンタウルス族 衝 矩 西矩 西方矩 下矩 昴 スバル プレアデス星団 キロン	半人馬座 半人马座 昴宿星團 昴宿星团 七姊妹星團 七姊妹星团	n o u n	achroniczny opozycja Plejady równowaga hydrostatyczna	Plêiades Quíron	Плејаде Влашићи Мессиер 45 Plejade Vlašići Messier 45 Хирон Hiron	None	cuadratura Pléyades Quirón	กระจุกดาวลูกไก่	None	noun
month	رَجَب	Abib moon Rajab	kuukausi kuu	σεληνιακός μήνας φεγγάρι	bulan	None	月 賴哲卜月 赖哲卜月	n a m e	miesiąc	lua mês	месец мјесец mesec mjesec реџеп redžep	mésec	mes	เดือน	None	name
applause	None	acclamation hand	suosionosoitukset aplodit	None	aklamasi	喝采	掌聲 掌声	n o u n	poklask aklamacja	aclamação	клицање аклама́ција klicanje aklamácija	None	aclamación	None	None	noun
miscarriage	إِجْهَاض إِخْفَاق خَسَارَة إجهاض	abortion	keskenmeno	αποβολή	keguguran abortus	流産 失敗 堕胎	流產 流产 小產 小产 墮胎	n o u n	poronienie abort	aborto aborto espontâneo	pobačaj	None	aborto involuntario	None	None	noun
induced abortion	خِدَاج	abortion	raskaudenkeskeytys abortti	έκτρωση άμβλωση	aborsi	妊娠中絶 人工流産 中絶	流產 流产 人工流產 人工流产 人流 墮胎 堕胎 打胎	n o u n	aborcja abort	aborto induzido aborto	абортус побачај abortus pobačaj	splav	aborto inducido	การทำแท้ง	None	noun
act of inducing abortion	None	abortion	abortti raskaudenkeskeytys	None	aborsi penguguran kandungan	人工妊娠中絶 妊娠中絶 中絶	流產 流产 人工流產 人工流产 人流 墮胎 堕胎 打胎	n o u n	aborcja abort	aborto abortamento	побацити pobaciti	None	None	None	None	noun
unexpectedly, unintentionally	None	accidentally	vahingossa sattumalta	None	secara tak sengaja tanpa disadari secara kebetulan	無意識的に 誤って	偶然	a d v	przypadkowo	acidentalmente	None	None	accidentalmente	โดยไม่ตั้งใจ	None	adv
more specific word	None	hyponym	alakäsite hyponyymi	υπώνυμο	hiponim	下位語	下義詞 下义词 下位詞 下位词	n o u n	None	hipónimo hipônimo	хипо̀нӣм hipònīm	podpomenka	None	None	None	noun
cat	عَتَّابِي	Abyssinian Bombay Burmese tabby Balinese angora calico Siberian grimalkin kitty-cat Sphynx tuxedo cat Asiatic golden cat	abessinialainen burma burmankissa turkkilainen angora siperiankissa kissimirri aasiankultakissa	None	kucing angora	アビシニアン トラネコ 虎猫 トラ猫 三毛 サイベリアン スフィンクス	虎斑貓 虎斑猫 斑貓 斑猫 三毛貓 三毛猫 三花猫 西伯利亞貓 西伯利亚猫 貓咪 猫咪 斯芬克斯貓 斯芬克斯猫 加拿大無毛貓 加拿大无毛猫 奶牛猫	n o u n	kot abisyński abisyńczyk abisynka kot burmski kot burmański kiciuś	abissínio bombaim birmanês sagrado da Birmânia gato tigrado balinês angorá gato tricolor gato siberiano	абисинка abisinka	None	gato atigrado gato romano gato calicó gato dorado asiático gato dorado de Temminck	แมวลายสลิด	None	noun
small lake	بِرْكَة غَدِير	pond	lampi allas	νερόλακος λιμνούλα	kolam	None	池塘 池	n o u n	staw sadzawka jeziorko rybnik	lagoa tanque	језе́рце ри̑бња̄к пру̑д жа̏бња̄к jezérce rȋbnjāk prȗd žȁbnjāk	ribnik	charca estanque laguna	บ่อน้ำ สระน้ำ สระ	None	noun
plant	قِنَّب مَانِيلَا قَرْع يَقْطِين دُبَاء قرع قرعة	abaca pumpkin	manila manilahamppu kurpitsa	αβάκα κολοκύθα	pisang serat pisang manila abaka labu	マニラ麻 マニラ糸芭蕉 カボチャ	蕉麻 马尼拉麻 南瓜	n o u n	banan manilski dynia	abacá abóbora aboboreira jerimum	бу̏ча бу̏ћа бу̀ндева ти̏ква bȕča bȕća bùndeva tȉkva	buča	calabaza calabazera	ฟักทอง	None	noun
an official in a bureaucracy	بِيرُوقْرَاطِيّ	bureaucrat	byrokraatti	γραφειοκράτης	birokrat	None	官僚	n o u n	biurokrata	burocrata	биро̀крат biròkrat	None	burócrata	None	None	noun
region	فَضَاء خَارِجِيّ	outer space Yemen principality	ulkoavaruus ruhtinaskunta	διάστημα πριγκιπάτο ηγεμονία	kepangeranan	宇宙	太空 宇宙空間 宇宙空间 外層空間 外层空间 公國 公国 親王國 亲王国	n o u n	kosmos przestrzeń kosmiczna	espaço sideral	све̏мӣр васио́на васељена космос svȅmīr vasióna vaseljena	vesoljski prostor	espacio exterior espacio cósmico	อวกาศ	None	noun
study of the historical development of languages, particularly of individual words	تَأْثِيل	etymology	etymologia	ετυμολογία	etimologi	語源学	語源學 语源学 词源学	n o u n	źródłosłów	etimologia	етимологија etimologija	None	etimología	ศัพทมูลวิทยา	None	noun
cross-dresser	None	transvestite	transvestiitti	τραβεστί	banci	異性装者	異裝癖者 异装癖者	n o u n	transwestyta transwestytka	travesti	трансвестит transvestit	None	transformista	None	None	noun
quality or state of being able	قُدْرَة مَقْدِرَة اِسْتِطَاعَة وُسْع قدرة مقدرة إستطاعة	ability	kyky taito kyvykkyys	ικανότητα	kemampuan kesanggupan kepandaian	None	能力	n o u n	zdolność	habilidade capacidade	спосо́бно̄ст sposóbnōst	zmožnost	habilidad capacidad	ความสามารถ	None	noun
person	أُورُوبِيّ أُورُوبِيَّة كُورِيّ كُورِيَّة تْشِيكِيّ تْشِيكِيَّة	accessary European couch potato Korean Czech	eurooppalainen sohvaperuna korealainen tšekki	Ευρωπαίος Ευρωπαία Κορεάτης Κορεάτισσα Τσέχος Τσέχα	orang Korea	ヨーロッパ人 欧州人 韓国人 コリアン チェコ人	歐洲人 欧洲人 韓國人 韩国人 朝鮮人 朝鲜人 捷克人	n o u n	Europejczyk Europejka kanapowy leń Koreańczyk Koreanka Czeszka	europeu europeia coreano coreana tcheco tcheca checo checa	Európljanin Európljānka Européjac Коре́јац Корејка Корејанац Корејанка Кореанац Кореанка Koréjac Korejka Korejanac Korejanka Koreanac Че̏х Че̏хиња Čȅh Čȅhinja	Evropejec Evropejka Korejec Čéh Čéhinja	europeo europea	ชาวเช็ก	None	noun
of or pertaining to office work and workers	None	white-collar	valkokaulus-	None	kerah putih	ホワイトカラー	白領 白领	a d j	None	de/do colarinho branco	None	None	None	None	None	adj
day of the week	الْأَرْبِعَاء يَوْم الْأَرْبِعَاء الأربع الاربعا الاربع	Wednesday	keskiviikko	Τετάρτη	hari rabu	水曜日 水曜	星期三 禮拜三 礼拜三 周三	n o u n	środa	quarta-feira	среда сриједа sreda srijeda	sréda	miércoles	วันพุธ	None	noun
a small, portable, keyed wind instrument	أَكُورْدِيُون	accordion	harmonikka haitari hanuri	ακορντεόν	akordeon	アコーデオン	手風琴 手风琴	n o u n	harmonia ręczna	acordeão gaita sanfona	хармо̀ника harmònika	harmọ́nika	acordeón	หีบเพลงชัก	None	noun
period of seven days	أُسْبُوع جُمْعَة اسبوع إسبوع أُسبوع سيمانة جمعة	week	viikko	εβδομάδα επταήμερο εφταήμερο	minggu pekan	週間	星期 週 周 禮拜 礼拜	n o u n	tydzień	semana	недеља нѐдјеља нѐђеља те̏дан тје̏дан сѐдмица nèdelja nèdjelja nèđelja tȅdan tjȅdan sèdmica	téden	None	สัปดาห์ อาทิตย์ สัตวาร สัตตาห	None	noun
mammal	خِنْزِير اَلْأَرْض فِيل فيل	aardvark elephant	maasika norsu elefantti	μυρμηγκοφάγος ελέφαντας	gajah	ゾウ	土豚 象 大象	n o u n	mrównik prosię ziemne słoń słonica	oricterope porco-da-terra jimbo porco-formigueiro timba timbo elefante elefanta aliá elefoa alifante	сло̏н сло̀ница фил slȍn slònica fil	slon	cerdo hormiguero	อาร์ดวาร์ก	None	noun
computing: to terminate a process prior to completion	None	abort	keskeyttää	None	menghentikan	None	終止 终止	v e r b	przerwać	abortar	prekinuti	None	None	None	None	verb
mishearing	None	mondegreen	väärin kuuleminen	None	salah dengar	空耳	None	n o u n	przesłyszenie	tiocidade virundum	None	None	pomporruta	None	None	noun
person who assists women in childbirth	قَابِلَة دَايَة ولادة داية	accoucheur midwife	kätilö	μαία μαμή	bidan	助産師 助産婦 産婆	男接生员 助產士 助产士 接生員 接生员 接生婆 穩婆 稳婆 產婆 产婆	n o u n	akuszer akuszerka położna	parteiro parteira	primalja ба̏бица bȁbica	babica	matrón partera comadrona matrona	ตำแย	None	noun
principle	None	subsidiarity Bernoulli's principle Occam's razor Pareto principle biogenesis principle of charity freedom of navigation religious freedom	subsidiariteetti subsidiariteettiperiaate läheisyysperiaate toissijaisuusperiaaate Bernoullin laki Occamin partaveitsi Pareton periaate suopeuden periaate merenkulun vapaus uskonnonvapaus	None	pisau Ockham	ベルヌーイの定理 オッカムの剃刀	伯努利定律 奧卡姆剃刀 奥卡姆剃刀 帕雷托法則 帕雷托法则 自由航行 宗教自由	n o u n	subsydiarność brzytwa Ockhama zasada wielkoduszności	navalha de Occam navalha de Ockham lâmina de Occam lâmina de Ockham biogénese biogênese	Окамова бритва Okamova britva Occamova oštrica	Occamova britev Occamovo rezilo	subsidiariedad navaja de Occam biogénesis	หลักการของออคแคม	None	noun
the mammal Proteles cristatus	ذِئْب الأَرْض عِسْبَار	aardwolf	maasusi	άαρντ-γουλφ	serigala bumi	アードウルフ	土狼	n o u n	protel	protelo lobo-da-terra	земни вук zemni vuk	pižmova hijena zemeljski volk	lobo de tierra proteles	None	None	noun
comprehensive reference with articles on a range of topics	مَوْسُوعَة دَائِرَة مَعَارِف موسوعة	encyclopedia	tietosanakirja ensyklopedia	εγκυκλοπαίδεια	ensiklopedia	None	百科全書 百科全书 百科事典	n o u n	encyklopedia	enciclopédia	енциклопе́дија enciklopédija	enciklopedija	enciclopedia	สารานุกรม	None	noun
competition in the answering of questions	اِخْتِبَار	quiz	tietovisa tietokilpailu	None	kuis	クイズ	測驗 测验 競猜 竞猜	n o u n	turniej kwiz	None	кви̑з kvȋz	kviz	prueba cuestionario examen	None	None	noun
in or to a higher place	فَوقَ فوق	above	yllä yläpuolella päällä ylempänä ylemmäs	πάνω	atas	...の上に	在...上面	p r e p	nad powyżej	acima de em cima de sobre	над	None	arriba encima de	เหนือ	None	prep
in addition to	بِـ بِالْإِضَافَة إِلَى بالإضافة لـ فَوْقَ فوق كدا	above with as well as beyond plus besides	lisäksi kera	με μαζί εκτός	selain	…を伴って …付きの ...のほかに ...に加えて	跟 和 與 与 除了...以外	p r e p	z jak i jak również oprócz poza	com assim como mais além de	pored	s	con así como más	กับ	None	prep
strong tendon in the calf of the leg	وَتَر أَخِيل عُرْقُوب	Achilles tendon	akillesjänne	αχίλλειος τένοντας	tendon achilles	アキレス腱	跟腱	n o u n	ścięgno Achillesa	tendão de Aquiles	Ахилова тетива Ahilova tetiva	None	tendón aquíleo tendón de Aquiles tendón calcáneo	None	None	noun
goods offered for sale	بِضَاعَة بَضَائِع سِلْعَة سِلَع مَتَاع سلعة	merchandise	tuotteet myyntituotteet kauppatavarat	εμπόρευμα αγαθά	barang barang-barang barang dagangan	品物 商品 品 商材	產品 产品 貨物 货物 物品 製品 制品	n o u n	towar artykuł produkt dobro	mercadoria	ро̏ба до̀бро rȍba dòbro	blago trgovsko blago	mercancía	สินค้า	None	noun
seventh month of the Gregorian calendar	يُولِيُو تَمُّوز	July	heinäkuu	Ιούλιος	juli	文月	七月 7月	n a m e	lipiec	julho	ју̑л ју̑ли ср̑пањ jȗl jȗli sȓpanj	júlij	julio	กรกฎาคม	None	name
exact or careful conformity to truth	مَضْبُوط دَقِيق	accurate	tarkka täsmällinen paikkansapitävä täsmä-	ακριβής	akurat teliti tepat cermat titis	正確な 精密な	準確 准确	a d j	dokładny akuratny	preciso exato acurado justo certeiro	то̏чан та̏чан пре̏цӣзан tȍčan tȁčan prȅcīzan	natančen	exacto correcto certero	แม่นยำ	None	adj
organization	اِتِّحَاد نَقَابَة اَلْعَمَال نَقَابَة نقابة بَرِيد مُنَظَّمَة خَيْرِيَّة	trade union hunt fund Orange Order post office charity	ammattiyhdistys ammattiliitto metsästysseura rahasto oranialaisveljeskunta posti hyväntekeväisyysjärjestö	συντεχνία συνδικάτο ταμείο ταχυδρομείο φιλανθρωπικό ίδρυμα	serikat buruh	労働組合 労組 郵便局	工會 工会 基金 基金會 基金会 郵局 邮局 慈善機構 慈善机构	n o u n	związek zawodowy fundusz poczta organizacja charytatywna instytucja charytatywna	sindicato fundação correios instituição de caridade	синдѝка̄т sindìkāt по̏шта pȍšta	sindikat pošta	entidad benéfica	สหภาพแรงงาน กองทุน ไปรษณีย์	None	noun
indicating the speaker does not care what someone says	طُز	whatever	miten vain ihan miten vain joopa joo olkoon ihan sama	καλά κρασιά	bodo amat bodo	どうでもいい！ 勝手にしろ ご勝手に！	隨便 随便 好吧	i n t j	oj tam jeden pies	tanto faz que seja tanto faz como tanto fez dane-se foda-se	None	karkoli	como sea filo no importa da igual lo que tú digas lo dicho me la suda bah ni fu ni fa velay	None	None	intj
book of synonyms	مَكْنَز	thesaurus	synonyymisanakirja käsitesanakirja	θησαυρός	tesaurus	シソーラス 類語辞典	分類詞詞典 分类词词典	n o u n	tezaurus słownik wyrazów bliskoznacznych słownik synonimów	dicionário de sinónimos dicionário de sinônimos tesauro	речник синонима теза̀урус rečnik sinonima tezàurus	None	diccionario de sinónimos tesoro	อรรถาภิธาน	None	noun
agreement or concurrence of opinion	تَفَاهُم	accord	sopusointu	None	kesepakatan persetujuan	合意	None	n o u n	porozumienie	acordo	None	None	acuerdo convenio	None	None	noun
contemptible person	None	queef swine crud	mulkku sika	None	bajingan bangsat	下劣な人	卑賤的人 卑贱的人	n o u n	świnia	canalha	None	None	cerdo canalla	None	None	noun
particular variety of a language	لَهْجَة	dialect	murre aluemurre	διάλεκτος	dialek logat	-弁	方言 話 话	n o u n	dialekt gwara narzecze	dialeto dialecto	наречје нарјечје дијалект дијалекат narečje narječje dijalekt dijalekat	naréčje	None	ภาษาถิ่น	None	noun
