synset	lemma	annotation	goodness label	confidence	language
03291819-n	amplop	KEEP	X	2	Portuguese, Spanish
07812184-n	bumbu	KEEP	L	4	Portuguese, Finnish, Serbo-Croatian, Slovene
06706676-n	medali	KEEP	Y	1	English
00524682-v	menjelma menjadi	DELETE	X	1	Finnish
07060167-n	musik rakyat	KEEP	O	1	English
00327145-v	tim	KEEP	None	1	English
00492745-r	sesungguh	KEEP	None	None	None
09917593-n	anak muda	KEEP	O	1	English
00579881-a	berani	KEEP	L	None	None
13793330-n	penghubung	KEEP	O	1	Finnish
00035603-v	memandikan	KEEP	O	1	English
00155143-v	tambah	KEEP	Y	1	Spanish
01156834-v	mencernakan	DELETE	O	1	English
15162210-n	festival	KEEP	None	None	None
01233156-n	kunjung-mengunjungi	KEEP	None	6	Slovene, Polish, Greek, Arabic, Portuguese, English
80000605-r	seolah	KEEP	None	None	None
05725527-n	panas	KEEP	O	1	English
08588152-n	sebelah dlm,dlm	DELETE	X	None	None
01410606-a	bagai	KEEP	O	1	English
03800933-n	musik alat	KEEP	None	5	Slovene, Japanese, Greek, Portuguese, English
13903576-n	pinggir	KEEP	O	1	Portuguese
04763925-n	keunikan	KEEP	O	1	English
02616386-v	merupakan	KEEP	Y	1	Finnish
13790912-n	per	KEEP	None	1	Finnish
13945919-n	status	KEEP	Y	1	Portuguese
00927017-a	yang masih ada	KEEP	None	None	None
03141609-a	‘ras’	KEEP	None	None	None
01161233-a	memfitnah	KEEP	None	None	None
01999798-v	ke	DELETE	O	2	Portuguese, Spanish
07006951-n	produksi	KEEP	Y	4	Portuguese, Greek, Spanish, English
01798936-v	mengecewakan	KEEP	Y	1	English
90000321-n	thaipusam	KEEP	None	None	None
05022457-n	kelenturan	KEEP	O	None	None
00378664-v	membakar	KEEP	O	1	English
00599992-v	membaca	DELETE	O	1	Arabic
03299261-n	dan sebagainya	KEEP	X	1	Mandarin Chinese
09945319-n	komunis	KEEP	O	1	Polish
00214761-r	menarik	KEEP	None	None	None
01740207-a	patriotik	KEEP	O	3	Slovene, Finnish, English
00305821-r	suntuk	KEEP	L	1	English
07020538-n	tari-tarian	KEEP	Y	2	Portuguese, Spanish
00310666-n	tur	KEEP	O	1	English
06887726-n	pameran	KEEP	O	1	Spanish
14006945-n	laga	KEEP	None	1	English
02620587-v	terdiri daripada	DELETE	X	1	Finnish
00061677-r	tiba-tiba	KEEP	O	2	Portuguese, Finnish
01590484-a	bangsawan	KEEP	O	None	None
09816771-n	rekan	KEEP	O	1	Japanese
90000126-n	crystal jade kitchen	KEEP	None	None	None
00001740-n	hakikat	DELETE	O	1	Finnish
90000090-n	semenanjung melayu	KEEP	None	None	None
02655135-v	berada	KEEP	O	1	Finnish
01849221-v	bergerak ke arah	KEEP	X	2	Finnish, English
02204692-v	punya	KEEP	O	1	English
02194286-v	mencoba	KEEP	O	1	English
00120675-v	membuat	KEEP	O	1	Spanish
13988498-n	negara	DELETE	O	1	English
03810952-n	monumen nasional	KEEP	X	None	None
01493173-a	masak	KEEP	Y	5	Slovene, Japanese, Finnish, Portuguese, English
13910384-n	kawasan	DELETE	O	1	Spanish
07464725-n	pertandingan	KEEP	Y	1	Polish
06099269-n	elektronik	KEEP	Y	None	None
02020590-v	peroleh	DELETE	X	2	Spanish, Finnish
80000622-a	entah	KEEP	None	None	None
00563330-n	permata tiruan	KEEP	X	None	None
01104026-a	istimewa	KEEP	X	None	None
05641959-n	keahlian	KEEP	Y	1	Spanish
08622950-n	tempat	DELETE	O	2	Finnish, English
02548820-a	basah	KEEP	O	None	None
01089778-n	dana	KEEP	Y	1	Greek
06282651-n	bahasa	KEEP	Y	2	Portuguese, Polish
01221542-v	lengket	KEEP	O	None	None
90000323-n	cakue	KEEP	None	None	None
09917593-n	anak	KEEP	O	1	English
00836236-v	melambangkan	KEEP	O	1	Slovene
02951843-n	tenda	KEEP	O	None	None
14050871-n	wajah yang merah	DELETE	X	None	None
01121757-a	menakjubkan	KEEP	O	None	None
02848806-n	pisau	KEEP	L	1	English
01206318-a	atas	KEEP	O	None	None
80000120-n	kinokuniya	KEEP	None	None	None
15163797-n	hari minggu	KEEP	None	1	English
01380122-v	menyebarkan	DELETE	O	1	English
02096167-v	putar	DELETE	Y	4	Portuguese, Finnish, Thai, Japanese
03748162-n	city	KEEP	None	None	None
08429052-n	jajaran	KEEP	O	2	Spanish, English
01687167-a	baru	KEEP	O	None	None
03895866-n	kereta	KEEP	O	1	English
00451510-a	erat	KEEP	Y	2	Finnish, Polish
08624385-n	pos	KEEP	O	1	English
01673815-a	umum	KEEP	O	None	None
00948514-a	luar	KEEP	O	None	None
10280674-n	pesulap	KEEP	None	None	None
02702508-v	insan	DELETE	O	1	Finnish
02448185-v	membentuk	KEEP	Y	1	English
07601999-n	cokelat	KEEP	O	7	Slovene, Polish, Japanese, Greek, Finnish, Mandarin Chinese, English
03114041-n	kostum	KEEP	O	3	Finnish, English, Japanese
10640620-n	istri	KEEP	None	2	English, Japanese
00547616-n	pukulan	KEEP	O	1	Japanese
90000057-n	Kuil Relik Gigi Sang	KEEP	None	None	None
07019172-n	musikal	KEEP	O	None	None
02349604-a	bawah	KEEP	O	None	None
00038625-r	memang	KEEP	O	4	Portuguese, Finnish, Thai, Japanese
13863771-n	barisan	DELETE	O	1	Japanese
05399847-n	darah	KEEP	Y	1	English
08871007-n	inggris	KEEP	O	1	Finnish
07926920-n	minuman campuran anggur	DELETE	X	None	None
01085098-n	pembagian	KEEP	None	1	English
01582409-v	berbenam	DELETE	O	1	Finnish
02621395-v	membuatkan	DELETE	O	1	Finnish
02237782-v	memberikan	KEEP	O	1	Slovene
15121406-n	sejarah	KEEP	Y	1	Polish
07626602-n	gula	DELETE	O	None	None
02388403-v	mendidik	KEEP	O	1	Arabic
02732798-v	menampung	KEEP	O	1	Finnish
07866723-n	popiah	KEEP	X	2	Finnish, Polish
02205272-v	menawan	DELETE	O	1	Finnish
08544593-n	pelosok	KEEP	O	None	None
02398608-a	tajam	KEEP	O	None	None
03781244-n	vihara	KEEP	None	1	Thai
04468005-n	kereta	KEEP	None	1	Portuguese
03671668-n	bentuk	DELETE	O	2	Polish, English
07416714-n	saat	KEEP	O	1	Finnish
13581067-n	mayoritas	KEEP	None	5	Slovene, Spanish, Finnish, Portuguese, English
07560652-n	makanan	KEEP	O	1	Spanish
00292937-a	sibuk	KEEP	Y	6	Slovene, Japanese, Finnish, Portuguese, Mandarin Chinese, English
00613018-v	kehilangan	KEEP	O	1	Slovene
00658052-v	tata	KEEP	Y	2	Spanish, Finnish
01941093-v	menerbangkan	KEEP	O	1	English
06773434-n	perjanjian	KEEP	Y	1	Polish
02165304-v	menoleh	KEEP	O	None	None
01427127-v	mengarik	DELETE	O	1	English
00927017-a	yang ada	KEEP	X	None	None
00759944-v	shalat	KEEP	X	6	Slovene, Japanese, Greek, Finnish, Portuguese, English
08955951-n	seoul	KEEP	None	None	None
12582231-n	kelapa	KEEP	None	1	English
08646566-n	arena	KEEP	O	1	Slovene
06784639-n	teka-teki	KEEP	None	None	None
80000849-n	ronggeng	KEEP	None	None	None
08981244-n	filipina	KEEP	X	5	Polish, Greek, Finnish, Portuguese, English
07151380-n	ungkapan	KEEP	Y	1	Portuguese
05098942-n	luas	KEEP	Y	1	Polish
13613294-n	m²	KEEP	X	5	Polish, Japanese, Finnish, Thai, Mandarin Chinese
01664172-v	sedia	DELETE	Y	1	Finnish
00067129-v	sesenggukan	KEEP	L	None	None
06878071-n	senyuman	KEEP	Y	3	Mandarin Chinese, English, Thai
03289268-n	ukiran	KEEP	O	None	None
80000683-x	ha	KEEP	None	None	None
01999218-v	menuju	DELETE	O	1	Arabic
01000214-v	tercatat	KEEP	L	1	English
07258664-n	referensi	KEEP	None	1	Spanish
03113835-n	pakaian	KEEP	O	5	Slovene, Japanese, Greek, Finnish, English
00713167-v	berhubung	KEEP	None	1	Finnish
01044730-a	santai	KEEP	None	None	None
01569566-v	pasang	KEEP	Y	4	Portuguese, Finnish, English, Serbo-Croatian
09617867-n	juru	KEEP	Y	1	English
07557165-n	penganan	KEEP	None	1	English
13562133-n	penyimpanan	KEEP	O	1	Japanese
08247021-n	duet	KEEP	L	None	None
08168978-n	negara	KEEP	Y	1	Spanish
02006834-v	menggenjot	DELETE	O	1	English
08997487-n	negeri singa	KEEP	None	2	Portuguese, English
00259019-r	langsung	KEEP	O	1	English
01462005-v	gaulkan	DELETE	X	2	Greek, English
76100079-x	utas	KEEP	None	None	None
01969150-a	setiap tahun	KEEP	X	None	None
00931467-v	berarti	KEEP	O	1	English
00922051-a	glamor	KEEP	O	None	None
00726153-v	mencengangkan	KEEP	O	2	Portuguese, Finnish
00004475-n	benda hidup	DELETE	O	1	Spanish
08223802-n	masyarakat	KEEP	O	1	Greek
00082308-r	di sana	KEEP	O	3	Portuguese, Finnish, Spanish
07978423-n	mitologi	KEEP	O	5	Slovene, Polish, Greek, Finnish, English
08430568-n	talian	DELETE	None	1	Spanish
03849814-n	teater opera	KEEP	X	None	None
00568304-a	lepas	KEEP	None	None	None
07818277-n	garlic	KEEP	None	1	English
00276862-a	teduh	KEEP	O	None	None
05790758-n	favorit	KEEP	None	3	Portuguese, English, Japanese
02296726-v	menawarkan	KEEP	O	1	English
14326607-n	sakit kepala	KEEP	None	None	None
00114431-n	tarik	KEEP	O	1	English
00347610-v	bermain muzik	DELETE	X	1	English
02701210-v	memuatkan	DELETE	O	1	Slovene
13769033-n	sepoci	KEEP	None	1	Thai
09291513-n	biji buah	KEEP	None	None	None
13980845-n	konflik	KEEP	Y	5	Spanish, Polish, Thai, Portuguese, English
00661091-n	terapi	KEEP	Y	1	Spanish
76100081-x	butir	KEEP	None	None	None
11894958-n	lobak	KEEP	O	1	Polish
00857923-v	bergembira	KEEP	O	1	Finnish
05844105-n	bergaya	DELETE	Y	1	Greek
02427103-v	mendirikan	KEEP	O	1	Slovene
06341340-n	sri	KEEP	None	4	Portuguese, Finnish, English, Slovene
01839690-v	datang dari	KEEP	X	2	Finnish, English
02460964-a	asli	KEEP	Y	None	None
04807050-n	patut	KEEP	Y	None	None
07152259-n	slogan	KEEP	Y	6	Slovene, Japanese, Finnish, Thai, Portuguese, English
80000583-n	masala	KEEP	None	None	None
02346878-a	perdagangan	KEEP	O	None	None
07491708-n	semarak	KEEP	None	2	Portuguese, Japanese
01205696-v	berhubungan	KEEP	O	1	Portuguese
02540670-v	melayani	KEEP	O	1	Portuguese
00833546-v	info	KEEP	None	1	Slovene
05839024-n	berbentuk	DELETE	O	1	Spanish
02327200-v	memberi	KEEP	O	1	Finnish
10741590-n	pengguna	KEEP	Y	8	Slovene, Spanish, Polish, Japanese, Greek, Thai, Portuguese, English
02512053-n	ikan	KEEP	Y	1	Spanish
02324478-v	memberikan	KEEP	O	1	Serbo-Croatian
00008600-r	sendiri	KEEP	O	1	English
02614181-v	menjadi	DELETE	O	1	Finnish
01114458-n	ritel	KEEP	X	1	English
02355596-v	dapat	DELETE	O	1	English
90000299-n	nonya	KEEP	None	None	None
90000330-n	kuih bom	KEEP	None	None	None
06279326-n	e-mail	KEEP	X	4	Polish, Finnish, English, Japanese
02663848-v	mengandalkan	KEEP	O	1	Portuguese
00087736-v	mengantongi	DELETE	O	1	English
07851298-n	krim keju	KEEP	X	None	None
80001130-n	-nya	KEEP	None	None	None
02892389-a	haji	KEEP	None	None	None
07757132-n	cherry	KEEP	None	None	None
00744916-a	tidak mudah	KEEP	X	1	Polish
13744521-n	panca	KEEP	None	1	English
00320852-n	kata pengantar	DELETE	O	2	Portuguese, English
13659760-n	km	KEEP	None	None	None
00893435-v	menjelaskan	KEEP	O	1	English
00734054-v	membilang	DELETE	O	1	Finnish
04928903-n	tatakrama	KEEP	None	1	English
00372111-a	kecoklatan	KEEP	None	None	None
02120451-v	menyengat	KEEP	Y	1	English
01617192-v	menjadikan	KEEP	O	1	Finnish
00037226-r	benar	KEEP	O	1	Japanese
80001507-n	perairan	DELETE	None	None	None
00770437-v	membawakan	DELETE	O	1	English
02623906-v	memegas	DELETE	O	1	English
00447472-a	dekat	KEEP	O	None	None
01284212-a	spektakuler	KEEP	O	None	None
02014165-v	berangkat	KEEP	Y	2	Spanish, Finnish
00824321-a	barat	KEEP	O	1	English
01511520-a	terlalu	KEEP	O	None	None
08593262-n	rangka	DELETE	O	1	Portuguese
13713003-n	garis lurus	DELETE	X	1	Japanese
01919931-a	riuh	KEEP	Y	2	Finnish, English
13659760-n	kilometer	KEEP	Y	None	None
04804451-n	ketidakakuratan	KEEP	None	None	None
01214265-v	memegang	DELETE	O	1	Portuguese
02630189-v	ditonjolkan	KEEP	None	1	English
01326528-v	melalap	DELETE	O	1	Finnish
01906322-v	menapak	KEEP	O	1	English
06601327-n	maksud	KEEP	Y	1	Greek
08664443-n	premis	DELETE	Y	1	Portuguese
01129876-v	bela	KEEP	None	1	English
15160076-n	tanggal	KEEP	O	None	None
02551380-a	keringlah	KEEP	None	1	English
02646378-v	patut	KEEP	O	None	None
07892512-n	wine	KEEP	None	2	Finnish, Japanese
08275185-n	aliran	KEEP	O	1	Spanish
02599636-v	memasukkan	DELETE	O	1	Portuguese
12435152-n	daun bawang	KEEP	X	3	Polish, Finnish, English
01959294-a	reguler	KEEP	None	1	Finnish
01182709-v	menyajikan	KEEP	O	1	English
00217728-a	cantik	KEEP	Y	1	Japanese
02434976-v	bergabung	KEEP	O	1	Finnish
09820263-n	atlet	KEEP	O	4	Spanish, Greek, English, Thai
01181902-n	tindakan	KEEP	Y	1	English
08372411-n	orang	DELETE	O	1	Greek
12709103-n	pomelo	KEEP	O	None	None
02711194-a	gigi	KEEP	O	None	None
03990474-n	poci	KEEP	None	2	Thai, Japanese
01329830-a	dipadu	KEEP	X	None	None
02561332-v	gunakan	KEEP	X	1	Finnish
01987545-n	prawns	KEEP	None	1	English
90000136-n	hai tien lo	KEEP	None	None	None
01095218-v	bertugas	KEEP	O	2	Portuguese, Finnish
02359340-v	dapat	KEEP	O	1	English
00107384-a	sedikit	KEEP	None	None	None
13659162-n	m	KEEP	None	1	Greek
00802318-v	izinkan	KEEP	X	1	English
02664769-v	setaraf	DELETE	O	1	Finnish
02737187-v	diwariskan	KEEP	X	2	Finnish, English
08208560-n	tim	KEEP	O	1	Finnish
01647229-v	mendirikan	KEEP	O	1	Greek
10077593-n	peminat	KEEP	Y	1	Portuguese
02020590-v	melenda	DELETE	O	2	Spanish, Finnish
07596967-n	permen	KEEP	None	1	Spanish
01148283-a	gembira	KEEP	Y	1	Japanese
09393605-n	ladang	KEEP	O	1	English
00543200-a	eksentrik	KEEP	O	None	None
07709046-n	kacang hijau	KEEP	O	1	English
00833546-v	perbarui	KEEP	None	1	Slovene
09385911-n	bagian	KEEP	O	1	Japanese
00795720-n	kerja	KEEP	Y	1	Finnish
07020538-n	tarian	KEEP	O	2	Portuguese, Spanish
02756346-a	lokal	KEEP	Y	None	None
02355596-v	membuat	DELETE	O	1	English
80001374-n	limau purut	KEEP	None	None	None
00305821-r	larut	KEEP	L	1	English
14924602-n	giok	KEEP	None	None	None
13744722-n	enam	KEEP	O	None	None
13956488-n	kebenaran	KEEP	Y	3	Portuguese, Spanish, English
01884176-a	berpotensi	KEEP	O	None	None
01767329-a	personal	KEEP	Y	1	Spanish
00678923-a	malam	KEEP	O	None	None
08187033-n	rombongan	KEEP	Y	1	Portuguese
80001272-v	timbul-tenggelam	KEEP	None	None	None
04081281-n	no signboard seafood	KEEP	None	4	Polish, Finnish, English, Japanese
01930482-v	membutuhkan	DELETE	O	1	English
00417787-r	lewat	KEEP	None	1	Spanish
02959720-a	swedia	KEEP	None	1	Thai
00048858-a	jangan	KEEP	O	None	None
01930482-v	mengambil	KEEP	L	1	English
13772020-n	secentong	KEEP	None	None	None
01863970-a	menyeluruh	KEEP	O	None	None
00173338-v	makan	DELETE	O	1	Serbo-Croatian
02077656-v	membutuhkan	DELETE	O	2	Portuguese, Spanish
01640855-v	menjalankan	KEEP	O	1	Finnish
03122400-a	taiwan	KEEP	None	1	English
02108026-v	rasakan	KEEP	None	1	English
00027807-n	berbentuk	DELETE	O	1	English
11428023-n	sinar	KEEP	O	1	Spanish
00522751-v	perolehi	DELETE	X	1	English
02159969-a	penderita	KEEP	None	None	None
00024073-r	bukan	KEEP	O	1	Portuguese
00049003-n	sesuatu	DELETE	O	1	English
00015388-n	hewan	KEEP	O	1	English
00327145-v	ukus	KEEP	None	1	English
00588888-v	mengerti	KEEP	Y	4	Portuguese, Mandarin Chinese, Finnish, Spanish
07064715-n	rock ‘n’ roll	KEEP	None	1	English
01919931-a	hiruk-pikuk	KEEP	None	2	Finnish, English
02133435-v	tampak	KEEP	O	1	Finnish
00020103-a	pencil	KEEP	None	None	None
02219094-v	didukung	KEEP	None	2	Mandarin Chinese, English
02547586-v	menolong	KEEP	Y	1	Finnish
00615757-a	matang	KEEP	O	1	English
00754107-a	kerajinan	KEEP	O	2	Portuguese, English
07867616-n	fondue	KEEP	None	None	None
02214736-a	satu	KEEP	L	None	None
01711445-v	tampil	KEEP	None	1	Slovene
00898691-v	soja	KEEP	L	1	Finnish
02397234-a	semarak	KEEP	None	None	None
00669762-v	membawa pergi	DELETE	X	1	English
00048475-r	sekarang	KEEP	O	3	Portuguese, Finnish, English
00049016-a	pelengkap	KEEP	O	None	None
04353803-n	total	KEEP	L	1	Finnish
08441203-n	undang-undang	KEEP	Y	1	Japanese
02655135-v	manusia	DELETE	O	1	Finnish
02267989-v	duduki	DELETE	X	1	Spanish
03082979-n	komputer	KEEP	Y	1	English
02006834-v	mendarat	DELETE	O	1	English
01639714-v	merancang	KEEP	Y	3	Slovene, Finnish, English
01410606-a	seumpamanya	DELETE	X	1	English
00720497-v	nantikan	KEEP	None	None	None
00382635-v	tampilan	KEEP	None	1	Portuguese
07571324-n	bercitarasa	KEEP	None	3	Portuguese, Spanish, Polish
00008007-r	seluruh	KEEP	L	1	English
00951831-a	dalam	KEEP	O	None	None
11472960-n	cahaya lampu	KEEP	X	None	None
80000289-n	otah	KEEP	None	None	None
01839690-v	datang	KEEP	O	2	Finnish, English
13745270-n	9	KEEP	None	None	None
90000322-n	kavadi	KEEP	None	None	None
80001382-x	ya	KEEP	None	None	None
07678428-n	kornet	KEEP	None	None	None
07578879-n	sesendok	KEEP	None	1	Thai
02110793-v	mendapat	KEEP	O	1	Slovene
13878112-n	pusaran	KEEP	O	1	Finnish
01858094-a	khusus	KEEP	O	3	Spanish, Finnish, English
01807219-a	memuaskan	KEEP	O	None	None
80001329-n	Ca sau pau	KEEP	None	None	None
02394183-v	membawa	DELETE	O	1	English
04202417-n	kedai	KEEP	Y	1	English
01233156-n	dikunjungi	KEEP	X	6	Slovene, Polish, Greek, Arabic, Portuguese, English
02614181-v	manusia	DELETE	O	1	Finnish
13850148-n	terakhir	KEEP	O	1	English
04099175-n	roket	KEEP	O	6	Slovene, Japanese, Finnish, Thai, Portuguese, English
13658828-n	cm	KEEP	None	7	Slovene, Polish, Japanese, Finnish, Thai, Portuguese, English
08677628-n	tempat	KEEP	O	1	English
07580053-n	lauk	KEEP	O	None	None
05956019-n	etika	KEEP	O	3	Portuguese, Finnish, English
01649809-v	menggelar	KEEP	None	1	Finnish
03671473-n	bentuk	DELETE	O	1	Polish
00724081-a	andal	KEEP	O	1	Polish
80001041-n	Marina Waterfront	KEEP	None	None	None
00660851-v	meningkatkan	KEEP	O	1	Spanish
00022131-r	selaku	DELETE	O	1	English
00599992-v	menelaah	DELETE	O	1	Arabic
01073822-a	asin	KEEP	O	2	Portuguese, Finnish
00087736-v	menguncupkan	DELETE	O	1	English
01467370-v	kelilingi	KEEP	X	1	Arabic
90000223-n	india selatan	KEEP	None	None	None
01765926-a	bingung	KEEP	O	None	None
00124659-v	kembalilah	KEEP	None	3	Slovene, Finnish, English
01380122-v	menyebar	KEEP	L	1	English
06893285-n	penampilan	KEEP	None	2	Portuguese, English
02560585-v	mengakok	DELETE	O	1	English
00233687-r	dengan	DELETE	O	1	English
08588152-n	isi	KEEP	O	None	None
01580467-v	menyelubungi	KEEP	O	1	English
08593262-n	asal-usul	DELETE	X	1	Portuguese
01233020-a	pipih	KEEP	Y	None	None
02904233-n	hamparan	KEEP	O	None	None
07776866-n	hidangan laut	KEEP	X	None	None
02129604-n	macan	KEEP	Y	1	English
07542675-n	kekecewaan	KEEP	O	None	None
07596046-n	gula pasir	KEEP	O	1	Polish
06799897-n	garis lurus	DELETE	X	1	Arabic
01443097-a	sejenak	KEEP	O	None	None
08982037-n	cebu	KEEP	None	2	Spanish, English
03528263-n	peralatan	KEEP	None	None	None
01611067-a	yang berbahaya	KEEP	X	1	Finnish
90000172-n	au jardin	KEEP	None	None	None
00784342-v	menanyakan	KEEP	O	1	Slovene
02240668-a	tumbuk	KEEP	O	None	None
00950592-a	ke dalam	DELETE	X	None	None
10709131-n	pihak ketiga	KEEP	None	None	None
01014251-a	antara	KEEP	O	3	Spanish, Polish, English
01150559-v	ditujukan	KEEP	None	1	English
00406243-v	siapkan	KEEP	None	1	Finnish
07818029-n	biji adas	KEEP	X	1	Portuguese
80000795-n	Kilometer persegi	KEEP	None	None	None
08523483-n	jantung	KEEP	Y	1	English
01427127-v	mengalami	DELETE	O	1	English
00756076-v	membutuhkan	DELETE	O	1	Finnish
07384473-n	geraman	KEEP	None	None	None
00226071-v	encer	KEEP	Y	2	Spanish, English
90000326-n	ayam goreng	KEEP	None	None	None
02755017-v	menggeleng	DELETE	O	1	Mandarin Chinese
06969129-n	bahasa sansekerta	KEEP	None	None	None
08678515-n	padat	KEEP	O	None	None
80001132-n	-ku	KEEP	None	None	None
03149347-a	diselenggarakan	KEEP	X	None	None
04728068-n	bermutu	KEEP	Y	1	Mandarin Chinese
05061977-n	pelan	KEEP	None	4	Portuguese, Polish, Finnish, English
00745499-v	memesan	KEEP	O	1	Portuguese
02959007-a	portugis	KEEP	None	1	English
00950272-a	bhg dlm	DELETE	X	1	English
90000030-n	Festival Musik Mosaic	KEEP	None	None	None
80000397-n	serangoon	KEEP	None	None	None
00071840-r	dari	DELETE	O	1	English
02717102-v	memiliki	DELETE	O	1	English
02204363-a	18 ke	KEEP	None	None	None
03294048-n	alat	KEEP	O	7	Slovene, Spanish, Japanese, Greek, Thai, Portuguese, English
01279028-a	bersejarah	KEEP	O	None	None
07644967-n	ayam	KEEP	O	1	English
01103021-a	khas	KEEP	O	2	Greek, English
08513718-n	harta	DELETE	O	1	Greek
01193099-v	rakus	DELETE	O	1	Slovene
07020895-n	musik	KEEP	O	1	Portuguese
00582388-n	bidang	KEEP	O	1	Portuguese
02130300-v	melihat	KEEP	O	1	Arabic
00755447-v	memohon	KEEP	O	1	Finnish
02208537-v	meluwengkan	DELETE	O	2	Finnish, Japanese
01768724-a	sendiri	KEEP	L	None	None
07870167-n	lasagna	KEEP	None	None	None
02187296-a	sepuluh	KEEP	O	None	None
03023449-a	paris	KEEP	None	None	None
03860882-n	hasil	KEEP	O	2	Portuguese, Greek
02702508-v	nampak	DELETE	O	1	Finnish
07436100-n	semburan	KEEP	O	1	English
05915356-n	yang	KEEP	M	None	None
13713003-n	tali	DELETE	O	1	Japanese
00068577-r	beserta	KEEP	O	None	None
07555863-n	makanan yang keras	DELETE	X	1	Spanish
01564144-v	binasa	DELETE	O	2	Greek, Finnish
00770437-v	menyayukan	DELETE	O	1	English
01582200-v	selimuti	KEEP	L	1	English
05715283-n	rasa	KEEP	O	7	Spanish, Polish, Japanese, Greek, Thai, Portuguese, English
00770437-v	mendapati	DELETE	O	1	English
05901508-n	kebijakan	KEEP	None	4	Portuguese, Finnish, Polish, Slovene
00310716-a	teliti	KEEP	O	None	None
02110220-v	mengalami	KEEP	O	1	Japanese
02203868-a	ke 14	KEEP	None	None	None
01285136-a	megah	KEEP	O	None	None
02208537-v	membutuhkan	DELETE	O	2	Finnish, Japanese
00734318-a	musnah	KEEP	O	None	None
00475183-v	menyehatkan	KEEP	O	None	None
09769345-n	yang dialamatkan	KEEP	X	1	Finnish
00081836-n	shopping	KEEP	X	3	Slovene, English, Japanese
07573696-n	jalanan	KEEP	None	1	Spanish
06466479-n	mantra-mantra	KEEP	None	None	None
00749230-a	mudah	KEEP	Y	3	Portuguese, Greek, English
14514039-n	arena	KEEP	O	1	English
02964782-a	chinese	KEEP	None	1	English
14519366-n	beriklim	KEEP	None	7	Slovene, Polish, Japanese, Greek, Finnish, Portuguese, English
80001931-x	enggak	KEEP	None	None	None
80000650-n	kerala	KEEP	None	None	None
02263692-v	memberi	KEEP	O	1	Finnish
00515684-n	ekstravaganza	KEEP	None	None	None
00700451-a	tentu	KEEP	Y	1	Japanese
07026352-n	opera	KEEP	Y	None	None
03880531-n	wajan	KEEP	Y	1	Japanese
09805475-n	arsitektur	KEEP	None	1	Spanish
07971582-n	dinasti	KEEP	O	5	Spanish, Finnish, Thai, Portuguese, English
02701210-v	memuat	DELETE	O	1	Slovene
08430568-n	nirai	DELETE	None	1	Spanish
