synset	lemma	annotation	goodness label	confidence	language	prediction label
13980845-n	konflik	KEEP	Y	5	Spanish, Polish, Thai, Portuguese, English	KEEP
00661091-n	terapi	KEEP	Y	1	Spanish	KEEP
76100081-x	butir	KEEP	None	None	None	KEEP
11894958-n	lobak	KEEP	O	1	Polish	KEEP
00857923-v	bergembira	KEEP	O	1	Finnish	KEEP
05844105-n	bergaya	DELETE	Y	1	Greek	KEEP
02427103-v	mendirikan	KEEP	O	1	Slovene	KEEP
06341340-n	sri	KEEP	None	4	Portuguese, Finnish, English, Slovene	KEEP
01839690-v	datang dari	KEEP	X	2	Finnish, English	KEEP
02460964-a	asli	KEEP	Y	None	None	KEEP
04807050-n	patut	KEEP	Y	None	None	KEEP
07152259-n	slogan	KEEP	Y	6	Slovene, Japanese, Finnish, Thai, Portuguese, English	KEEP
80000583-n	masala	KEEP	None	None	None	KEEP
02346878-a	perdagangan	KEEP	O	None	None	KEEP
07491708-n	semarak	KEEP	None	2	Portuguese, Japanese	KEEP
01205696-v	berhubungan	KEEP	O	1	Portuguese	KEEP
02540670-v	melayani	KEEP	O	1	Portuguese	KEEP
00833546-v	info	KEEP	None	1	Slovene	KEEP
05839024-n	berbentuk	DELETE	O	1	Spanish	KEEP
02327200-v	memberi	KEEP	O	1	Finnish	KEEP
10741590-n	pengguna	KEEP	Y	8	Slovene, Spanish, Polish, Japanese, Greek, Thai, Portuguese, English	KEEP
02512053-n	ikan	KEEP	Y	1	Spanish	KEEP
02324478-v	memberikan	KEEP	O	1	Serbo-Croatian	KEEP
00008600-r	sendiri	KEEP	O	1	English	KEEP
02614181-v	menjadi	DELETE	O	1	Finnish	KEEP
01114458-n	ritel	KEEP	X	1	English	KEEP
02355596-v	dapat	DELETE	O	1	English	DELETE
90000299-n	nonya	KEEP	None	None	None	KEEP
90000330-n	kuih bom	KEEP	None	None	None	KEEP
06279326-n	e-mail	KEEP	X	4	Polish, Finnish, English, Japanese	KEEP
02663848-v	mengandalkan	KEEP	O	1	Portuguese	KEEP
00087736-v	mengantongi	DELETE	O	1	English	DELETE
07851298-n	krim keju	KEEP	X	None	None	KEEP
80001130-n	-nya	KEEP	None	None	None	KEEP
02892389-a	haji	KEEP	None	None	None	KEEP
07757132-n	cherry	KEEP	None	None	None	KEEP
00744916-a	tidak mudah	KEEP	X	1	Polish	KEEP
13744521-n	panca	KEEP	None	1	English	KEEP
00320852-n	kata pengantar	DELETE	O	2	Portuguese, English	KEEP
13659760-n	km	KEEP	None	None	None	KEEP
00893435-v	menjelaskan	KEEP	O	1	English	DELETE
00734054-v	membilang	DELETE	O	1	Finnish	KEEP
04928903-n	tatakrama	KEEP	None	1	English	KEEP
00372111-a	kecoklatan	KEEP	None	None	None	KEEP
02120451-v	menyengat	KEEP	Y	1	English	KEEP
01617192-v	menjadikan	KEEP	O	1	Finnish	KEEP
00037226-r	benar	KEEP	O	1	Japanese	KEEP
80001507-n	perairan	DELETE	None	None	None	KEEP
00770437-v	membawakan	DELETE	O	1	English	DELETE
02623906-v	memegas	DELETE	O	1	English	DELETE
00447472-a	dekat	KEEP	O	None	None	KEEP
01284212-a	spektakuler	KEEP	O	None	None	KEEP
02014165-v	berangkat	KEEP	Y	2	Spanish, Finnish	KEEP
00824321-a	barat	KEEP	O	1	English	KEEP
01511520-a	terlalu	KEEP	O	None	None	KEEP
08593262-n	rangka	DELETE	O	1	Portuguese	KEEP
13713003-n	garis lurus	DELETE	X	1	Japanese	KEEP
01919931-a	riuh	KEEP	Y	2	Finnish, English	KEEP
13659760-n	kilometer	KEEP	Y	None	None	KEEP
04804451-n	ketidakakuratan	KEEP	None	None	None	KEEP
01214265-v	memegang	DELETE	O	1	Portuguese	KEEP
02630189-v	ditonjolkan	KEEP	None	1	English	KEEP
01326528-v	melalap	DELETE	O	1	Finnish	KEEP
01906322-v	menapak	KEEP	O	1	English	DELETE
06601327-n	maksud	KEEP	Y	1	Greek	KEEP
08664443-n	premis	DELETE	Y	1	Portuguese	KEEP
01129876-v	bela	KEEP	None	1	English	KEEP
15160076-n	tanggal	KEEP	O	None	None	KEEP
02551380-a	keringlah	KEEP	None	1	English	KEEP
02646378-v	patut	KEEP	O	None	None	KEEP
07892512-n	wine	KEEP	None	2	Finnish, Japanese	KEEP
08275185-n	aliran	KEEP	O	1	Spanish	KEEP
02599636-v	memasukkan	DELETE	O	1	Portuguese	KEEP
12435152-n	daun bawang	KEEP	X	3	Polish, Finnish, English	KEEP
01959294-a	reguler	KEEP	None	1	Finnish	KEEP
01182709-v	menyajikan	KEEP	O	1	English	DELETE
00217728-a	cantik	KEEP	Y	1	Japanese	KEEP
02434976-v	bergabung	KEEP	O	1	Finnish	KEEP
09820263-n	atlet	KEEP	O	4	Spanish, Greek, English, Thai	KEEP
01181902-n	tindakan	KEEP	Y	1	English	KEEP
08372411-n	orang	DELETE	O	1	Greek	KEEP
12709103-n	pomelo	KEEP	O	None	None	KEEP
02711194-a	gigi	KEEP	O	None	None	KEEP
03990474-n	poci	KEEP	None	2	Thai, Japanese	KEEP
01329830-a	dipadu	KEEP	X	None	None	KEEP
02561332-v	gunakan	KEEP	X	1	Finnish	KEEP
01987545-n	prawns	KEEP	None	1	English	KEEP
90000136-n	hai tien lo	KEEP	None	None	None	KEEP
01095218-v	bertugas	KEEP	O	2	Portuguese, Finnish	KEEP
02359340-v	dapat	KEEP	O	1	English	DELETE
00107384-a	sedikit	KEEP	None	None	None	KEEP
13659162-n	m	KEEP	None	1	Greek	KEEP
00802318-v	izinkan	KEEP	X	1	English	DELETE
02664769-v	setaraf	DELETE	O	1	Finnish	KEEP
02737187-v	diwariskan	KEEP	X	2	Finnish, English	KEEP
08208560-n	tim	KEEP	O	1	Finnish	KEEP
01647229-v	mendirikan	KEEP	O	1	Greek	KEEP
10077593-n	peminat	KEEP	Y	1	Portuguese	KEEP
02020590-v	melenda	DELETE	O	2	Spanish, Finnish	KEEP
07596967-n	permen	KEEP	None	1	Spanish	KEEP
01148283-a	gembira	KEEP	Y	1	Japanese	KEEP
09393605-n	ladang	KEEP	O	1	English	KEEP
00543200-a	eksentrik	KEEP	O	None	None	KEEP
07709046-n	kacang hijau	KEEP	O	1	English	KEEP
00833546-v	perbarui	KEEP	None	1	Slovene	KEEP
09385911-n	bagian	KEEP	O	1	Japanese	KEEP
00795720-n	kerja	KEEP	Y	1	Finnish	KEEP
07020538-n	tarian	KEEP	O	2	Portuguese, Spanish	KEEP
02756346-a	lokal	KEEP	Y	None	None	KEEP
02355596-v	membuat	DELETE	O	1	English	DELETE
80001374-n	limau purut	KEEP	None	None	None	KEEP
00305821-r	larut	KEEP	L	1	English	KEEP
14924602-n	giok	KEEP	None	None	None	KEEP
13744722-n	enam	KEEP	O	None	None	KEEP
13956488-n	kebenaran	KEEP	Y	3	Portuguese, Spanish, English	KEEP
01884176-a	berpotensi	KEEP	O	None	None	KEEP
01767329-a	personal	KEEP	Y	1	Spanish	KEEP
00678923-a	malam	KEEP	O	None	None	KEEP
08187033-n	rombongan	KEEP	Y	1	Portuguese	KEEP
80001272-v	timbul-tenggelam	KEEP	None	None	None	KEEP
04081281-n	no signboard seafood	KEEP	None	4	Polish, Finnish, English, Japanese	KEEP
01930482-v	membutuhkan	DELETE	O	1	English	DELETE
00417787-r	lewat	KEEP	None	1	Spanish	KEEP
02959720-a	swedia	KEEP	None	1	Thai	KEEP
00048858-a	jangan	KEEP	O	None	None	KEEP
01930482-v	mengambil	KEEP	L	1	English	KEEP
13772020-n	secentong	KEEP	None	None	None	KEEP
01863970-a	menyeluruh	KEEP	O	None	None	KEEP
00173338-v	makan	DELETE	O	1	Serbo-Croatian	KEEP
02077656-v	membutuhkan	DELETE	O	2	Portuguese, Spanish	KEEP
01640855-v	menjalankan	KEEP	O	1	Finnish	KEEP
03122400-a	taiwan	KEEP	None	1	English	KEEP
02108026-v	rasakan	KEEP	None	1	English	KEEP
00027807-n	berbentuk	DELETE	O	1	English	KEEP
11428023-n	sinar	KEEP	O	1	Spanish	KEEP
00522751-v	perolehi	DELETE	X	1	English	DELETE
02159969-a	penderita	KEEP	None	None	None	KEEP
00024073-r	bukan	KEEP	O	1	Portuguese	KEEP
00049003-n	sesuatu	DELETE	O	1	English	KEEP
00015388-n	hewan	KEEP	O	1	English	KEEP
00327145-v	ukus	KEEP	None	1	English	KEEP
00588888-v	mengerti	KEEP	Y	4	Portuguese, Mandarin Chinese, Finnish, Spanish	KEEP
07064715-n	rock ‘n’ roll	KEEP	None	1	English	KEEP
01919931-a	hiruk-pikuk	KEEP	None	2	Finnish, English	KEEP
02133435-v	tampak	KEEP	O	1	Finnish	KEEP
00020103-a	pencil	KEEP	None	None	None	KEEP
02219094-v	didukung	KEEP	None	2	Mandarin Chinese, English	KEEP
02547586-v	menolong	KEEP	Y	1	Finnish	KEEP
00615757-a	matang	KEEP	O	1	English	KEEP
00754107-a	kerajinan	KEEP	O	2	Portuguese, English	KEEP
07867616-n	fondue	KEEP	None	None	None	KEEP
02214736-a	satu	KEEP	L	None	None	KEEP
01711445-v	tampil	KEEP	None	1	Slovene	KEEP
00898691-v	soja	KEEP	L	1	Finnish	KEEP
02397234-a	semarak	KEEP	None	None	None	KEEP
00669762-v	membawa pergi	DELETE	X	1	English	DELETE
00048475-r	sekarang	KEEP	O	3	Portuguese, Finnish, English	KEEP
00049016-a	pelengkap	KEEP	O	None	None	KEEP
04353803-n	total	KEEP	L	1	Finnish	KEEP
08441203-n	undang-undang	KEEP	Y	1	Japanese	KEEP
02655135-v	manusia	DELETE	O	1	Finnish	KEEP
02267989-v	duduki	DELETE	X	1	Spanish	KEEP
03082979-n	komputer	KEEP	Y	1	English	KEEP
02006834-v	mendarat	DELETE	O	1	English	DELETE
01639714-v	merancang	KEEP	Y	3	Slovene, Finnish, English	KEEP
01410606-a	seumpamanya	DELETE	X	1	English	KEEP
00720497-v	nantikan	KEEP	None	None	None	KEEP
00382635-v	tampilan	KEEP	None	1	Portuguese	KEEP
07571324-n	bercitarasa	KEEP	None	3	Portuguese, Spanish, Polish	KEEP
00008007-r	seluruh	KEEP	L	1	English	KEEP
00951831-a	dalam	KEEP	O	None	None	KEEP
11472960-n	cahaya lampu	KEEP	X	None	None	KEEP
80000289-n	otah	KEEP	None	None	None	KEEP
01839690-v	datang	KEEP	O	2	Finnish, English	KEEP
13745270-n	9	KEEP	None	None	None	KEEP
90000322-n	kavadi	KEEP	None	None	None	KEEP
80001382-x	ya	KEEP	None	None	None	KEEP
07678428-n	kornet	KEEP	None	None	None	KEEP
07578879-n	sesendok	KEEP	None	1	Thai	KEEP
02110793-v	mendapat	KEEP	O	1	Slovene	KEEP
13878112-n	pusaran	KEEP	O	1	Finnish	KEEP
01858094-a	khusus	KEEP	O	3	Spanish, Finnish, English	KEEP
01807219-a	memuaskan	KEEP	O	None	None	KEEP
80001329-n	Ca sau pau	KEEP	None	None	None	KEEP
02394183-v	membawa	DELETE	O	1	English	DELETE
04202417-n	kedai	KEEP	Y	1	English	KEEP
01233156-n	dikunjungi	KEEP	X	6	Slovene, Polish, Greek, Arabic, Portuguese, English	KEEP
02614181-v	manusia	DELETE	O	1	Finnish	KEEP
13850148-n	terakhir	KEEP	O	1	English	KEEP
04099175-n	roket	KEEP	O	6	Slovene, Japanese, Finnish, Thai, Portuguese, English	KEEP
13658828-n	cm	KEEP	None	7	Slovene, Polish, Japanese, Finnish, Thai, Portuguese, English	KEEP
08677628-n	tempat	KEEP	O	1	English	KEEP
07580053-n	lauk	KEEP	O	None	None	KEEP
05956019-n	etika	KEEP	O	3	Portuguese, Finnish, English	KEEP
01649809-v	menggelar	KEEP	None	1	Finnish	KEEP
03671473-n	bentuk	DELETE	O	1	Polish	KEEP
00724081-a	andal	KEEP	O	1	Polish	KEEP
80001041-n	Marina Waterfront	KEEP	None	None	None	KEEP
00660851-v	meningkatkan	KEEP	O	1	Spanish	KEEP
00022131-r	selaku	DELETE	O	1	English	KEEP
00599992-v	menelaah	DELETE	O	1	Arabic	KEEP
01073822-a	asin	KEEP	O	2	Portuguese, Finnish	KEEP
00087736-v	menguncupkan	DELETE	O	1	English	DELETE
01467370-v	kelilingi	KEEP	X	1	Arabic	KEEP
90000223-n	india selatan	KEEP	None	None	None	KEEP
01765926-a	bingung	KEEP	O	None	None	KEEP
00124659-v	kembalilah	KEEP	None	3	Slovene, Finnish, English	KEEP
01380122-v	menyebar	KEEP	L	1	English	KEEP
06893285-n	penampilan	KEEP	None	2	Portuguese, English	KEEP
02560585-v	mengakok	DELETE	O	1	English	DELETE
00233687-r	dengan	DELETE	O	1	English	KEEP
08588152-n	isi	KEEP	O	None	None	KEEP
01580467-v	menyelubungi	KEEP	O	1	English	DELETE
08593262-n	asal-usul	DELETE	X	1	Portuguese	KEEP
01233020-a	pipih	KEEP	Y	None	None	KEEP
02904233-n	hamparan	KEEP	O	None	None	KEEP
07776866-n	hidangan laut	KEEP	X	None	None	KEEP
02129604-n	macan	KEEP	Y	1	English	KEEP
07542675-n	kekecewaan	KEEP	O	None	None	KEEP
07596046-n	gula pasir	KEEP	O	1	Polish	KEEP
