synset	lemma	annotation
09334396-n	tanah	KEEP
00193194-r	daripada	DELETE
08168978-n	negeri	KEEP
09788521-n	teman	KEEP
09358358-n	bulan	KEEP
00605516-a	tradisi	DELETE
02621395-v	merupakan	KEEP
01825237-v	impikan	KEEP
06410904-n	kitab	KEEP
07648150-n	kaki ayam	KEEP
00599992-v	makan	DELETE
01638368-v	rancang	KEEP
00120796-v	mendapati	DELETE
01818235-v	dorong	KEEP
01609287-v	menarik	KEEP
02248465-v	mencari	KEEP
08552138-n	wilayah	KEEP
05546540-n	leher	KEEP
01816887-n	nuri	KEEP
00512130-a	berkompeten	KEEP
00610167-v	terlupakan	KEEP
01036874-a	lokal	KEEP
00036935-r	pasti	KEEP
80001382-x	aduh	KEEP
01564144-v	melalap	DELETE
01712704-v	membuat	KEEP
01320424-v	memanen	KEEP
00344174-v	terjadi	KEEP
02649830-v	tinggal di	KEEP
01326528-v	melondong	DELETE
00546389-n	lagu	KEEP
01073311-a	asin	KEEP
02320773-v	surcharges	KEEP
07565259-n	sajian	KEEP
01488616-a	besar	KEEP
00024073-r	belum	DELETE
06423619-n	daftar	KEEP
03289268-n	pahatan	KEEP
01256157-v	ukir	KEEP
06497233-n	menu	KEEP
90000336-n	lomi	KEEP
08934532-n	bordeaux	KEEP
06341249-n	miss	KEEP
07243837-n	khotbah	KEEP
02570267-v	manja	KEEP
00350104-v	lanjutkan	KEEP
02406916-v	merangkap	KEEP
01694081-a	terbalik	KEEP
07623664-n	kue tar	KEEP
01999798-v	di hadapan	DELETE
90000414-n	tandoori	KEEP
00612612-v	mengenang	KEEP
00257580-n	penyiraman	KEEP
07784522-n	ikan parang	KEEP
04574999-n	roda	KEEP
02418421-v	main	KEEP
10107303-n	penemu	KEEP
01551871-v	tertata	KEEP
90000299-n	nyonya	KEEP
02635956-v	memimpin	DELETE
00028984-a	rahasia	KEEP
00168588-v	menghidupkan	KEEP
05064037-n	bentuk	KEEP
01071423-a	preserved	KEEP
01664172-v	buat	KEEP
02126430-a	terletak	KEEP
04709253-n	kesulitan	KEEP
00348953-n	jangkauan	KEEP
01157517-v	menyikat	DELETE
80000093-n	chinatown	KEEP
02627934-v	melibatkan	DELETE
02717102-v	memasukkan	DELETE
00748972-v	berikan	KEEP
07487375-n	nostalgia	KEEP
00488857-a	tidak biasa	KEEP
02434976-v	turut	KEEP
06359193-n	situs	KEEP
00019609-r	senantiasa	KEEP
03176763-n	department store	KEEP
01839963-v	pergi	KEEP
01097292-n	pasar	KEEP
02560585-v	membuatkan	DELETE
01326528-v	meruntuhkan	DELETE
02630189-v	mempunyai	KEEP
00524682-v	menjadi	KEEP
01664172-v	buat	DELETE
00422435-r	begitu	KEEP
10344443-n	tokoh	KEEP
90000301-n	hokkian	KEEP
08903872-n	mumbai	KEEP
01648126-v	mementaskan	KEEP
02020590-v	mengantongi	DELETE
90000175-n	Data Statistik	KEEP
00513177-v	lengkapi	KEEP
01801029-a	lezat	KEEP
00232600-r	sayup-sayup	KEEP
02627934-v	mengarik	DELETE
00017782-a	bisa diterima	KEEP
01616157-a	sendiri	KEEP
13268842-n	hadiah	KEEP
02020590-v	melanda	DELETE
77000092-n	sesuatu	KEEP
13769033-n	sekuali	KEEP
02050452-a	kampung	KEEP
00144722-r	memang	KEEP
14997529-n	pengawet	KEEP
01672607-a	yang biasa	KEEP
02720354-v	ikut	KEEP
04952944-n	kilauan	KEEP
02635956-v	menghantar	DELETE
00847399-a	pilihan	KEEP
00012267-v	membuat	KEEP
80000177-n	chai tow kueh	KEEP
77000139-n	kita	KEEP
00038625-r	tentu	KEEP
01741864-v	membajak	KEEP
01824736-v	sebagai	DELETE
77000075-a	ini	KEEP
01594664-v	menginjak	KEEP
02209936-v	terima	DELETE
76100075-x	bilah	KEEP
02701210-v	mengarik	DELETE
08111419-n	jenis	KEEP
08179879-n	populasi	KEEP
01564144-v	menjatuhkan	DELETE
90000414-n	tandori	KEEP
02200686-v	berikan	KEEP
05643190-n	teknik	KEEP
00505114-r	hanya	KEEP
00448872-n	rollerblading	KEEP
01664172-v	siapkan	KEEP
01849221-v	berdatangan	KEEP
80001130-n	ia	KEEP
04264914-n	wahana	KEEP
01824736-v	menghendaki	DELETE
00893955-n	persiapan	KEEP
02236124-v	menjual	DELETE
00586262-n	tempat tugas	DELETE
13742358-n	0	KEEP
04097622-n	jalan	KEEP
02530770-v	mencoba	KEEP
00218837-a	indah	KEEP
02468635-a	memang biasa	DELETE
02741546-v	mengarik	DELETE
05768553-n	mimpi	KEEP
11431754-n	angin	KEEP
01876261-a	berpandangan maju	KEEP
90000106-n	sri mariamman temple	KEEP
14524849-n	atmosfir	KEEP
02006834-v	melanda	DELETE
02568672-v	berbuat	DELETE
04930478-n	tata tertib	DELETE
02188205-a	sembilan belas	KEEP
01010862-a	semula	KEEP
02913152-n	bangunan	KEEP
07217924-n	laporan	KEEP
00087736-v	memperoleh	DELETE
07675156-n	minyak wijen	KEEP
90000131-n	geylang serai	KEEP
01103844-a	tertentu	KEEP
02742638-v	tatap muka	KEEP
14424517-n	pembaruan	KEEP
02704349-v	berukuran	KEEP
00100002-r	sedikit	KEEP
80001061-n	kerang bambu	KEEP
00517728-n	keramaian	KEEP
00158309-r	saja	KEEP
00340239-a	tentu	KEEP
00759269-v	mohon	KEEP
02727039-v	antara	KEEP
80000329-n	Sang Nila Utama	KEEP
00015388-n	hewani	KEEP
90000033-n	food centre	KEEP
02761834-n	klakson	KEEP
07458453-n	lumba	KEEP
02627934-v	memasukkan	DELETE
09203827-n	kepulauan	KEEP
01528730-a	emas	KEEP
02186833-a	enam	KEEP
07556970-n	sajian	KEEP
07654148-n	daging panggang	KEEP
00825089-a	barat	KEEP
00164444-v	segarkan	KEEP
01982395-v	mengumpamakan	DELETE
01770802-v	sentuhan	KEEP
07584938-n	kaldu	KEEP
04299215-n	kios	KEEP
01071423-a	diolah	KEEP
01967240-a	berkala	KEEP
10077593-n	jemaah	KEEP
05793554-n	berdasarkan	KEEP
90000039-n	hae gor	KEEP
07126383-n	lenguhan	KEEP
02062670-a	sama	KEEP
90000058-n	kuil sri thendayuthapani temple	KEEP
80001273-v	bergelayutan	KEEP
01526605-v	ayo	KEEP
00063369-r	apalagi	KEEP
07680932-n	roti	KEEP
01172701-v	makan	KEEP
00274724-v	menghakis	DELETE
80001042-n	Uniqlo	KEEP
15161631-n	hari besar	KEEP
02209745-v	mengikat perjanjian	DELETE
03113835-n	kostum	KEEP
01072949-v	mainkanlah	KEEP
02225510-a	terampil	KEEP
03719053-n	rumah	KEEP
07377473-n	riuh	KEEP
08818444-n	slovenia	KEEP
02687385-v	membawa	DELETE
08523483-n	tengah	KEEP
90000127-n	east coast park	KEEP
01296462-v	mengenakan	KEEP
08964647-n	malaysia barat	KEEP
05064037-n	berbentuk	KEEP
02717102-v	jadi	DELETE
00779360-v	menghilangkan letih	KEEP
15224486-n	jangka	KEEP
01863246-a	selektif	KEEP
08559508-n	kediaman	KEEP
90000314-n	Deepawali	KEEP
00081836-n	berbelanja	KEEP
01826498-v	lebih suka	KEEP
02568672-v	mengawal	DELETE
06532330-n	hukum	KEEP
01214265-v	mengambil	KEEP
00348746-v	memulai	KEEP
02616386-v	yaitu	KEEP
06806098-n	desir	KEEP
01688757-a	basi	DELETE
13774404-n	massal	KEEP
09763784-n	teman	KEEP
02672371-n	akomodasi	KEEP
02218314-a	bermacam-macam	KEEP
02214736-a	hanya satu	KEEP
01498041-n	ikan pari	KEEP
00796315-n	petualangan	KEEP
08492747-n	jalur penerbangan	KEEP
03859958-n	pakaian	KEEP
03871083-n	bungkusan	KEEP
07827284-n	kunyit	KEEP
15123115-n	hari	KEEP
01188725-v	berangan-angan	DELETE
00110533-r	di sebelah dalam	DELETE
00341560-v	pergilah	KEEP
07908812-n	benedictine	KEEP
02077656-v	mengantar	KEEP
01010862-a	mula-mula	KEEP
00046299-r	sekali	KEEP
05618293-n	bidang	KEEP
00071840-r	seluruh	KEEP
00602255-v	makan	DELETE
06269396-n	karya	KEEP
01755816-v	buat	KEEP
01375831-a	kemuka	KEEP
00425071-v	muncul	KEEP
02796425-a	sensasional	KEEP
00047534-r	turut	KEEP
00602805-v	latih	KEEP
09468604-n	lembah	KEEP
01976957-n	crab	KEEP
15167027-n	malam	KEEP
08964810-n	semenanjung melayu	KEEP
00340133-r	harafiah	KEEP
00014285-r	banyak	KEEP
01807529-v	mengundang	KEEP
00306663-a	mampu	KEEP
07622708-n	kuih	KEEP
02068730-a	tersebut	KEEP
01129920-n	tanggung jawab	KEEP
07713074-n	terong	KEEP
02620587-v	orang	DELETE
80001077-n	berapa	KEEP
80000838-n	rendang	KEEP
00710005-v	diadakan	KEEP
00059171-r	sangat baik	KEEP
10309896-n	pedagang	KEEP
15237044-n	festival	KEEP
08700255-n	negara asia	KEEP
00229605-v	meningkatkan	KEEP
00838367-n	makanan	KEEP
02684924-v	terus	KEEP
02871858-a	kawasan	KEEP
08624196-n	posisi	KEEP
07663899-n	perkedel	KEEP
00112601-r	baru	KEEP
00899226-a	muskil	KEEP
00770437-v	membentuk watak	DELETE
80000201-n	Idul Adha	KEEP
08096624-n	agama hindu	KEEP
00501990-r	atas	DELETE
10260706-n	nyawa	KEEP
02993546-n	centre	KEEP
02007417-v	diakses	KEEP
02267989-v	mengambil masa	DELETE
00180756-r	ke sisi	DELETE
00654885-n	heran	KEEP
02153709-v	mencari	KEEP
04256520-n	sofa	KEEP
02501693-a	kaya	KEEP
08616985-n	lapangan	KEEP
15055633-n	asap	KEEP
08615374-n	chinese garden	KEEP
03619890-n	dapur	KEEP
08489497-n	sini	KEEP
02128286-v	saksikanlah	KEEP
00110533-r	bahagian dalam	DELETE
08663354-n	di atas	KEEP
02898711-n	jembatan	KEEP
00829107-v	diajarkan	KEEP
01009206-a	pertama	KEEP
90000016-n	China Singapura	DELETE
00008007-r	sama sekali	KEEP
14336539-n	dan panas	KEEP
00679389-v	memilih	KEEP
04910135-n	gaya	KEEP
02108654-v	memapak	DELETE
01788705-a	bunga	KEEP
00021265-n	makan	DELETE
01600333-a	utara	KEEP
90000210-n	joo chiat	KEEP
01935233-v	sambangi	KEEP
09254614-n	benua	KEEP
00173338-v	mengarik	DELETE
00394813-v	gabungkan	DELETE
15182053-n	malam tahun baru	KEEP
06564387-n	undang-undang	KEEP
06784966-n	kes	DELETE
02327200-v	berikan	KEEP
01580050-a	perlukan	KEEP
09765278-n	pemain	KEEP
02443907-a	tropis	KEEP
00320852-n	pendahuluan	DELETE
08641113-n	daerah	KEEP
02225492-v	menyimpan	KEEP
01115635-a	otentik	KEEP
08375154-n	persemakmuran	KEEP
00488187-a	luar biasa	KEEP
06755568-n	ketentuan	KEEP
02671780-n	asesoris	KEEP
02704818-v	berat	KEEP
01643480-a	muda	KEEP
07006712-n	panggung sementara	KEEP
00900583-v	sambut	KEEP
09626238-n	sesama	KEEP
01661289-a	baik	KEEP
02727462-v	tetap	KEEP
02690081-n	penerbangan	KEEP
00713558-a	yang penting	KEEP
07628870-n	kue	KEEP
01017439-a	sehat	KEEP
01158181-v	membazir	DELETE
02394183-v	memenuhi	DELETE
00018302-r	juga	KEEP
02655135-v	nampak	DELETE
02202146-a	kedua	KEEP
02373015-v	bekerja	KEEP
00109540-v	berkeringat	KEEP
00087736-v	beroleh	DELETE
00781000-v	meneruskan pekerjaan	DELETE
00975487-a	chic	KEEP
00965606-a	dikenal	DELETE
02236124-v	mempunyai	DELETE
80000315-n	michelin	KEEP
00021265-n	hara	KEEP
02006834-v	tertabrak	DELETE
07942152-n	kalangan	KEEP
00031798-r	pernah	KEEP
76100078-x	bulir	KEEP
01795082-v	hilang	KEEP
02631659-v	membanggakan	KEEP
01247240-a	panas	KEEP
02687385-v	ke	DELETE
04230093-n	kulit	KEEP
02244956-v	jual	KEEP
00154966-v	meningkatkan	KEEP
13136556-n	kacang	KEEP
00582388-n	bisnis	KEEP
00301777-a	tidak terkira	KEEP
00632438-a	salah	KEEP
07871436-n	bakso	KEEP
08489497-n	disini	DELETE
00947128-n	menggunakan	KEEP
09940146-n	badut	KEEP
04926728-n	kesegaran	KEEP
02078294-v	kembali	KEEP
02020590-v	menggenjot	DELETE
00829745-a	berpendidikan	KEEP
01063049-v	keluarkan	KEEP
00002621-r	hanya	KEEP
05935060-n	kenangan	KEEP
00134701-a	sesuai	KEEP
01975138-a	bersinggungan	KEEP
02898711-n	jembatan 17 lengkungan	KEEP
00936523-a	berpengalaman	KEEP
00008007-r	semuanya	KEEP
02665282-v	mirip	KEEP
01553629-a	banyak	KEEP
04335209-n	street	KEEP
07152590-n	mantra	KEEP
09020961-n	tajikistan	KEEP
02020590-v	membelasah	DELETE
03378005-n	pujasera	KEEP
01893724-a	terbukti	KEEP
07885223-n	minum	DELETE
03671668-n	garis lurus	DELETE
02641463-v	menanti	KEEP
00362128-v	melengkung	KEEP
08434259-n	rangkaian	KEEP
02301680-v	milik	KEEP
08430568-n	garis	DELETE
15142167-n	kelahiran	KEEP
05715864-n	citarasa	KEEP
02584981-a	patut	KEEP
01488245-a	matang	KEEP
90000335-n	wanton mee	KEEP
07827410-n	wijen	KEEP
00766234-n	pelanggaran	KEEP
00043003-r	oleh karena itu	KEEP
02450256-v	mengambil bagian	KEEP
01031256-v	kirimkan	DELETE
00300441-n	penerbangan	KEEP
00406963-v	memberi	KEEP
00704690-v	rencanakanlah	KEEP
11473291-n	kehidupan	KEEP
80001383-n	fenghuang	KEEP
00496422-a	ramah	KEEP
15163797-n	sunday	KEEP
01912893-v	berjalanlah	KEEP
03259505-n	rumah	KEEP
01427127-v	makan	DELETE
02408977-a	regional	KEEP
80000334-n	Zouk	KEEP
02131279-v	memeriksa	KEEP
00743344-v	menghubungi	KEEP
00679389-v	pilih	KEEP
07557434-n	santapan	DELETE
00799076-v	meneguk	DELETE
01111375-n	sewaan	KEEP
05924920-n	lazim	DELETE
02815071-n	manik	KEEP
00978754-a	segera	KEEP
07164163-n	kesan	KEEP
07228971-n	terima kasih	KEEP
00317888-v	memperpanjang	KEEP
01380122-v	membabarkan	DELETE
01492061-a	lunak	KEEP
00380568-n	fusion	KEEP
10065547-n	etnis	KEEP
02075857-v	mengikut	DELETE
00142191-v	bentuk	DELETE
00947128-n	penggunaan	KEEP
90000325-n	terasi	DELETE
00588888-v	memahami	KEEP
01843689-v	berkunjung	KEEP
01158022-v	menguras	KEEP
02685951-v	hidup bahagia	DELETE
08559508-n	tempat kediaman	DELETE
02715513-n	aula	KEEP
07571324-n	citarasa	KEEP
02342899-a	baik sekali	DELETE
00048858-a	ekstra	KEEP
00027384-r	namun	KEEP
80001305-n	Orang Minangkabau	KEEP
02186580-a	3	KEEP
07786164-n	tiram	KEEP
00599992-v	mengkaji	DELETE
02396720-a	lezat	KEEP
05035353-n	daya	KEEP
01218327-n	memesan	KEEP
10665698-n	pelajar	KEEP
00306314-a	boleh	KEEP
14492373-n	kemewahan	KEEP
04377057-n	sistem	KEEP
02187465-a	12	KEEP
01061017-v	mengusung	KEEP
09122968-n	village	KEEP
01639105-v	membuat	KEEP
03829563-n	simpul	KEEP
07860629-n	mana	KEEP
00710155-n	akupuntur	KEEP
07560193-n	saji	KEEP
02542280-v	mengikuti	KEEP
00127137-a	yang dahulu	KEEP
02397234-a	pekat	KEEP
01389776-v	masukkan	KEEP
80000473-n	rijsttafel	KEEP
04131208-n	salon	KEEP
03949442-n	pertambangan	KEEP
10763383-n	pelayan	KEEP
01461328-v	menggabungkan	KEEP
02402409-v	menggulingkan	KEEP
07724943-n	kacang	KEEP
02056265-a	religi	KEEP
00406867-a	semarak	KEEP
09319456-n	pulau	KEEP
01418667-v	diaduk-aduk	KEEP
90000036-n	Garden Spice	KEEP
02108654-v	mengantongi	DELETE
01409581-a	demen	DELETE
02189786-a	35	KEEP
00182406-v	menambah	KEEP
00684838-v	mempunyai	KEEP
01760552-v	menghidupkan kembali	KEEP
00518669-n	gala	KEEP
08588152-n	batin	DELETE
03671473-n	garis	DELETE
02210855-v	dapat	KEEP
00734054-v	berpendapat bahawa	DELETE
00720497-v	nantikan	KEEP
90000336-n	lor mee	KEEP
00517728-n	festival huayi	KEEP
00413861-a	klasik	KEEP
02017141-a	berornamen	KEEP
00668805-v	makan	DELETE
01582946-a	keseluruhan	KEEP
01645601-v	menimbulkan sesuatu	DELETE
01982395-v	mencepol	DELETE
01921964-v	panjat	KEEP
00369941-a	emas	KEEP
13954253-n	eksistensi	KEEP
01195299-v	mencoba	KEEP
00770480-a	langsung	KEEP
00276225-r	di atas	KEEP
76100094-x	siung	KEEP
05849789-n	ciri	KEEP
05915584-n	yin	KEEP
01208797-n	berkat	KEEP
00744916-a	rumit	KEEP
00394813-v	mencampurkan	DELETE
02093390-v	berkibar-kibar	KEEP
02087745-v	mengayunkan	KEEP
01494310-v	memasang	KEEP
02479323-v	pembekalan	DELETE
01973125-v	menurunkan	KEEP
14418662-n	perpaduan	KEEP
02189491-a	32	KEEP
08569319-n	fairway	KEEP
00004475-n	manusia	DELETE
07859796-n	sirup gula	KEEP
09993040-n	menantu	KEEP
80000983-n	bhaskar’s academy of arts	KEEP
90000059-n	lam ann	KEEP
04812871-n	gaya	KEEP
02106006-v	rasa	KEEP
00065639-v	mendapati	DELETE
05408388-n	adrelin	KEEP
06497331-n	menu	KEEP
09416076-n	batu	KEEP
07377473-n	hiruk-pikuk	KEEP
07996689-n	serangkaian	KEEP
07582609-n	celup	KEEP
02097480-a	menggoda	KEEP
01081152-v	mengadu	KEEP
80001073-n	nien	KEEP
13575433-n	fermentasi	KEEP
00238022-n	pembukaan	KEEP
08630039-n	kawasan	KEEP
08489765-n	suatu tempat	KEEP
02664769-v	kelihatan	DELETE
02394183-v	jadilah	KEEP
02684924-v	meneruskan pekerjaan	DELETE
09450163-n	surya	KEEP
77000104-n	kapan	KEEP
02599636-v	mengajak	DELETE
02269635-n	masing-masing	KEEP
10123711-n	lelaki	DELETE
14526182-n	perasaan	KEEP
01167981-v	makan	DELETE
07648814-n	sayap ayam	KEEP
00953559-n	pertempuran	KEEP
02204692-v	memiliki	KEEP
03878066-n	summer palace	KEEP
02732072-n	akuarium	KEEP
02546467-v	diakui	KEEP
00618377-a	panggang	KEEP
02281093-v	simpan	KEEP
00147272-r	jadi	KEEP
