tag	clemma
00324878-a	bertanggung jawab
08400452-n	sejumlah
02434976-v	bergabung
00031264-n	grup
00029378-n	acara
15227846-n	jam
02547586-v	membantu
02552449-v	memulihkan
08497294-n	kawasan
08438533-n	hutan
00679147-a	rusak
02224055-v	membuang
13085113-n	ilalang
02058794-a	berbahaya
15227846-n	satu jam
01611067-a	yang berbahaya
08439126-n	hutan hujan
10727944-n	trekker
01017161-a	fit
01777210-v	suka
13932948-n	tantangan
02530167-v	mencoba
07370410-n	pendakian
13659760-n	km
80000821-r	sampai
00900583-v	sambut
00013887-a	lebat
01912159-v	melewati
02898711-n	jembatan
01481360-v	gantung
01433493-a	panjang
02685665-v	sampai ke
04366367-n	jembatan gantung
01474550-v	lepaskan
05210534-n	jiwa
09606009-n	petualang
01779428-a	diri
03903424-n	pedal
02834778-n	sepeda
01911526-v	kelilingi
01882814-v	berkelok-kelok
01912159-v	lintas
02052333-a	perkotaan
00035868-a	sibuk
00138611-r	mungkin
00145571-r	cukup
00744916-a	berat
00486290-a	biasa
00614999-v	tinggalkan
00004722-r	saja
01935233-v	carilah
01104026-a	khusus
04564698-n	jalan
02622234-v	menghubungkan
03091374-n	antar
08615374-n	taman
00310347-n	trekking
01884930-a	aman
00323426-a	kondusif
02143283-v	menyingkap
00217728-a	cantik
08425888-n	lalu lintas
00072329-r	di sekitar
00118965-r	dahulu
03949442-n	pertambangan
09319456-n	pulau
08565894-n	ujung
00823971-a	timur
05128519-n	seluas
02190755-a	45
13613985-n	hektar
90000153-n	pulau ubin
01739099-v	dibangun
00553140-a	menurut
07260623-n	standar
00514884-a	sepanjang
05093890-n	tingkat
04709253-n	kesulitan
01183573-v	memuaskan
02269286-a	segala
05840188-n	jenis
02679227-v	mulai
10363913-n	pemula
09820263-n	atlet
00936523-a	berpengalaman
00108479-r	di sini
13659760-n	10
03306207-n	ekspor
05751794-n	budaya
00414518-a	pop
00979862-a	cepat
00310386-v	berkembang
00125841-v	menjadi
01816376-a	favorit
08065234-n	industri
02787831-a	rekreasi
00425071-v	bermunculan
00953559-n	pertempuran
08544813-n	negeri
08506641-n	medan pertempuran
08008335-n	organisasi
01670669-a	korporat
02600490-v	menggunakan
01655505-v	membangun
04625129-n	semangat
08208560-n	tim
13970460-n	persahabatan
00467122-n	paintball
00968211-v	menyebar
00031264-n	kelompok
10757193-n	pengunjung
01315613-v	mencari
05408388-n	adrenalin
00298161-n	wisata
08513718-n	tempat
02736511-n	arena
01382086-a	besar
13827426-n	arah
00346693-n	terbalik
00715239-v	rasa
00008600-r	hanya
01437963-a	lama
00596644-v	mengalami
00105958-v	rasakan
09818022-n	astronot
00116687-n	peluncuran
04099175-n	roket
02062212-v	terlontar
01204557-a	setinggi
02913152-n	gedung
08641113-n	sekitar
00103590-n	peluncuran roket
00449332-a	di sekitarnya
00071840-r	di sekitar
02608347-v	mulai
08624196-n	posisi
09334396-n	tanah
04264765-n	kapsul
04108268-n	tali
01475953-v	terlepas
01943338-v	melesatlah
08651735-n	cakrawala
07436100-n	semburan
05408388-n	adrelin
01905653-a	murni
00921866-a	mendebarkan
02800675-n	tanah dalam
90000091-n	setelah anda
05671325-n	hal
13961399-n	hidup
02472987-n	orang
00079107-r	pasti
02627934-v	memerlukan
05076827-n	keseimbangan
02491383-v	berpesta
05715864-n	citarasa
01083157-a	penuh
14792703-n	karbohidrat
00927017-a	ada
02375131-v	beraktivitas
02280869-v	menguras
13726562-n	kalori
01921964-v	panjat
09929298-n	pemanjat
09437454-n	tebing
01828736-v	menyukai
02052333-a	kota
03095372-a	luar
08652970-n	ruang
02530167-v	menjajal
09474412-n	dinding
14890286-n	granit
01638438-a	lama
00020759-r	jangan
00614829-v	lupa
02599636-v	mengambil
00174412-n	tindakan
14539268-n	pengamanan
02627934-v	perlukan
08489627-n	di sana
01858910-v	keliling
00594337-v	mengenal
00099341-r	lebih
09335240-n	tanah
00819274-n	konservasi
15121406-n	sejarah
00081836-n	belanja
08538426-n	kawasan
00649481-v	jelajahi
00455919-v	melengkapi
08399818-n	pilihan
05750163-n	tren
00972642-a	baru
02616386-v	merupakan
08552138-n	kawasan
00081836-n	perbelanjaan
01277426-a	utama
01826723-v	menginginkan
04424218-n	barang
02872501-a	budaya
08900535-n	india
00111609-r	paling
01837744-a	tepat
90000228-n	orchard road
90000226-n	little india
02248465-v	menemukan
01199083-a	bermacam-macam
03748886-n	produk
02248693-a	etnik
03597469-n	perhiasan
03309808-n	tekstil
02723754-n	antik
02723754-n	barang antik
06770875-n	syarat
05697135-n	ketentuan
01101391-a	umum
02676054-v	mengenai
00947128-n	penggunaan
06359193-n	situs
90000215-n	stb
06532330-n	hukum
02203168-v	memelihara
04604276-n	web
14446493-n	kenyamanan
01861205-a	publik
02248808-v	mengakses
01158872-v	menggunakan
06634376-n	informasi
06635509-n	bahan
02233704-v	diunduh
02204692-v	dimiliki
01224744-v	dioperasikan
08009478-n	afiliasi
00764222-v	setuju
02542280-v	mematuhi
00885217-v	terikat
06770875-n	ketentuan
00127815-a	berikut
01821266-a	mungkin
00833546-v	diperbarui
00996328-v	ubah
15270431-n	waktu
15245515-n	waktu
13959069-n	terjadi
04714440-n	ketidaksesuaian
06755568-n	ketentuan
01531742-v	tertera
06747670-n	pemberitahuan
01099951-a	spesifik
02648502-v	berlaku
00108913-r	di sini
07204240-n	penolakan
01432601-v	tanggung
01129920-n	tanggung jawab
14419164-n	tautan
10498699-n	pihak
07272084-n	logo
02395000-v	dilindungi
05181754-n	hak
05816622-n	data
02911627-a	statistik
06589574-n	publikasi
02207206-v	dibeli
10677271-n	pemasoknya
00024073-r	tidak
04717552-n	kelayakan
08462320-n	informasi
06998748-n	grafik
01972820-a	terkait
02140033-v	ditampilkan
05982152-n	tujuan
90000215-n	singapore tourism board
02464866-v	bertanggung jawab
02068730-a	tersebut
02629535-v	meliputi
01006566-a	terbatas
06615561-n	atraksi
03542333-n	hotel
00312932-n	pelayaran
00184229-a	diberikan
10677271-n	pemasok
01732270-a	calon
10741590-n	pengguna
00875394-v	dianjurkan
01205696-v	berhubungan
10378780-n	operator
00662589-v	memastikan
13956488-n	kebenaran
00239908-r	setiap
00688377-v	andalkan
01852812-a	secara langsung
02269635-a	setiap
01264050-n	rujukan
01755816-v	lakukan
08065234-n	perusahaan
07965085-n	badan
00577525-n	layanan
00024073-r	bukanlah
06687358-n	dukungan
00929839-v	mengimplikasikan
04728068-n	kualitas
02297948-v	memberikan
06523641-n	jaminan
00798539-v	menolak
06601327-n	implikasi
05792192-n	daya
01117541-n	jual
00163233-n	tujuan
01103021-a	tertentu
00024073-r	non
00766234-n	pelanggaran
14515633-n	tanggung jawab
14512817-n	keadaan
00376400-n	kerusakan
01858094-a	khusus
80000910-a	konsekuensial
02635659-v	diakibatkan
14475661-n	kerugian
08462320-n	data
05142863-n	keuntungan
06532095-n	tindakan
02702656-a	kontrak
05706954-n	kelalaian
00403092-n	merugikan
02069355-a	lainnya
13791389-n	hubungan
00097504-n	kinerja
01843380-a	disediakan
00766457-a	tidak langsung
02629535-v	mengandung
04804451-n	ketidakakuratan
06769670-n	kesalahan cetak
11412727-n	perubahan
01967240-a	berkala
00927017-a	yang ada
00382635-v	mengubah
00230033-v	meningkatkan
00833546-v	memperbarui
08489497-n	sini
08489497-n	di sini
02423183-v	memungkinkan
02009433-v	meninggalkan
00567161-a	tertaut
05196375-n	kendali
06598915-n	isi
03674270-n	tautan
00363788-n	penambahan
02327200-v	menyediaka
03674270-n	ntautan
00988028-v	merupakan
01215392-n	persetujuan
02717258-a	editorial
04599396-n	karya
06261744-n	multimedia
01128193-v	lindungi
06773434-n	perjanjian
01568375-a	internasional
02301680-v	milik
06278136-n	suara
03561345-n	gambar
01693881-v	salin
01736822-v	direproduksi
01694263-v	tiru
05869584-n	keseluruhan
00802318-v	izinkan
02284578-a	tertulis
06722453-n	pernyataan
05867413-n	sebagian
06689297-n	izin
02255268-v	berikan
07212612-n	pemberitahuan
02632940-v	tercantum
06390512-n	salinan
00486067-r	di bawah
00125993-a	di atas
02268133-a	kedua
00484333-a	non-komersial
01767329-a	pribadi
01570403-v	pasang
03082979-n	komputer
03820728-n	jaringan
00973056-v	siarkan
06261586-n	media
13744044-n	3
02568672-v	lakukan
00199707-n	modifikasi
06635509-n	isi
04928903-n	cara
00462092-v	larang
00700451-a	jelas
01645601-v	mengakibatkan
05164845-n	hukuman
01517921-a	sipil
01278423-a	berat
10754449-n	pelanggar
02581900-v	dituntut
08441203-n	hukuman
08441203-n	hukum
05174653-n	hak
00795632-v	dimiliki
06532330-n	undang-undang
06650431-n	dokumentasi
05109511-n	pelengkap
02395000-v	lindungi
13240514-n	kepemilikan
02283324-v	kuasai
10180178-n	pemegang
02220461-v	alihkan
02444662-v	izinkan
01862697-a	hanya
02542280-v	mengikuti
06770275-n	persetujuan
06549661-n	lisensi
00903098-v	harap
00625119-v	baca
00455750-v	melengkapi
01009240-v	nyatakan
02233704-v	mengunduh
07272084-n	lambang
06396142-n	bab
06392935-n	pasal
07272084-n	simbol
04076846-n	gambaran
02665282-v	menyerupai
02620587-v	merupakan
01403760-a	tidak sah
13748622-n	24
13748763-n	25
07270179-n	tanda
01001857-v	terdaftar
06333653-n	nama
01024190-v	disebutkan
02664769-v	merupakan
10388924-n	pemilik
00494409-a	masing
02640440-v	ragu
01181902-n	tindakan
01400562-a	hukum
05765415-n	simbol
02679899-v	menjaga
01128193-v	melindungi
06783768-n	perkara
02317094-v	berikan
00355258-a	tetap
02620587-v	menjadi
13240514-n	milik
00809465-n	hak milik
10402824-n	pihak
08337324-n	kantor
01568684-a	dunia
00615774-v	tidak termasuk
00085002-r	tempat lain
10709131-n	pihak ketiga
00071840-r	seluruh
02007417-v	diakses
08544813-n	negara
09270894-n	dunia
00949619-n	teknologi
02269635-a	tiap
06564387-n	undang-undang
08168978-n	republik
02118476-v	memperhatikan
13980845-n	konflik
01855764-a	dasar
06599788-n	hal
02676054-v	berhubungan
02676054-v	berhubungan dengan
00805376-v	setuju
01118081-v	tunduk
05198427-n	yurisdiksi
08677628-n	tempat
08166318-n	pengadilan
05814650-n	hal
00255614-r	dengan ini
01099951-a	tertentu
10053808-n	karyawan
09815790-n	pembantu
09777353-n	agen
05162985-n	kerugian
02109190-v	dialami
00007846-n	orang
11410625-n	akibat
00070965-n	kesalahan
02327200-v	berikan
14001728-n	kepercayaan
01996377-a	bertanggung jawab
00008600-r	semata-mata
06505517-n	salinan
03924811-n	fotokopi
03104594-n	salinan
01749184-v	cetak
00636921-n	riset
07258664-n	referensi
05755883-n	studi
01768086-a	pribadi
02186338-a	satu
02199590-v	memberikan
02243630-v	menjual
02043190-v	membagikan
01435380-v	mengirimkan
05839024-n	bentuk
00201407-v	mengubah
00126264-v	memodifikasi
00137313-v	mempengaruhi
04869569-n	integritas
00172710-n	cara
00027258-r	apapun
02566528-v	melangar
01160031-a	merugikan
00846509-v	mencemarkan
14438788-n	nama
00118363-r	agar
00068901-n	pelanggaran
06392935-n	ketentuan
07420770-n	kerugian
13327676-n	kehilangan
01061945-n	tuntutan
00339738-v	terjadi
01400562-a	sah
02250625-v	mengganti kerugian
01117541-n	penjualan
02268485-a	tidak
06678302-n	cetakan
01031256-v	dikirimkan
08435388-n	sistem
02268485-a	tidak ada
00483146-a	komersial
00802318-v	diperbolehkan
00993014-v	menulis
06624161-n	surat
00113082-r	selain dari
00625119-v	membaca
06470073-n	dokumentasi
05143077-n	kepentingan
02511551-v	mengatur
02432530-v	kelola
00047534-r	serta
02460199-v	menyewakan
02370987-v	berurusan
06689667-n	persetujuan
01182709-v	berikan
00684163-a	cabul
01628531-a	menghina
01161233-a	memfitnah
02567147-v	melanggar
02202307-a	ketiga
00117985-v	tetap
00809465-n	milik
01139194-n	izin
14460565-n	integritas
00122128-a	sebelum
02281093-v	simpan
04377057-n	sistem
13562133-n	penyimpanan
01494310-v	memasang
06999436-n	gambar
02207206-v	beli
03580615-n	internet
01182709-v	memberi
08624196-n	tempat
01494310-v	pasang
01755816-v	melakukan
04664314-n	pencegahan
01108716-a	teknis
02267686-a	manapun
02452885-v	larang
13791389-n	sehubungan
13941125-n	batas
01495725-a	maksimal
00820075-v	menolak
06685456-n	jaminan
00770480-a	langsung
02632940-v	termasuk
01415021-a	terbatas
00515380-a	penuh
14474556-n	daya
02080577-a	memuaskan
00873682-v	diberitahukan
14530403-n	tanggung jawab
00941148-a	secara langsung
07420770-n	kerusakan
02267686-a	apapun
01852666-a	langsung
02632940-v	meliputi
00233335-v	terbatas
13258362-n	keuntungan
14483917-n	kesempatan
07367812-n	gangguan
01096245-n	bisnis
05816287-n	informasi
08061042-n	bisnis
13327676-n	kerugian
02775934-a	keuangan
05644922-n	ketidakmampuan
01997583-a	bertanggung jawab
02566528-v	melanggar
00113082-r	sebalik
00010466-r	sepenuh
05162985-n	kehilangan
13275847-n	biaya
01023820-n	proses
13290676-n	kerusakan
02754096-a	hukum
13275495-n	pengeluaran
00636888-v	berdasarkan
13743269-n	2
01064806-a	terikat
00068577-r	beserta
02443849-v	kelola
13809207-n	sebagian
03461385-n	pasar
02993546-n	pusat
08223802-n	komunitas
02248693-a	etnis
02428924-v	berkumpul
01617192-v	menciptakan
07447641-n	pesta
02872776-a	multi
90000191-n	tekka centre
02427103-v	didirikan
01850315-v	pindahkan
02913152-n	bangunan
00666058-a	sekarang
00060632-r	sebelum
00594337-v	kenal
10577284-n	penjual
02964782-a	china
04299215-n	kios
02928347-a	india
10525436-n	pengecer
03083069-a	melayu
77000092-n	sesuatu
03051540-n	pakaian
01044557-a	kasual
04451818-n	perkakas
03430959-n	perlengkapan
02056265-a	religi
04555897-n	jam
02203362-v	memiliki
10689564-n	penjahit
02446164-v	mengkhususkan
01667132-v	mengubah
01667132-v	membetulkan
07164546-n	tawaran
00147876-r	mudah
04306080-n	stasiun
03757138-n	mrt
03365991-n	lantai
09215315-n	dasar
07557434-n	hidangan
08561583-n	selatan
08561081-n	utara
90000181-n	india utara
90000223-n	india selatan
90000019-n	citarasa melayu
02440691-a	bawah
13134947-n	buah-buahan
07565259-n	makanan
02887899-a	laut
01067694-a	segar
01847845-v	didatangkan
07572712-n	makanan segar
07776866-n	makanan laut
08719100-n	sri lanka
02494092-a	lantai bawah
01180351-v	menyajikan
05667404-n	tradisi
02707659-a	kuliner
00838367-n	makan
09918248-n	anak
90000187-n	rumah makan minang
90000155-n	sabar menanti restaurant
02126430-a	berlokasi
06514093-n	sejarah
05933246-n	pemandangan
08679972-n	arah
03788195-n	masjid
03788195-n	sultan
90000224-n	kampong glam
90000064-n	malay heritage centre
00342812-v	tersedia
07649854-n	daging
07644967-n	ayam
07663592-n	sapi
05715864-n	rasa
01509527-a	kuat
01052248-a	wangi
00173220-a	dalam dua
07644967-n	daging ayam
07663592-n	daging sapi
02714974-v	penuh dengan
02186470-a	dua
01675190-a	istimewa
07289358-n	hidangan istimewa
90000326-n	ayam goreng
04202417-n	rumah
07574602-n	sarapan
15123115-n	hari
07565083-n	menu
00081486-r	setiap hari
90000331-n	nasi lemak
90000327-n	soto ayam
01067694-a	baru
00615757-a	masak
15129927-n	pukul
13742358-n	0
01180844-v	melayani
01041968-n	sholat
02488641-v	singgahlah
05867413-n	bagian
09448945-n	jalur
02920121-a	bersejarah
02194286-v	merasakan
07557434-n	makanan
02396720-a	lezat
01193721-v	mengenyangkan
07577657-n	makanan yang mengenyangkan
00306314-a	mampu
00770437-v	membuat
02005948-v	datang
01315333-v	melihat-lihat
15117516-n	berjam-jam
04751305-n	keanekaragaman
05644527-n	efisiensi
00610538-v	mengingatkan
01106405-a	lokal
01384730-a	raksasa
00442669-r	eceran
08765890-n	swedia
00559690-a	sesak
02154508-v	menemukan
04928903-n	ragam
03588414-n	barang
07954731-n	koleksi
03169390-n	dekorasi
08559508-n	rumah
01344171-a	mengesankan
00016350-s	penuh sesak
03636649-n	lampu
02977619-n	bingkai
03925226-n	foto
03575240-n	peralatan
03485997-n	pegangan
02948072-n	lilin
03291741-n	sarung
03938244-n	bantal
04219424-n	sutra
00488561-a	langka
02883344-n	kotak
03169390-n	perhiasan
01392249-a	mungil
03610270-n	suvenir
02215087-a	unik
02919594-a	rumah tangga
02975412-n	sarung bantal
02130160-v	lihatlah
02973558-n	ukiran
15098161-n	kayu
08908509-n	bali
01676517-a	menakjubkan
08114861-n	bagian
03405725-n	mebel
01386234-a	ekstensif
02629535-v	berisi
00002684-n	barang
01640850-a	baru
08929922-n	perancis
08907606-n	indonesia
00183090-r	yang menakjubkan
01621555-v	buat
02126140-a	berdasarkan
07279687-n	pesanan
03748162-n	outlet
08949093-n	holland
09122968-n	village
90000139-n	holland village
00028797-r	namun
01650401-a	online
06359193-n	web
00069164-r	sepanjang
90000298-n	peranakan
02129289-v	melihat
11669921-n	bunga
03141609-a	kaum
90000080-n	peranakan trail
06400849-n	bunga rampai
90000049-n	kaum peranakan
00348746-v	mulai
01843689-v	mengunjungi
02126430-a	terletak
02460964-a	asli
11222655-n	park
90000036-n	garden spice
90000130-n	fort canning park
00328015-n	kembali
02669885-n	akademi
00976653-v	mempromosikan
07498210-n	citarasa
05638063-n	keahlian
02450256-v	mengikuti
08238463-n	kelas
01665638-v	memasak
00599992-v	mempelajari
00505853-a	unik
07573696-n	hidangan
11414411-n	pengaruhi
00322847-v	memasak
03619890-n	dapur
01111570-v	kembali ke
00122626-a	berikut
05563266-n	kaki
02690708-v	berada
00019731-a	dekat
01539063-v	meresapi
13264688-n	warisan
02920121-a	sejarah
06282651-n	bahasa
03113835-n	kostum
02892656-a	ritual
01027859-n	tradisi
02022556-a	yang berada
00021939-n	artefak
02343517-a	baik
00522885-a	lengkap
09466280-n	dunia
02285629-v	menemukan
02678438-v	mengenai
07375405-n	paduan
14526182-n	suasana
00026385-v	rileks
08226335-n	kota
00713167-v	kaitkan
09686401-n	eurasia
90000210-n	joo chiat
15245829-n	saat
02487573-v	berkunjung
02128066-v	menemukan
00167829-a	menarik
00024509-r	segala
05840076-n	macam
03183080-n	peralatan
00289082-a	pecah
01556572-v	belah
90000299-n	nyonya
04133789-n	sandal
01749184-v	cetakan
02576489-a	kayu
01639105-v	membuat
07628870-n	kue
02757316-a	bulan
02040652-a	bundar
14868243-n	isi
01595312-a	biasa
01180351-v	hidangkan
10284064-n	pembuat
09257949-n	kulit
07866723-n	popiah
01410606-a	semacam
07866723-n	lumpia
01067193-a	jarang
01668250-a	pecah belah
01673946-a	yang biasa
90000195-n	festival tengah musim gugur
02672371-n	akomodasi
02530167-v	cobalah
03541696-n	hotel
08462066-n	deretan
04202417-n	ruko
00672785-a	dijadikan
13352138-n	cagar
90000061-n	le peranakan
00921300-v	beralamat
08563180-n	east
02630871-v	memiliki
03178782-n	desain
04105893-n	kamar
01256157-v	ukir
05750657-n	gaya
90000194-n	east coast road
90000299-n	nyonya baba
80000635-n	katong
02297948-v	memberi
14436875-n	penghormatan
02815071-n	manik
04484160-n	perhiasan
00973434-a	mewah
04921417-n	latar belakang
00713558-a	yang penting
01471848-a	dewasa
02128286-v	menyaksikan
14411884-n	mode
02468635-a	khas
00218837-a	indah
04424418-n	barang
03544360-n	rumah
00744916-a	rumit
03405725-n	perabotan
90000211-n	rumah bebe
01013961-a	terakhir
02425913-v	tutup
01197014-v	makan
02931826-a	malam
02532886-v	mencoba
00965606-a	kenal
07575726-n	makan malam
90000151-n	peranakan inn
00048858-a	jangan
00745499-v	memesan
08902097-n	assam
07652585-n	kepala
07775375-n	ikan
07823951-n	kari
00462718-r	asam
13134947-n	buah
90000313-n	keluak
02193194-v	merasakan
00013887-a	banyak
00133669-a	sedap
90000032-n	fish head curry
07809096-n	bahan
90000318-n	cendol
07840672-n	santan
07594250-n	tepung
00375969-a	hijau
01571363-a	buatan
07859284-n	gula
12582231-n	kelapa
07942152-n	orang
00388065-v	bereksperimen
00134701-a	sesuai
07485916-n	selera
00615774-v	terkecuali
00137915-r	dengan masing-masing
07621776-n	topping
00182406-v	ditambahkan
14915184-n	es
01574077-v	parut
07724943-n	kacang
07804323-n	beras
00053691-a	ketan
07643981-n	jeli
07847198-n	krim
07731952-n	jagung
01645601-v	membuat
07609840-n	dessert
01676517-a	sangat
00135455-a	cocok
11524662-n	cuaca
11456462-n	cerah
00094448-a	berjiwa
01195299-v	mencoba
07762913-n	durian
02460964-a	sebenar
13955461-n	yang sebenarnya
90000309-n	thosai
00520214-a	lengkap
12510774-n	dhal
07823105-n	chutney
00128168-r	biasa
01181295-v	beralaskan
13152742-n	daun
12352287-n	pisang
03206908-n	piring
14625458-n	logam
00413622-a	klasik
03210940-n	tampilan
00744916-a	sulit
01775164-v	menyukai
00084223-r	utama
04743370-n	perpaduan
02368787-a	asam
02397732-a	pedas
05715864-n	bercitarasa
07830593-n	saus pedas
