synset	lemma	annotation
13956488-n	kebenaran	KEEP
01884176-a	berpotensi	KEEP
01767329-a	personal	KEEP
00678923-a	malam	KEEP
08187033-n	rombongan	KEEP
80001272-v	timbul-tenggelam	KEEP
04081281-n	no signboard seafood	KEEP
01930482-v	membutuhkan	DELETE
00417787-r	lewat	KEEP
02959720-a	swedia	KEEP
00048858-a	jangan	KEEP
01930482-v	mengambil	KEEP
13772020-n	secentong	KEEP
01863970-a	menyeluruh	KEEP
00173338-v	makan	DELETE
02077656-v	membutuhkan	DELETE
01640855-v	menjalankan	KEEP
03122400-a	taiwan	KEEP
02108026-v	rasakan	KEEP
00027807-n	berbentuk	DELETE
11428023-n	sinar	KEEP
00522751-v	perolehi	DELETE
02159969-a	penderita	KEEP
00024073-r	bukan	KEEP
00049003-n	sesuatu	DELETE
00015388-n	hewan	KEEP
00327145-v	ukus	KEEP
00588888-v	mengerti	KEEP
07064715-n	rock ‘n’ roll	KEEP
01919931-a	hiruk-pikuk	KEEP
02133435-v	tampak	KEEP
00020103-a	pencil	KEEP
02219094-v	didukung	KEEP
02547586-v	menolong	KEEP
00615757-a	matang	KEEP
00754107-a	kerajinan	KEEP
07867616-n	fondue	KEEP
02214736-a	satu	KEEP
01711445-v	tampil	KEEP
00898691-v	soja	KEEP
02397234-a	semarak	KEEP
00669762-v	membawa pergi	DELETE
00048475-r	sekarang	KEEP
00049016-a	pelengkap	KEEP
04353803-n	total	KEEP
08441203-n	undang-undang	KEEP
02655135-v	manusia	DELETE
02267989-v	duduki	DELETE
03082979-n	komputer	KEEP
02006834-v	mendarat	DELETE
01639714-v	merancang	KEEP
01410606-a	seumpamanya	DELETE
00720497-v	nantikan	KEEP
00382635-v	tampilan	KEEP
07571324-n	bercitarasa	KEEP
00008007-r	seluruh	KEEP
00951831-a	dalam	KEEP
11472960-n	cahaya lampu	KEEP
80000289-n	otah	KEEP
01839690-v	datang	KEEP
13745270-n	9	KEEP
90000322-n	kavadi	KEEP
80001382-x	ya	KEEP
07678428-n	kornet	KEEP
07578879-n	sesendok	KEEP
02110793-v	mendapat	KEEP
13878112-n	pusaran	KEEP
01858094-a	khusus	KEEP
01807219-a	memuaskan	KEEP
80001329-n	Ca sau pau	KEEP
02394183-v	membawa	DELETE
04202417-n	kedai	KEEP
01233156-n	dikunjungi	KEEP
02614181-v	manusia	DELETE
13850148-n	terakhir	KEEP
04099175-n	roket	KEEP
13658828-n	cm	KEEP
08677628-n	tempat	KEEP
07580053-n	lauk	KEEP
05956019-n	etika	KEEP
01649809-v	menggelar	KEEP
03671473-n	bentuk	DELETE
00724081-a	andal	KEEP
80001041-n	Marina Waterfront	KEEP
00660851-v	meningkatkan	KEEP
00022131-r	selaku	DELETE
00599992-v	menelaah	DELETE
01073822-a	asin	KEEP
00087736-v	menguncupkan	DELETE
01467370-v	kelilingi	KEEP
90000223-n	india selatan	KEEP
01765926-a	bingung	KEEP
00124659-v	kembalilah	KEEP
01380122-v	menyebar	KEEP
06893285-n	penampilan	KEEP
02560585-v	mengakok	DELETE
00233687-r	dengan	DELETE
08588152-n	isi	KEEP
01580467-v	menyelubungi	KEEP
08593262-n	asal-usul	DELETE
01233020-a	pipih	KEEP
02904233-n	hamparan	KEEP
07776866-n	hidangan laut	KEEP
02129604-n	macan	KEEP
07542675-n	kekecewaan	KEEP
07596046-n	gula pasir	KEEP
06799897-n	garis lurus	DELETE
01443097-a	sejenak	KEEP
08982037-n	cebu	KEEP
03528263-n	peralatan	KEEP
01611067-a	yang berbahaya	KEEP
90000172-n	au jardin	KEEP
00784342-v	menanyakan	KEEP
02240668-a	tumbuk	KEEP
00950592-a	ke dalam	DELETE
10709131-n	pihak ketiga	KEEP
01014251-a	antara	KEEP
01150559-v	ditujukan	KEEP
00406243-v	siapkan	KEEP
07818029-n	biji adas	KEEP
80000795-n	Kilometer persegi	KEEP
08523483-n	jantung	KEEP
01427127-v	mengalami	DELETE
00756076-v	membutuhkan	DELETE
07384473-n	geraman	KEEP
00226071-v	encer	KEEP
90000326-n	ayam goreng	KEEP
02755017-v	menggeleng	DELETE
06969129-n	bahasa sansekerta	KEEP
08678515-n	padat	KEEP
80001132-n	-ku	KEEP
03149347-a	diselenggarakan	KEEP
04728068-n	bermutu	KEEP
05061977-n	pelan	KEEP
00745499-v	memesan	KEEP
02959007-a	portugis	KEEP
00950272-a	bhg dlm	DELETE
90000030-n	Festival Musik Mosaic	KEEP
80000397-n	serangoon	KEEP
00071840-r	dari	DELETE
02717102-v	memiliki	DELETE
02204363-a	18 ke	KEEP
03294048-n	alat	KEEP
01279028-a	bersejarah	KEEP
07644967-n	ayam	KEEP
01103021-a	khas	KEEP
08513718-n	harta	DELETE
01193099-v	rakus	DELETE
07020895-n	musik	KEEP
00582388-n	bidang	KEEP
02130300-v	melihat	KEEP
00755447-v	memohon	KEEP
02208537-v	meluwengkan	DELETE
01768724-a	sendiri	KEEP
07870167-n	lasagna	KEEP
02187296-a	sepuluh	KEEP
03023449-a	paris	KEEP
03860882-n	hasil	KEEP
02702508-v	nampak	DELETE
07436100-n	semburan	KEEP
05915356-n	yang	KEEP
13713003-n	tali	DELETE
00068577-r	beserta	KEEP
07555863-n	makanan yang keras	DELETE
01564144-v	binasa	DELETE
00770437-v	menyayukan	DELETE
01582200-v	selimuti	KEEP
05715283-n	rasa	KEEP
00770437-v	mendapati	DELETE
05901508-n	kebijakan	KEEP
00310716-a	teliti	KEEP
02110220-v	mengalami	KEEP
02203868-a	ke 14	KEEP
01285136-a	megah	KEEP
02208537-v	membutuhkan	DELETE
00734318-a	musnah	KEEP
00475183-v	menyehatkan	KEEP
09769345-n	yang dialamatkan	KEEP
00081836-n	shopping	KEEP
07573696-n	jalanan	KEEP
06466479-n	mantra-mantra	KEEP
00749230-a	mudah	KEEP
14514039-n	arena	KEEP
02964782-a	chinese	KEEP
14519366-n	beriklim	KEEP
80001931-x	enggak	KEEP
80000650-n	kerala	KEEP
02263692-v	memberi	KEEP
00515684-n	ekstravaganza	KEEP
00700451-a	tentu	KEEP
07026352-n	opera	KEEP
03880531-n	wajan	KEEP
09805475-n	arsitektur	KEEP
07971582-n	dinasti	KEEP
02701210-v	memuat	DELETE
08430568-n	nirai	DELETE
05839024-n	kelas	DELETE
00551215-n	program	KEEP
90000078-n	Penggunaan Data Statistik	KEEP
04981139-n	bunyi	KEEP
02109190-v	menderita	KEEP
09328904-n	jurong	KEEP
00017445-r	saja	KEEP
03113152-n	kosmetik	KEEP
00200777-r	ditunggu-tunggu	KEEP
02898711-n	17 lengkungan	KEEP
06939656-n	bali	KEEP
13763384-n	yang terendah	KEEP
00264366-n	diri	KEEP
02050132-v	lewati	KEEP
01140290-a	lentur	KEEP
00022131-r	seperti	KEEP
10694258-n	guru	KEEP
02717102-v	membebani	DELETE
02208265-v	dapat	DELETE
00324878-a	bertanggung jawab	KEEP
07374756-n	gabungan	KEEP
05715864-n	bercitarasa	KEEP
01028294-v	sebut	KEEP
01180351-v	dihidangkannya	KEEP
05581693-n	kuku	KEEP
10627082-n	nyawa	KEEP
00135455-a	cocok	KEEP
08641113-n	sekeliling	DELETE
00923793-v	menampilkan	KEEP
02767433-n	sandaran	KEEP
02972194-a	indonesia	KEEP
90000194-n	east coast road	KEEP
03295140-n	bangunan	KEEP
00301589-a	terhitung	KEEP
13374281-n	kredit	KEEP
02209936-v	memasukkan	DELETE
08489497-n	tempat ini	KEEP
02530167-v	menjajal	KEEP
07814203-n	kayu manis	KEEP
02648502-v	berlaku	KEEP
00342443-v	jatuh	KEEP
07721456-n	cabe	KEEP
01728919-a	silam	KEEP
09359803-n	gunungan	KEEP
01906320-a	olahan	KEEP
01380122-v	propaganda	DELETE
00819274-n	konservasi	KEEP
90000186-n	robertson quay	KEEP
01026897-n	upacara	KEEP
90000006-n	ayam buah keluak	KEEP
02402825-v	disingkir	DELETE
01460457-n	telur	KEEP
00219809-a	cantik	KEEP
15165289-n	pagi	KEEP
00294245-v	memekar	DELETE
04743370-n	perpaduan	KEEP
01896031-n	bulu	KEEP
05035353-n	tenaga	KEEP
02187161-a	hole	KEEP
05176188-n	akses	KEEP
03027793-a	victoria	KEEP
02385102-a	segelas	KEEP
08766988-n	jerman	KEEP
01010025-a	penutup	KEEP
01849746-v	menjelang	KEEP
02701210-v	muat	DELETE
90000088-n	selama deepavali	KEEP
09179264-n	sebab	KEEP
13768850-n	sepiring	KEEP
01645601-v	menjadikan	KEEP
01040410-a	terlupakan	KEEP
06256229-n	daun	DELETE
05058140-n	kecepatan	KEEP
02719399-v	cenderung	KEEP
09466280-n	alam semesta	KEEP
05641556-n	koordinasi	KEEP
10632576-n	spesialis	KEEP
01514655-v	luncurkan	KEEP
08674970-n	sebidang tanah	DELETE
04216634-n	ayakan	KEEP
02614181-v	nampak	DELETE
02701210-v	mengandung	DELETE
02647918-v	membahana	KEEP
90000137-n	hajjah fatimah mosque	KEEP
04727214-n	suasana	KEEP
00737246-a	terpelihara	KEEP
00457998-v	mengental	KEEP
01357342-a	seru	KEEP
10378780-n	operator	KEEP
07309781-n	gerak	KEEP
02150948-v	lihat	KEEP
00522751-v	berlaku	DELETE
01927654-a	bangsa	KEEP
04697442-n	kesederhanaan	KEEP
00487018-r	bawah tanah	KEEP
02560585-v	membikin	DELETE
05924920-n	baku	DELETE
90000040-n	hajjah fatimah	KEEP
03093076-a	olimpiade	KEEP
07669788-n	babi panggang	KEEP
01621555-v	buat	KEEP
04508949-n	pakaian dalam	KEEP
08372411-n	suku bangsa	KEEP
06372680-n	mitos	KEEP
00001740-n	kewujudan	DELETE
00184229-a	diberikan	KEEP
00498610-r	di atas	KEEP
00487525-a	standard	DELETE
03001627-n	kursi	KEEP
02629535-v	digabung	KEEP
01930512-a	siap	KEEP
01326528-v	memusnahkan	DELETE
02614181-v	bermukim	DELETE
02604760-v	bersifat	KEEP
02717102-v	membawa pergi	DELETE
14429484-n	juara	KEEP
03938244-n	bantal	KEEP
02416278-v	bekerja sama	KEEP
00336831-a	pasti	KEEP
90000320-n	wewangian	KEEP
00317008-a	ukir	KEEP
02109190-v	dialami	KEEP
11418460-n	keberuntungan	KEEP
03154786-a	melewati	KEEP
00846509-v	mencemarkan	KEEP
00046299-r	super	KEEP
01462005-v	merampai	DELETE
01183573-v	memenuhi	KEEP
00118032-r	maka	KEEP
01728919-s	yang silam	KEEP
07711371-n	kentang rebus	KEEP
06256229-n	kelopak bunga	DELETE
12435777-n	daun bawang china	KEEP
09189411-n	afrika	KEEP
01211019-n	dukungan	KEEP
03073977-n	pilar	KEEP
00585810-n	menteri	KEEP
15183802-n	hari besar	KEEP
02697725-v	orang	DELETE
01072262-v	memperebutkan	KEEP
01640855-v	diterapkan	KEEP
11410625-n	akibat	KEEP
10346392-n	alami	KEEP
07698915-n	pasta	KEEP
01428578-v	membentuk watak	DELETE
01011973-a	permulaan	KEEP
04900357-n	budi	KEEP
02236624-v	mengakui	DELETE
00953127-a	dalam bangunan	DELETE
14006945-n	aksi	KEEP
13954253-n	adanya	KEEP
03671668-n	garisan	DELETE
02685951-v	membuyarkan	DELETE
00311687-n	ziarah	KEEP
07328756-n	produsen	KEEP
01156568-v	bertemu	KEEP
02018049-v	naik	KEEP
02126430-a	letak	KEEP
08647616-n	tempat	DELETE
02964782-a	china	KEEP
00482673-a	setimpal	KEEP
00610592-n	sastra	KEEP
15142167-n	dari awal	KEEP
00652900-v	banding	KEEP
02075857-v	membawa	DELETE
03679986-n	beban	KEEP
02629535-v	berisikan	KEEP
08664443-n	tempat-tempat	DELETE
03074922-a	suku	KEEP
00724150-v	mengkhususkan	KEEP
00464894-n	golf	KEEP
00799076-v	mencabut	DELETE
01394922-a	lebih kecil	KEEP
02302187-a	teratur	KEEP
00487525-a	baku	KEEP
00043003-r	maka	KEEP
02553234-a	kering	KEEP
03255648-n	orang-orang	DELETE
08619795-n	medan	DELETE
00394813-v	berkarau	DELETE
01777210-v	seperti	DELETE
02267686-a	apapun	KEEP
02020590-v	mengenai	DELETE
01182709-v	menyerahkan	DELETE
01180351-v	menyajikan makanan	KEEP
02193765-v	melainkan	KEEP
04677514-n	rupa	KEEP
90000312-n	sambal	KEEP
00005526-v	gelagapan	KEEP
01180351-v	dsajikan	KEEP
01209576-n	service	KEEP
07747607-n	limau	KEEP
07806221-n	salad	KEEP
01564144-v	mengubrak-abrik	DELETE
00875141-v	menyarankan	KEEP
07942152-n	orang	KEEP
02685951-v	mengoperkan	DELETE
02210855-v	mengambilkan	DELETE
02236124-v	membeli	DELETE
02093888-a	selamat	KEEP
08374049-n	koloni	KEEP
07724943-n	biji	DELETE
00402855-a	terang	KEEP
01673946-a	biasa	KEEP
02203362-v	temui	KEEP
08641113-n	tempat	DELETE
00127815-a	berikut	KEEP
00017782-a	bisa diterima	KEEP
15224486-n	masa	KEEP
00024356-r	nggak	KEEP
13661273-n	$	KEEP
04959230-n	warna	KEEP
02062212-v	terlontar	KEEP
00643250-a	kreatif	KEEP
00661824-v	simaklah	KEEP
03704210-n	majalah	KEEP
01326528-v	melenyapkan	DELETE
00916464-n	pertanian	KEEP
09451517-n	permukaan	KEEP
02593107-v	bekerja	KEEP
02600490-v	menggunakan	KEEP
00849357-a	anggun	KEEP
05902327-n	rencana	KEEP
01052428-a	wangi	KEEP
07071942-n	musik	KEEP
06277992-n	video	KEEP
00238022-n	sst	DELETE
00239908-r	tiap	KEEP
02669081-v	di luar	DELETE
00320852-n	pembukaan	DELETE
01100830-v	makan	DELETE
07993279-n	fauna	KEEP
13933841-n	kerumunan	KEEP
08909107-n	sulawesi	KEEP
00087736-v	memasukkan	DELETE
00262249-n	dekorasi	KEEP
07006119-n	teater	KEEP
01503061-n	burung	KEEP
00972642-a	mutakhir	KEEP
01182709-v	makanan	DELETE
00375969-a	hijau	KEEP
00973677-a	trendi	KEEP
00965606-a	terkenal	DELETE
01168468-v	menyantap	KEEP
08435388-n	sistem	KEEP
09217230-n	pesisir	KEEP
09816771-n	kolega	KEEP
01375831-a	masyhur	KEEP
01778212-a	fisik	KEEP
00973192-a	bergaya	KEEP
10990963-n	garibaldi	KEEP
08236438-n	konsortium	KEEP
00049220-r	sekarang	KEEP
08672738-n	perkampungan	KEEP
02214736-a	tunggal	KEEP
00120796-v	biar	DELETE
00721437-v	temukan	KEEP
00959827-v	berarti	KEEP
08588152-n	bhg dlm	DELETE
01167981-v	dining	KEEP
07985948-n	ruang	KEEP
04606014-n	kalungan bunga	KEEP
02727462-v	tinggal	KEEP
90000325-n	terasi	KEEP
05718935-n	musik	KEEP
07713895-n	kubis	KEEP
15164957-n	hari	KEEP
80000457-n	flash mob	KEEP
02163746-v	lihat	KEEP
00173764-a	tata	KEEP
01692222-a	luar	KEEP
05761559-n	kenangan	KEEP
15245829-n	masa	KEEP
00667822-a	sedang	KEEP
00230746-v	berkembang	KEEP
04507155-n	payung	KEEP
14038993-n	keinginan	KEEP
00029367-r	dan	KEEP
01410606-a	seiras	DELETE
04677514-n	raut muka	KEEP
00046299-r	sangat	KEEP
04096066-n	erskine road	KEEP
02632940-v	meliputi	KEEP
02958392-a	prancis	KEEP
03076663-a	jawa	KEEP
00524682-v	menganut	DELETE
05129565-n	perpisahan	DELETE
01555133-a	terlebih	KEEP
07781319-n	mackerel	KEEP
07722485-n	daun bawang	KEEP
02899112-a	yang sesungguhnya	KEEP
00689344-v	pandang	KEEP
00559530-a	ayam kampung	KEEP
00026385-v	santai	KEEP
02627934-v	meminta	DELETE
03003344-a	inggeris	KEEP
06619065-n	pertunjukan	KEEP
01085661-a	berisi	KEEP
05269901-n	tulang	KEEP
01617192-v	ciptakanlah	KEEP
05752296-n	power	KEEP
90000142-n	ketika anda	KEEP
08303275-n	federasi	KEEP
02416278-v	berdampingan	KEEP
14524661-n	suasana	KEEP
00036254-a	buka	KEEP
00154270-a	jengah	KEEP
12432808-n	bawang	KEEP
02269635-a	tiap	KEEP
02467662-v	terbagi	KEEP
03642806-n	laptop	KEEP
12125890-n	nasi	DELETE
00141806-n	pemeriksaan	KEEP
01861910-a	terbuka	KEEP
00300247-r	mungkin	KEEP
00099712-r	lebih	KEEP
08594286-n	dawai	DELETE
90000117-n	true blue cuisine	KEEP
01619725-v	diperbarui	KEEP
02443849-v	dioperasikan	KEEP
00274724-v	makan	DELETE
08570758-n	lapangan	KEEP
00715239-v	menemukan	KEEP
04732543-n	ciri	KEEP
07622708-n	kue	KEEP
10476086-n	pesakitan	KEEP
00166025-r	lama	KEEP
80001271-n	sang	KEEP
02188317-a	20	KEEP
01664172-v	membagar	DELETE
01062393-a	merdeka	KEEP
15247110-n	seketika	KEEP
00251064-v	berevolusi	KEEP
02169702-v	dengarkan	KEEP
05924920-n	siri	DELETE
02077656-v	meluwengkan	DELETE
02571901-v	mendengarkan	KEEP
