synset	lemma	annotation	goodness label
02388403-v	mendidik	KEEP	O
02732798-v	menampung	KEEP	O
07866723-n	popiah	KEEP	X
02205272-v	menawan	DELETE	O
08544593-n	pelosok	KEEP	O
02398608-a	tajam	KEEP	O
03781244-n	vihara	KEEP	None
04468005-n	kereta	KEEP	None
03671668-n	bentuk	DELETE	O
07416714-n	saat	KEEP	O
13581067-n	mayoritas	KEEP	None
07560652-n	makanan	KEEP	O
00292937-a	sibuk	KEEP	Y
00613018-v	kehilangan	KEEP	O
00658052-v	tata	KEEP	Y
01941093-v	menerbangkan	KEEP	O
06773434-n	perjanjian	KEEP	Y
02165304-v	menoleh	KEEP	O
01427127-v	mengarik	DELETE	O
00927017-a	yang ada	KEEP	X
00759944-v	shalat	KEEP	X
08955951-n	seoul	KEEP	None
12582231-n	kelapa	KEEP	None
08646566-n	arena	KEEP	O
06784639-n	teka-teki	KEEP	None
80000849-n	ronggeng	KEEP	None
08981244-n	filipina	KEEP	X
07151380-n	ungkapan	KEEP	Y
05098942-n	luas	KEEP	Y
13613294-n	m²	KEEP	X
01664172-v	sedia	DELETE	Y
00067129-v	sesenggukan	KEEP	L
06878071-n	senyuman	KEEP	Y
03289268-n	ukiran	KEEP	O
80000683-x	ha	KEEP	None
01999218-v	menuju	DELETE	O
01000214-v	tercatat	KEEP	L
07258664-n	referensi	KEEP	None
03113835-n	pakaian	KEEP	O
00713167-v	berhubung	KEEP	None
01044730-a	santai	KEEP	None
01569566-v	pasang	KEEP	Y
09617867-n	juru	KEEP	Y
07557165-n	penganan	KEEP	None
13562133-n	penyimpanan	KEEP	O
08247021-n	duet	KEEP	L
08168978-n	negara	KEEP	Y
02006834-v	menggenjot	DELETE	O
08997487-n	negeri singa	KEEP	None
00259019-r	langsung	KEEP	O
01462005-v	gaulkan	DELETE	X
76100079-x	utas	KEEP	None
01969150-a	setiap tahun	KEEP	X
00931467-v	berarti	KEEP	O
00922051-a	glamor	KEEP	O
00726153-v	mencengangkan	KEEP	O
00004475-n	benda hidup	DELETE	O
08223802-n	masyarakat	KEEP	O
00082308-r	di sana	KEEP	O
07978423-n	mitologi	KEEP	O
08430568-n	talian	DELETE	None
03849814-n	teater opera	KEEP	X
00568304-a	lepas	KEEP	None
07818277-n	garlic	KEEP	None
00276862-a	teduh	KEEP	O
05790758-n	favorit	KEEP	None
02296726-v	menawarkan	KEEP	O
14326607-n	sakit kepala	KEEP	None
00114431-n	tarik	KEEP	O
00347610-v	bermain muzik	DELETE	X
02701210-v	memuatkan	DELETE	O
13769033-n	sepoci	KEEP	None
09291513-n	biji buah	KEEP	None
13980845-n	konflik	KEEP	Y
00661091-n	terapi	KEEP	Y
76100081-x	butir	KEEP	None
11894958-n	lobak	KEEP	O
00857923-v	bergembira	KEEP	O
05844105-n	bergaya	DELETE	Y
02427103-v	mendirikan	KEEP	O
06341340-n	sri	KEEP	None
01839690-v	datang dari	KEEP	X
02460964-a	asli	KEEP	Y
04807050-n	patut	KEEP	Y
07152259-n	slogan	KEEP	Y
80000583-n	masala	KEEP	None
02346878-a	perdagangan	KEEP	O
07491708-n	semarak	KEEP	None
01205696-v	berhubungan	KEEP	O
02540670-v	melayani	KEEP	O
00833546-v	info	KEEP	None
05839024-n	berbentuk	DELETE	O
02327200-v	memberi	KEEP	O
10741590-n	pengguna	KEEP	Y
02512053-n	ikan	KEEP	Y
02324478-v	memberikan	KEEP	O
00008600-r	sendiri	KEEP	O
02614181-v	menjadi	DELETE	O
01114458-n	ritel	KEEP	X
02355596-v	dapat	DELETE	O
90000299-n	nonya	KEEP	None
90000330-n	kuih bom	KEEP	None
06279326-n	e-mail	KEEP	X
02663848-v	mengandalkan	KEEP	O
00087736-v	mengantongi	DELETE	O
07851298-n	krim keju	KEEP	X
80001130-n	-nya	KEEP	None
02892389-a	haji	KEEP	None
07757132-n	cherry	KEEP	None
00744916-a	tidak mudah	KEEP	X
13744521-n	panca	KEEP	None
00320852-n	kata pengantar	DELETE	O
13659760-n	km	KEEP	None
00893435-v	menjelaskan	KEEP	O
00734054-v	membilang	DELETE	O
04928903-n	tatakrama	KEEP	None
00372111-a	kecoklatan	KEEP	None
02120451-v	menyengat	KEEP	Y
01617192-v	menjadikan	KEEP	O
00037226-r	benar	KEEP	O
80001507-n	perairan	DELETE	None
00770437-v	membawakan	DELETE	O
02623906-v	memegas	DELETE	O
00447472-a	dekat	KEEP	O
01284212-a	spektakuler	KEEP	O
02014165-v	berangkat	KEEP	Y
00824321-a	barat	KEEP	O
01511520-a	terlalu	KEEP	O
08593262-n	rangka	DELETE	O
13713003-n	garis lurus	DELETE	X
01919931-a	riuh	KEEP	Y
13659760-n	kilometer	KEEP	Y
04804451-n	ketidakakuratan	KEEP	None
01214265-v	memegang	DELETE	O
02630189-v	ditonjolkan	KEEP	None
01326528-v	melalap	DELETE	O
01906322-v	menapak	KEEP	O
06601327-n	maksud	KEEP	Y
08664443-n	premis	DELETE	Y
01129876-v	bela	KEEP	None
15160076-n	tanggal	KEEP	O
02551380-a	keringlah	KEEP	None
02646378-v	patut	KEEP	O
07892512-n	wine	KEEP	None
08275185-n	aliran	KEEP	O
02599636-v	memasukkan	DELETE	O
12435152-n	daun bawang	KEEP	X
01959294-a	reguler	KEEP	None
01182709-v	menyajikan	KEEP	O
00217728-a	cantik	KEEP	Y
02434976-v	bergabung	KEEP	O
09820263-n	atlet	KEEP	O
01181902-n	tindakan	KEEP	Y
08372411-n	orang	DELETE	O
12709103-n	pomelo	KEEP	O
02711194-a	gigi	KEEP	O
03990474-n	poci	KEEP	None
01329830-a	dipadu	KEEP	X
02561332-v	gunakan	KEEP	X
01987545-n	prawns	KEEP	None
90000136-n	hai tien lo	KEEP	None
01095218-v	bertugas	KEEP	O
02359340-v	dapat	KEEP	O
00107384-a	sedikit	KEEP	None
13659162-n	m	KEEP	None
00802318-v	izinkan	KEEP	X
02664769-v	setaraf	DELETE	O
02737187-v	diwariskan	KEEP	X
08208560-n	tim	KEEP	O
01647229-v	mendirikan	KEEP	O
10077593-n	peminat	KEEP	Y
02020590-v	melenda	DELETE	O
07596967-n	permen	KEEP	None
01148283-a	gembira	KEEP	Y
09393605-n	ladang	KEEP	O
00543200-a	eksentrik	KEEP	O
07709046-n	kacang hijau	KEEP	O
00833546-v	perbarui	KEEP	None
09385911-n	bagian	KEEP	O
00795720-n	kerja	KEEP	Y
07020538-n	tarian	KEEP	O
02756346-a	lokal	KEEP	Y
02355596-v	membuat	DELETE	O
80001374-n	limau purut	KEEP	None
00305821-r	larut	KEEP	L
14924602-n	giok	KEEP	None
13744722-n	enam	KEEP	O
13956488-n	kebenaran	KEEP	Y
01884176-a	berpotensi	KEEP	O
01767329-a	personal	KEEP	Y
00678923-a	malam	KEEP	O
08187033-n	rombongan	KEEP	Y
80001272-v	timbul-tenggelam	KEEP	None
04081281-n	no signboard seafood	KEEP	None
01930482-v	membutuhkan	DELETE	O
00417787-r	lewat	KEEP	None
02959720-a	swedia	KEEP	None
00048858-a	jangan	KEEP	O
01930482-v	mengambil	KEEP	L
13772020-n	secentong	KEEP	None
01863970-a	menyeluruh	KEEP	O
00173338-v	makan	DELETE	O
02077656-v	membutuhkan	DELETE	O
01640855-v	menjalankan	KEEP	O
03122400-a	taiwan	KEEP	None
02108026-v	rasakan	KEEP	None
00027807-n	berbentuk	DELETE	O
11428023-n	sinar	KEEP	O
00522751-v	perolehi	DELETE	X
02159969-a	penderita	KEEP	None
00024073-r	bukan	KEEP	O
00049003-n	sesuatu	DELETE	O
00015388-n	hewan	KEEP	O
00327145-v	ukus	KEEP	None
00588888-v	mengerti	KEEP	Y
07064715-n	rock ‘n’ roll	KEEP	None
01919931-a	hiruk-pikuk	KEEP	None
02133435-v	tampak	KEEP	O
00020103-a	pencil	KEEP	None
02219094-v	didukung	KEEP	None
02547586-v	menolong	KEEP	Y
00615757-a	matang	KEEP	O
00754107-a	kerajinan	KEEP	O
07867616-n	fondue	KEEP	None
02214736-a	satu	KEEP	L
01711445-v	tampil	KEEP	None
00898691-v	soja	KEEP	L
02397234-a	semarak	KEEP	None
00669762-v	membawa pergi	DELETE	X
00048475-r	sekarang	KEEP	O
00049016-a	pelengkap	KEEP	O
04353803-n	total	KEEP	L
08441203-n	undang-undang	KEEP	Y
02655135-v	manusia	DELETE	O
02267989-v	duduki	DELETE	X
03082979-n	komputer	KEEP	Y
02006834-v	mendarat	DELETE	O
01639714-v	merancang	KEEP	Y
01410606-a	seumpamanya	DELETE	X
00720497-v	nantikan	KEEP	None
00382635-v	tampilan	KEEP	None
07571324-n	bercitarasa	KEEP	None
00008007-r	seluruh	KEEP	L
00951831-a	dalam	KEEP	O
11472960-n	cahaya lampu	KEEP	X
80000289-n	otah	KEEP	None
01839690-v	datang	KEEP	O
13745270-n	9	KEEP	None
90000322-n	kavadi	KEEP	None
80001382-x	ya	KEEP	None
07678428-n	kornet	KEEP	None
07578879-n	sesendok	KEEP	None
02110793-v	mendapat	KEEP	O
13878112-n	pusaran	KEEP	O
01858094-a	khusus	KEEP	O
01807219-a	memuaskan	KEEP	O
80001329-n	Ca sau pau	KEEP	None
02394183-v	membawa	DELETE	O
04202417-n	kedai	KEEP	Y
01233156-n	dikunjungi	KEEP	X
02614181-v	manusia	DELETE	O
13850148-n	terakhir	KEEP	O
04099175-n	roket	KEEP	O
13658828-n	cm	KEEP	None
08677628-n	tempat	KEEP	O
07580053-n	lauk	KEEP	O
05956019-n	etika	KEEP	O
01649809-v	menggelar	KEEP	None
03671473-n	bentuk	DELETE	O
00724081-a	andal	KEEP	O
80001041-n	Marina Waterfront	KEEP	None
00660851-v	meningkatkan	KEEP	O
00022131-r	selaku	DELETE	O
00599992-v	menelaah	DELETE	O
01073822-a	asin	KEEP	O
00087736-v	menguncupkan	DELETE	O
01467370-v	kelilingi	KEEP	X
90000223-n	india selatan	KEEP	None
01765926-a	bingung	KEEP	O
00124659-v	kembalilah	KEEP	None
01380122-v	menyebar	KEEP	L
06893285-n	penampilan	KEEP	None
02560585-v	mengakok	DELETE	O
00233687-r	dengan	DELETE	O
08588152-n	isi	KEEP	O
01580467-v	menyelubungi	KEEP	O
08593262-n	asal-usul	DELETE	X
01233020-a	pipih	KEEP	Y
02904233-n	hamparan	KEEP	O
07776866-n	hidangan laut	KEEP	X
02129604-n	macan	KEEP	Y
07542675-n	kekecewaan	KEEP	O
07596046-n	gula pasir	KEEP	O
06799897-n	garis lurus	DELETE	X
01443097-a	sejenak	KEEP	O
08982037-n	cebu	KEEP	None
03528263-n	peralatan	KEEP	None
01611067-a	yang berbahaya	KEEP	X
90000172-n	au jardin	KEEP	None
00784342-v	menanyakan	KEEP	O
02240668-a	tumbuk	KEEP	O
00950592-a	ke dalam	DELETE	X
10709131-n	pihak ketiga	KEEP	None
01014251-a	antara	KEEP	O
01150559-v	ditujukan	KEEP	None
00406243-v	siapkan	KEEP	None
07818029-n	biji adas	KEEP	X
80000795-n	Kilometer persegi	KEEP	None
08523483-n	jantung	KEEP	Y
01427127-v	mengalami	DELETE	O
00756076-v	membutuhkan	DELETE	O
07384473-n	geraman	KEEP	None
00226071-v	encer	KEEP	Y
90000326-n	ayam goreng	KEEP	None
02755017-v	menggeleng	DELETE	O
06969129-n	bahasa sansekerta	KEEP	None
08678515-n	padat	KEEP	O
80001132-n	-ku	KEEP	None
03149347-a	diselenggarakan	KEEP	X
04728068-n	bermutu	KEEP	Y
05061977-n	pelan	KEEP	None
00745499-v	memesan	KEEP	O
02959007-a	portugis	KEEP	None
00950272-a	bhg dlm	DELETE	X
90000030-n	Festival Musik Mosaic	KEEP	None
80000397-n	serangoon	KEEP	None
00071840-r	dari	DELETE	O
02717102-v	memiliki	DELETE	O
02204363-a	18 ke	KEEP	None
03294048-n	alat	KEEP	O
01279028-a	bersejarah	KEEP	O
07644967-n	ayam	KEEP	O
01103021-a	khas	KEEP	O
08513718-n	harta	DELETE	O
01193099-v	rakus	DELETE	O
07020895-n	musik	KEEP	O
00582388-n	bidang	KEEP	O
02130300-v	melihat	KEEP	O
00755447-v	memohon	KEEP	O
02208537-v	meluwengkan	DELETE	O
01768724-a	sendiri	KEEP	L
07870167-n	lasagna	KEEP	None
02187296-a	sepuluh	KEEP	O
03023449-a	paris	KEEP	None
03860882-n	hasil	KEEP	O
02702508-v	nampak	DELETE	O
07436100-n	semburan	KEEP	O
05915356-n	yang	KEEP	M
13713003-n	tali	DELETE	O
00068577-r	beserta	KEEP	O
07555863-n	makanan yang keras	DELETE	X
01564144-v	binasa	DELETE	O
00770437-v	menyayukan	DELETE	O
01582200-v	selimuti	KEEP	L
05715283-n	rasa	KEEP	O
00770437-v	mendapati	DELETE	O
05901508-n	kebijakan	KEEP	None
00310716-a	teliti	KEEP	O
02110220-v	mengalami	KEEP	O
02203868-a	ke 14	KEEP	None
01285136-a	megah	KEEP	O
02208537-v	membutuhkan	DELETE	O
00734318-a	musnah	KEEP	O
00475183-v	menyehatkan	KEEP	O
09769345-n	yang dialamatkan	KEEP	X
00081836-n	shopping	KEEP	X
07573696-n	jalanan	KEEP	None
06466479-n	mantra-mantra	KEEP	None
00749230-a	mudah	KEEP	Y
14514039-n	arena	KEEP	O
02964782-a	chinese	KEEP	None
14519366-n	beriklim	KEEP	None
80001931-x	enggak	KEEP	None
80000650-n	kerala	KEEP	None
02263692-v	memberi	KEEP	O
00515684-n	ekstravaganza	KEEP	None
00700451-a	tentu	KEEP	Y
07026352-n	opera	KEEP	Y
03880531-n	wajan	KEEP	Y
09805475-n	arsitektur	KEEP	None
07971582-n	dinasti	KEEP	O
02701210-v	memuat	DELETE	O
08430568-n	nirai	DELETE	None
05839024-n	kelas	DELETE	O
00551215-n	program	KEEP	Y
90000078-n	Penggunaan Data Statistik	KEEP	None
04981139-n	bunyi	KEEP	O
02109190-v	menderita	KEEP	O
09328904-n	jurong	KEEP	None
00017445-r	saja	KEEP	None
03113152-n	kosmetik	KEEP	O
00200777-r	ditunggu-tunggu	KEEP	None
02898711-n	17 lengkungan	KEEP	None
06939656-n	bali	KEEP	None
13763384-n	yang terendah	KEEP	X
00264366-n	diri	KEEP	None
02050132-v	lewati	KEEP	X
01140290-a	lentur	KEEP	O
00022131-r	seperti	KEEP	O
10694258-n	guru	KEEP	Y
02717102-v	membebani	DELETE	O
02208265-v	dapat	DELETE	O
00324878-a	bertanggung jawab	KEEP	O
07374756-n	gabungan	KEEP	O
05715864-n	bercitarasa	KEEP	None
01028294-v	sebut	KEEP	None
01180351-v	dihidangkannya	KEEP	X
05581693-n	kuku	KEEP	Y
10627082-n	nyawa	KEEP	O
00135455-a	cocok	KEEP	O
08641113-n	sekeliling	DELETE	Y
00923793-v	menampilkan	KEEP	O
02767433-n	sandaran	KEEP	O
02972194-a	indonesia	KEEP	None
90000194-n	east coast road	KEEP	None
03295140-n	bangunan	KEEP	O
00301589-a	terhitung	KEEP	L
13374281-n	kredit	KEEP	Y
02209936-v	memasukkan	DELETE	O
08489497-n	tempat ini	KEEP	X
02530167-v	menjajal	KEEP	O
07814203-n	kayu manis	KEEP	L
02648502-v	berlaku	KEEP	O
00342443-v	jatuh	KEEP	L
07721456-n	cabe	KEEP	X
01728919-a	silam	KEEP	O
09359803-n	gunungan	KEEP	None
01906320-a	olahan	KEEP	None
01380122-v	propaganda	DELETE	O
00819274-n	konservasi	KEEP	Y
90000186-n	robertson quay	KEEP	None
01026897-n	upacara	KEEP	O
90000006-n	ayam buah keluak	KEEP	None
02402825-v	disingkir	DELETE	X
01460457-n	telur	KEEP	O
00219809-a	cantik	KEEP	O
15165289-n	pagi	KEEP	Y
00294245-v	memekar	DELETE	None
04743370-n	perpaduan	KEEP	O
01896031-n	bulu	KEEP	Y
05035353-n	tenaga	KEEP	O
02187161-a	hole	KEEP	None
05176188-n	akses	KEEP	Y
03027793-a	victoria	KEEP	None
02385102-a	segelas	KEEP	None
08766988-n	jerman	KEEP	X
01010025-a	penutup	KEEP	L
01849746-v	menjelang	KEEP	O
02701210-v	muat	DELETE	O
90000088-n	selama deepavali	KEEP	None
09179264-n	sebab	KEEP	O
13768850-n	sepiring	KEEP	X
01645601-v	menjadikan	KEEP	O
01040410-a	terlupakan	KEEP	None
06256229-n	daun	DELETE	O
05058140-n	kecepatan	KEEP	O
02719399-v	cenderung	KEEP	O
09466280-n	alam semesta	KEEP	Y
05641556-n	koordinasi	KEEP	O
10632576-n	spesialis	KEEP	O
01514655-v	luncurkan	KEEP	X
08674970-n	sebidang tanah	DELETE	X
04216634-n	ayakan	KEEP	O
02614181-v	nampak	DELETE	O
02701210-v	mengandung	DELETE	O
02647918-v	membahana	KEEP	O
90000137-n	hajjah fatimah mosque	KEEP	None
04727214-n	suasana	KEEP	O
00737246-a	terpelihara	KEEP	Y
00457998-v	mengental	KEEP	O
01357342-a	seru	KEEP	None
10378780-n	operator	KEEP	O
07309781-n	gerak	KEEP	M
02150948-v	lihat	KEEP	O
00522751-v	berlaku	DELETE	O
01927654-a	bangsa	KEEP	Y
04697442-n	kesederhanaan	KEEP	L
00487018-r	bawah tanah	KEEP	None
02560585-v	membikin	DELETE	O
05924920-n	baku	DELETE	O
90000040-n	hajjah fatimah	KEEP	None
03093076-a	olimpiade	KEEP	O
07669788-n	babi panggang	KEEP	X
01621555-v	buat	KEEP	X
04508949-n	pakaian dalam	KEEP	O
08372411-n	suku bangsa	KEEP	L
06372680-n	mitos	KEEP	Y
00001740-n	kewujudan	DELETE	O
00184229-a	diberikan	KEEP	X
00498610-r	di atas	KEEP	None
00487525-a	standard	DELETE	None
03001627-n	kursi	KEEP	O
02629535-v	digabung	KEEP	None
01930512-a	siap	KEEP	O
01326528-v	memusnahkan	DELETE	O
02614181-v	bermukim	DELETE	O
02604760-v	bersifat	KEEP	None
02717102-v	membawa pergi	DELETE	X
14429484-n	juara	KEEP	None
03938244-n	bantal	KEEP	Y
02416278-v	bekerja sama	KEEP	O
00336831-a	pasti	KEEP	Y
90000320-n	wewangian	KEEP	None
00317008-a	ukir	KEEP	L
02109190-v	dialami	KEEP	None
11418460-n	keberuntungan	KEEP	O
03154786-a	melewati	KEEP	None
00846509-v	mencemarkan	KEEP	O
00046299-r	super	KEEP	L
01462005-v	merampai	DELETE	O
01183573-v	memenuhi	KEEP	O
00118032-r	maka	KEEP	O
01728919-s	yang silam	KEEP	None
07711371-n	kentang rebus	KEEP	X
06256229-n	kelopak bunga	DELETE	O
12435777-n	daun bawang china	KEEP	None
09189411-n	afrika	KEEP	None
01211019-n	dukungan	KEEP	O
03073977-n	pilar	KEEP	X
00585810-n	menteri	KEEP	O
15183802-n	hari besar	KEEP	None
02697725-v	orang	DELETE	O
01072262-v	memperebutkan	KEEP	Y
01640855-v	diterapkan	KEEP	None
11410625-n	akibat	KEEP	Y
10346392-n	alami	KEEP	O
07698915-n	pasta	KEEP	O
01428578-v	membentuk watak	DELETE	X
01011973-a	permulaan	KEEP	O
04900357-n	budi	KEEP	O
02236624-v	mengakui	DELETE	O
00953127-a	dalam bangunan	DELETE	X
14006945-n	aksi	KEEP	O
13954253-n	adanya	KEEP	O
03671668-n	garisan	DELETE	None
02685951-v	membuyarkan	DELETE	O
00311687-n	ziarah	KEEP	O
07328756-n	produsen	KEEP	L
01156568-v	bertemu	KEEP	O
02018049-v	naik	KEEP	Y
02126430-a	letak	KEEP	None
08647616-n	tempat	DELETE	Y
02964782-a	china	KEEP	None
00482673-a	setimpal	KEEP	O
00610592-n	sastra	KEEP	None
15142167-n	dari awal	KEEP	X
00652900-v	banding	KEEP	Y
02075857-v	membawa	DELETE	O
03679986-n	beban	KEEP	Y
02629535-v	berisikan	KEEP	None
08664443-n	tempat-tempat	DELETE	X
03074922-a	suku	KEEP	O
00724150-v	mengkhususkan	KEEP	O
00464894-n	golf	KEEP	Y
00799076-v	mencabut	DELETE	O
01394922-a	lebih kecil	KEEP	X
02302187-a	teratur	KEEP	O
00487525-a	baku	KEEP	O
00043003-r	maka	KEEP	L
02553234-a	kering	KEEP	O
03255648-n	orang-orang	DELETE	None
08619795-n	medan	DELETE	O
00394813-v	berkarau	DELETE	Y
01777210-v	seperti	DELETE	O
02267686-a	apapun	KEEP	X
02020590-v	mengenai	DELETE	O
01182709-v	menyerahkan	DELETE	O
01180351-v	menyajikan makanan	KEEP	X
02193765-v	melainkan	KEEP	O
04677514-n	rupa	KEEP	L
90000312-n	sambal	KEEP	None
00005526-v	gelagapan	KEEP	None
01180351-v	dsajikan	KEEP	None
01209576-n	service	KEEP	X
07747607-n	limau	KEEP	Y
07806221-n	salad	KEEP	None
01564144-v	mengubrak-abrik	DELETE	O
00875141-v	menyarankan	KEEP	O
07942152-n	orang	KEEP	Y
02685951-v	mengoperkan	DELETE	O
02210855-v	mengambilkan	DELETE	Y
02236124-v	membeli	DELETE	O
02093888-a	selamat	KEEP	O
08374049-n	koloni	KEEP	Y
07724943-n	biji	DELETE	O
00402855-a	terang	KEEP	O
01673946-a	biasa	KEEP	O
02203362-v	temui	KEEP	None
08641113-n	tempat	DELETE	O
00127815-a	berikut	KEEP	L
00017782-a	bisa diterima	KEEP	None
15224486-n	masa	KEEP	O
00024356-r	nggak	KEEP	None
13661273-n	$	KEEP	None
04959230-n	warna	KEEP	O
02062212-v	terlontar	KEEP	None
00643250-a	kreatif	KEEP	O
00661824-v	simaklah	KEEP	None
03704210-n	majalah	KEEP	Y
01326528-v	melenyapkan	DELETE	O
00916464-n	pertanian	KEEP	Y
09451517-n	permukaan	KEEP	O
02593107-v	bekerja	KEEP	O
02600490-v	menggunakan	KEEP	O
00849357-a	anggun	KEEP	Y
05902327-n	rencana	KEEP	O
01052428-a	wangi	KEEP	O
07071942-n	musik	KEEP	None
06277992-n	video	KEEP	L
00238022-n	sst	DELETE	X
00239908-r	tiap	KEEP	O
02669081-v	di luar	DELETE	None
00320852-n	pembukaan	DELETE	O
