synset	lemma	annotation	goodness label	confidence	language
02237782-v	memberikan	KEEP	O	1	English
15121406-n	sejarah	KEEP	Y	1	Japanese
02388403-v	mendidik	KEEP	O	1	English
02732798-v	menampung	KEEP	O	1	English
02205272-v	menawan	DELETE	O	1	Arabic
08544593-n	pelosok	KEEP	O	1	English
03781244-n	vihara	KEEP	None	1	Spanish
04468005-n	kereta	KEEP	None	1	Portuguese
03671668-n	bentuk	DELETE	O	1	English
07416714-n	saat	KEEP	O	1	English
13581067-n	mayoritas	KEEP	None	1	English
07560652-n	makanan	KEEP	O	1	English
00292937-a	sibuk	KEEP	Y	1	Finnish
00613018-v	kehilangan	KEEP	O	1	English
00658052-v	tata	KEEP	Y	1	English
01941093-v	menerbangkan	KEEP	O	1	English
06773434-n	perjanjian	KEEP	Y	1	Finnish
02165304-v	menoleh	KEEP	O	1	English
01427127-v	mengarik	DELETE	O	1	English
00927017-a	yang ada	KEEP	X	1	English
00759944-v	shalat	KEEP	X	1	Greek
08955951-n	seoul	KEEP	None	1	Polish
12582231-n	kelapa	KEEP	None	1	English
08646566-n	arena	KEEP	O	1	English
06784639-n	teka-teki	KEEP	None	1	English
08981244-n	filipina	KEEP	X	1	Japanese
07151380-n	ungkapan	KEEP	Y	1	English
05098942-n	luas	KEEP	Y	1	Finnish
13613294-n	m²	KEEP	X	1	Polish
01664172-v	sedia	DELETE	Y	1	English
00067129-v	sesenggukan	KEEP	L	1	Finnish
06878071-n	senyuman	KEEP	Y	1	English
03289268-n	ukiran	KEEP	O	1	Spanish
01999218-v	menuju	DELETE	O	1	English
01000214-v	tercatat	KEEP	L	1	English
07258664-n	referensi	KEEP	None	1	Spanish
03113835-n	pakaian	KEEP	O	1	Portuguese
00713167-v	berhubung	KEEP	None	1	English
01569566-v	pasang	KEEP	Y	1	English
09617867-n	juru	KEEP	Y	1	English
07557165-n	penganan	KEEP	None	1	English
13562133-n	penyimpanan	KEEP	O	1	English
08247021-n	duet	KEEP	L	1	English
08168978-n	negara	KEEP	Y	1	Arabic
02006834-v	menggenjot	DELETE	O	1	English
08997487-n	negeri singa	KEEP	None	1	English
00259019-r	langsung	KEEP	O	1	English
01462005-v	gaulkan	DELETE	X	1	Finnish
00931467-v	berarti	KEEP	O	1	Finnish
00726153-v	mencengangkan	KEEP	O	1	English
00004475-n	benda hidup	DELETE	O	1	Spanish
08223802-n	masyarakat	KEEP	O	1	Japanese
00082308-r	di sana	KEEP	O	1	Portuguese
07978423-n	mitologi	KEEP	O	2	English, Portuguese
08430568-n	talian	DELETE	None	1	Thai
03849814-n	teater opera	KEEP	X	1	Polish
07818277-n	garlic	KEEP	None	4	English, Polish, Slovene, Portuguese
05790758-n	favorit	KEEP	None	1	English
02296726-v	menawarkan	KEEP	O	1	English
14326607-n	sakit kepala	KEEP	None	1	English
00114431-n	tarik	KEEP	O	1	English
00347610-v	bermain muzik	DELETE	X	1	English
02701210-v	memuatkan	DELETE	O	1	English
13769033-n	sepoci	KEEP	None	1	English
09291513-n	biji buah	KEEP	None	1	Finnish
13980845-n	konflik	KEEP	Y	1	Portuguese
00661091-n	terapi	KEEP	Y	1	Spanish
11894958-n	lobak	KEEP	O	1	Slovene
00857923-v	bergembira	KEEP	O	1	English
05844105-n	bergaya	DELETE	Y	1	Portuguese
02427103-v	mendirikan	KEEP	O	1	English
06341340-n	sri	KEEP	None	2	Spanish, Slovene
01839690-v	datang dari	KEEP	X	1	English
04807050-n	patut	KEEP	Y	1	English
07152259-n	slogan	KEEP	Y	1	English
07491708-n	semarak	KEEP	None	1	Japanese
01205696-v	berhubungan	KEEP	O	1	English
02540670-v	melayani	KEEP	O	1	English
00833546-v	info	KEEP	None	1	English
05839024-n	berbentuk	DELETE	O	1	English
02327200-v	memberi	KEEP	O	1	English
10741590-n	pengguna	KEEP	Y	1	Spanish
02512053-n	ikan	KEEP	Y	1	English
02324478-v	memberikan	KEEP	O	1	English
00008600-r	sendiri	KEEP	O	1	English
02614181-v	menjadi	DELETE	O	1	English
01114458-n	ritel	KEEP	X	1	English
02355596-v	dapat	DELETE	O	1	Spanish
06279326-n	e-mail	KEEP	X	1	English
02663848-v	mengandalkan	KEEP	O	2	Spanish, Portuguese
00087736-v	mengantongi	DELETE	O	1	English
02892389-a	haji	KEEP	None	1	Spanish
07757132-n	cherry	KEEP	None	1	English
00744916-a	tidak mudah	KEEP	X	4	Finnish, English, Spanish, Thai
13744521-n	panca	KEEP	None	1	English
00320852-n	kata pengantar	DELETE	O	1	Spanish
13659760-n	km	KEEP	None	1	Polish
00893435-v	menjelaskan	KEEP	O	1	Finnish
00734054-v	membilang	DELETE	O	1	English
04928903-n	tatakrama	KEEP	None	1	English
02120451-v	menyengat	KEEP	Y	1	English
01617192-v	menjadikan	KEEP	O	1	Spanish
00037226-r	benar	KEEP	O	1	English
00770437-v	membawakan	DELETE	O	1	Spanish
02623906-v	memegas	DELETE	O	1	English
02014165-v	berangkat	KEEP	Y	1	Arabic
00824321-a	barat	KEEP	O	1	English
08593262-n	rangka	DELETE	O	1	Spanish
13713003-n	garis lurus	DELETE	X	1	English
01919931-a	riuh	KEEP	Y	1	Portuguese
13659760-n	kilometer	KEEP	Y	1	Polish
04804451-n	ketidakakuratan	KEEP	None	1	English
01214265-v	memegang	DELETE	O	1	Greek
02630189-v	ditonjolkan	KEEP	None	1	English
01326528-v	melalap	DELETE	O	1	Finnish
01906322-v	menapak	KEEP	O	1	Arabic
06601327-n	maksud	KEEP	Y	1	English
08664443-n	premis	DELETE	Y	1	English
01129876-v	bela	KEEP	None	1	English
02551380-a	keringlah	KEEP	None	1	English
02646378-v	patut	KEEP	O	1	Spanish
08275185-n	aliran	KEEP	O	1	English
02599636-v	memasukkan	DELETE	O	1	English
01959294-a	reguler	KEEP	None	1	Polish
01182709-v	menyajikan	KEEP	O	1	English
00217728-a	cantik	KEEP	Y	1	Spanish
02434976-v	bergabung	KEEP	O	1	English
09820263-n	atlet	KEEP	O	1	Slovene
01181902-n	tindakan	KEEP	Y	1	English
08372411-n	orang	DELETE	O	1	English
02711194-a	gigi	KEEP	O	2	English, Spanish
03990474-n	poci	KEEP	None	1	English
01329830-a	dipadu	KEEP	X	1	English
02561332-v	gunakan	KEEP	X	1	English
01095218-v	bertugas	KEEP	O	1	English
02359340-v	dapat	KEEP	O	1	English
13659162-n	m	KEEP	None	1	Polish
00802318-v	izinkan	KEEP	X	1	English
02664769-v	setaraf	DELETE	O	1	Spanish
02737187-v	diwariskan	KEEP	X	1	English
08208560-n	tim	KEEP	O	1	English
01647229-v	mendirikan	KEEP	O	1	Finnish
10077593-n	peminat	KEEP	Y	1	Spanish
02020590-v	melenda	DELETE	O	1	English
01148283-a	gembira	KEEP	Y	1	English
09393605-n	ladang	KEEP	O	1	Spanish
00543200-a	eksentrik	KEEP	O	1	Portuguese
07709046-n	kacang hijau	KEEP	O	1	English
00833546-v	perbarui	KEEP	None	1	English
09385911-n	bagian	KEEP	O	1	Spanish
00795720-n	kerja	KEEP	Y	1	English
07020538-n	tarian	KEEP	O	1	English
02756346-a	lokal	KEEP	Y	2	English, Spanish
02355596-v	membuat	DELETE	O	1	Spanish
00305821-r	larut	KEEP	L	1	English
14924602-n	giok	KEEP	None	1	Thai
13744722-n	enam	KEEP	O	1	English
13956488-n	kebenaran	KEEP	Y	1	Greek
01767329-a	personal	KEEP	Y	1	Polish
00678923-a	malam	KEEP	O	1	English
08187033-n	rombongan	KEEP	Y	1	English
04081281-n	no signboard seafood	KEEP	None	1	English
01930482-v	membutuhkan	DELETE	O	1	English
00417787-r	lewat	KEEP	None	1	English
02959720-a	swedia	KEEP	None	3	Finnish, English, Polish
01930482-v	mengambil	KEEP	L	1	English
13772020-n	secentong	KEEP	None	1	Finnish
00173338-v	makan	DELETE	O	1	Arabic
02077656-v	membutuhkan	DELETE	O	1	Arabic
01640855-v	menjalankan	KEEP	O	1	Arabic
03122400-a	taiwan	KEEP	None	1	English
02108026-v	rasakan	KEEP	None	1	English
00027807-n	berbentuk	DELETE	O	1	English
11428023-n	sinar	KEEP	O	1	Spanish
00522751-v	perolehi	DELETE	X	1	English
00024073-r	bukan	KEEP	O	2	Slovene, Portuguese
00049003-n	sesuatu	DELETE	O	1	Spanish
00015388-n	hewan	KEEP	O	1	Spanish
00327145-v	ukus	KEEP	None	1	English
00588888-v	mengerti	KEEP	Y	1	English
07064715-n	rock ‘n’ roll	KEEP	None	1	Slovene
01919931-a	hiruk-pikuk	KEEP	None	1	Portuguese
02133435-v	tampak	KEEP	O	1	English
02219094-v	didukung	KEEP	None	1	English
02547586-v	menolong	KEEP	Y	1	English
00615757-a	matang	KEEP	O	1	English
00754107-a	kerajinan	KEEP	O	1	English
01711445-v	tampil	KEEP	None	1	English
00898691-v	soja	KEEP	L	1	English
00669762-v	membawa pergi	DELETE	X	1	English
00048475-r	sekarang	KEEP	O	1	Finnish
04353803-n	total	KEEP	L	1	English
08441203-n	undang-undang	KEEP	Y	1	Spanish
02655135-v	manusia	DELETE	O	1	English
02267989-v	duduki	DELETE	X	1	Greek
03082979-n	komputer	KEEP	Y	1	Spanish
02006834-v	mendarat	DELETE	O	1	English
01639714-v	merancang	KEEP	Y	1	English
01410606-a	seumpamanya	DELETE	X	1	Spanish
00382635-v	tampilan	KEEP	None	1	English
07571324-n	bercitarasa	KEEP	None	1	English
00008007-r	seluruh	KEEP	L	1	Finnish
01839690-v	datang	KEEP	O	1	English
13745270-n	9	KEEP	None	1	English
07578879-n	sesendok	KEEP	None	1	English
02110793-v	mendapat	KEEP	O	1	English
13878112-n	pusaran	KEEP	O	1	English
01858094-a	khusus	KEEP	O	2	English, Spanish
01807219-a	memuaskan	KEEP	O	1	Spanish
02394183-v	membawa	DELETE	O	1	English
04202417-n	kedai	KEEP	Y	1	English
01233156-n	dikunjungi	KEEP	X	1	Greek
02614181-v	manusia	DELETE	O	1	English
13850148-n	terakhir	KEEP	O	1	English
04099175-n	roket	KEEP	O	1	English
13658828-n	cm	KEEP	None	1	Polish
08677628-n	tempat	KEEP	O	1	English
07580053-n	lauk	KEEP	O	1	Portuguese
05956019-n	etika	KEEP	O	1	English
01649809-v	menggelar	KEEP	None	1	Portuguese
03671473-n	bentuk	DELETE	O	1	Spanish
00724081-a	andal	KEEP	O	1	English
00660851-v	meningkatkan	KEEP	O	1	English
00022131-r	selaku	DELETE	O	1	Portuguese
00599992-v	menelaah	DELETE	O	1	English
01073822-a	asin	KEEP	O	3	Finnish, English, Portuguese
00087736-v	menguncupkan	DELETE	O	1	English
01467370-v	kelilingi	KEEP	X	1	English
00124659-v	kembalilah	KEEP	None	1	English
01380122-v	menyebar	KEEP	L	1	English
06893285-n	penampilan	KEEP	None	1	English
02560585-v	mengakok	DELETE	O	1	Spanish
00233687-r	dengan	DELETE	O	1	English
08588152-n	isi	KEEP	O	1	English
01580467-v	menyelubungi	KEEP	O	1	English
08593262-n	asal-usul	DELETE	X	1	Spanish
07776866-n	hidangan laut	KEEP	X	1	English
02129604-n	macan	KEEP	Y	1	English
07542675-n	kekecewaan	KEEP	O	1	Polish
07596046-n	gula pasir	KEEP	O	1	Polish
06799897-n	garis lurus	DELETE	X	1	English
08982037-n	cebu	KEEP	None	1	English
01611067-a	yang berbahaya	KEEP	X	1	Spanish
00784342-v	menanyakan	KEEP	O	1	Finnish
01150559-v	ditujukan	KEEP	None	1	Spanish
00406243-v	siapkan	KEEP	None	1	English
08523483-n	jantung	KEEP	Y	1	Finnish
01427127-v	mengalami	DELETE	O	1	English
00756076-v	membutuhkan	DELETE	O	1	English
07384473-n	geraman	KEEP	None	1	English
00226071-v	encer	KEEP	Y	1	English
02755017-v	menggeleng	DELETE	O	1	English
06969129-n	bahasa sansekerta	KEEP	None	2	English, Portuguese
08678515-n	padat	KEEP	O	1	English
03149347-a	diselenggarakan	KEEP	X	1	English
04728068-n	bermutu	KEEP	Y	1	Finnish
05061977-n	pelan	KEEP	None	1	English
00745499-v	memesan	KEEP	O	1	English
02959007-a	portugis	KEEP	None	1	English
00950272-a	bhg dlm	DELETE	X	1	English
00071840-r	dari	DELETE	O	1	English
02717102-v	memiliki	DELETE	O	1	Finnish
03294048-n	alat	KEEP	O	1	Japanese
07644967-n	ayam	KEEP	O	1	English
01103021-a	khas	KEEP	O	1	English
08513718-n	harta	DELETE	O	1	Spanish
01193099-v	rakus	DELETE	O	1	English
07020895-n	musik	KEEP	O	1	Spanish
00582388-n	bidang	KEEP	O	1	Finnish
02130300-v	melihat	KEEP	O	1	English
00755447-v	memohon	KEEP	O	1	English
02208537-v	meluwengkan	DELETE	O	1	English
07870167-n	lasagna	KEEP	None	2	English, Spanish
03023449-a	paris	KEEP	None	1	Portuguese
03860882-n	hasil	KEEP	O	1	English
02702508-v	nampak	DELETE	O	1	English
07436100-n	semburan	KEEP	O	1	English
13713003-n	tali	DELETE	O	1	English
00068577-r	beserta	KEEP	O	1	English
07555863-n	makanan yang keras	DELETE	X	1	English
01564144-v	binasa	DELETE	O	1	English
00770437-v	menyayukan	DELETE	O	1	Spanish
01582200-v	selimuti	KEEP	L	1	English
05715283-n	rasa	KEEP	O	1	Spanish
00770437-v	mendapati	DELETE	O	1	Spanish
05901508-n	kebijakan	KEEP	None	1	English
02110220-v	mengalami	KEEP	O	1	English
02208537-v	membutuhkan	DELETE	O	1	English
00734318-a	musnah	KEEP	O	1	English
00475183-v	menyehatkan	KEEP	O	1	English
09769345-n	yang dialamatkan	KEEP	X	1	Finnish
00081836-n	shopping	KEEP	X	1	English
07573696-n	jalanan	KEEP	None	1	Finnish
06466479-n	mantra-mantra	KEEP	None	1	Polish
00749230-a	mudah	KEEP	Y	1	English
14514039-n	arena	KEEP	O	1	English
02964782-a	chinese	KEEP	None	1	Portuguese
14519366-n	beriklim	KEEP	None	1	Spanish
02263692-v	memberi	KEEP	O	1	English
00515684-n	ekstravaganza	KEEP	None	1	English
00700451-a	tentu	KEEP	Y	1	Portuguese
07026352-n	opera	KEEP	Y	1	Polish
03880531-n	wajan	KEEP	Y	1	English
09805475-n	arsitektur	KEEP	None	1	English
07971582-n	dinasti	KEEP	O	1	Slovene
02701210-v	memuat	DELETE	O	1	English
08430568-n	nirai	DELETE	None	1	Thai
05839024-n	kelas	DELETE	O	1	English
00551215-n	program	KEEP	Y	1	Slovene
04981139-n	bunyi	KEEP	O	1	Polish
02109190-v	menderita	KEEP	O	1	Spanish
09328904-n	jurong	KEEP	None	1	English
00017445-r	saja	KEEP	None	1	English
03113152-n	kosmetik	KEEP	O	1	English
02898711-n	17 lengkungan	KEEP	None	1	English
13763384-n	yang terendah	KEEP	X	3	English, Spanish, Polish
00264366-n	diri	KEEP	None	1	English
02050132-v	lewati	KEEP	X	1	Arabic
00022131-r	seperti	KEEP	O	1	Portuguese
10694258-n	guru	KEEP	Y	1	Portuguese
02717102-v	membebani	DELETE	O	1	Finnish
02208265-v	dapat	DELETE	O	1	English
07374756-n	gabungan	KEEP	O	1	Spanish
05715864-n	bercitarasa	KEEP	None	1	English
01028294-v	sebut	KEEP	None	1	Finnish
01180351-v	dihidangkannya	KEEP	X	1	Finnish
05581693-n	kuku	KEEP	Y	1	Polish
10627082-n	nyawa	KEEP	O	1	Polish
08641113-n	sekeliling	DELETE	Y	1	English
00923793-v	menampilkan	KEEP	O	1	English
02767433-n	sandaran	KEEP	O	1	English
02972194-a	indonesia	KEEP	None	2	Finnish, English
03295140-n	bangunan	KEEP	O	1	Portuguese
13374281-n	kredit	KEEP	Y	1	English
02209936-v	memasukkan	DELETE	O	1	English
08489497-n	tempat ini	KEEP	X	1	English
02530167-v	menjajal	KEEP	O	1	English
07814203-n	kayu manis	KEEP	L	1	Thai
02648502-v	berlaku	KEEP	O	1	English
00342443-v	jatuh	KEEP	L	1	Slovene
07721456-n	cabe	KEEP	X	1	Portuguese
09359803-n	gunungan	KEEP	None	1	Portuguese
01380122-v	propaganda	DELETE	O	1	English
00819274-n	konservasi	KEEP	Y	1	Japanese
01026897-n	upacara	KEEP	O	1	English
02402825-v	disingkir	DELETE	X	1	Spanish
01460457-n	telur	KEEP	O	1	English
15165289-n	pagi	KEEP	Y	1	Portuguese
00294245-v	memekar	DELETE	None	1	English
04743370-n	perpaduan	KEEP	O	1	English
01896031-n	bulu	KEEP	Y	1	Portuguese
05035353-n	tenaga	KEEP	O	1	Greek
05176188-n	akses	KEEP	Y	1	English
03027793-a	victoria	KEEP	None	1	English
02385102-a	segelas	KEEP	None	1	Finnish
08766988-n	jerman	KEEP	X	1	English
01010025-a	penutup	KEEP	L	1	English
01849746-v	menjelang	KEEP	O	1	English
02701210-v	muat	DELETE	O	1	English
09179264-n	sebab	KEEP	O	1	Spanish
13768850-n	sepiring	KEEP	X	1	Greek
01645601-v	menjadikan	KEEP	O	1	English
01040410-a	terlupakan	KEEP	None	1	English
06256229-n	daun	DELETE	O	1	English
05058140-n	kecepatan	KEEP	O	1	Spanish
02719399-v	cenderung	KEEP	O	1	Arabic
09466280-n	alam semesta	KEEP	Y	1	English
05641556-n	koordinasi	KEEP	O	1	Portuguese
10632576-n	spesialis	KEEP	O	1	Spanish
01514655-v	luncurkan	KEEP	X	1	English
08674970-n	sebidang tanah	DELETE	X	1	Spanish
04216634-n	ayakan	KEEP	O	1	English
02614181-v	nampak	DELETE	O	1	English
02701210-v	mengandung	DELETE	O	1	English
04727214-n	suasana	KEEP	O	1	Greek
00737246-a	terpelihara	KEEP	Y	1	English
00457998-v	mengental	KEEP	O	1	English
10378780-n	operator	KEEP	O	1	English
07309781-n	gerak	KEEP	M	1	English
02150948-v	lihat	KEEP	O	1	English
00522751-v	berlaku	DELETE	O	1	English
01927654-a	bangsa	KEEP	Y	1	Portuguese
04697442-n	kesederhanaan	KEEP	L	1	English
00487018-r	bawah tanah	KEEP	None	1	English
02560585-v	membikin	DELETE	O	1	Spanish
05924920-n	baku	DELETE	O	1	English
03093076-a	olimpiade	KEEP	O	1	Portuguese
01621555-v	buat	KEEP	X	1	Spanish
04508949-n	pakaian dalam	KEEP	O	2	English, Greek
08372411-n	suku bangsa	KEEP	L	1	English
06372680-n	mitos	KEEP	Y	1	Polish
00001740-n	kewujudan	DELETE	O	1	English
00498610-r	di atas	KEEP	None	1	Finnish
03001627-n	kursi	KEEP	O	1	Slovene
02629535-v	digabung	KEEP	None	1	English
01930512-a	siap	KEEP	O	1	English
01326528-v	memusnahkan	DELETE	O	1	Finnish
02614181-v	bermukim	DELETE	O	1	English
02604760-v	bersifat	KEEP	None	1	Spanish
02717102-v	membawa pergi	DELETE	X	1	Finnish
14429484-n	juara	KEEP	None	1	English
03938244-n	bantal	KEEP	Y	1	Portuguese
02416278-v	bekerja sama	KEEP	O	1	English
00336831-a	pasti	KEEP	Y	1	English
00317008-a	ukir	KEEP	L	1	English
02109190-v	dialami	KEEP	None	1	Spanish
11418460-n	keberuntungan	KEEP	O	1	Finnish
00846509-v	mencemarkan	KEEP	O	1	English
00046299-r	super	KEEP	L	1	Finnish
01462005-v	merampai	DELETE	O	1	Finnish
01183573-v	memenuhi	KEEP	O	1	English
00118032-r	maka	KEEP	O	1	Finnish
01728919-s	yang silam	KEEP	None	1	English
06256229-n	kelopak bunga	DELETE	O	1	English
09189411-n	afrika	KEEP	None	1	Slovene
01211019-n	dukungan	KEEP	O	1	Polish
03073977-n	pilar	KEEP	X	1	English
00585810-n	menteri	KEEP	O	1	English
02697725-v	orang	DELETE	O	1	English
01072262-v	memperebutkan	KEEP	Y	1	English
01640855-v	diterapkan	KEEP	None	1	Arabic
11410625-n	akibat	KEEP	Y	1	English
10346392-n	alami	KEEP	O	1	English
07698915-n	pasta	KEEP	O	1	Portuguese
01428578-v	membentuk watak	DELETE	X	1	English
04900357-n	budi	KEEP	O	1	English
02236624-v	mengakui	DELETE	O	1	Arabic
14006945-n	aksi	KEEP	O	1	English
13954253-n	adanya	KEEP	O	1	Finnish
03671668-n	garisan	DELETE	None	1	English
02685951-v	membuyarkan	DELETE	O	1	English
00311687-n	ziarah	KEEP	O	1	Greek
07328756-n	produsen	KEEP	L	1	English
01156568-v	bertemu	KEEP	O	1	Finnish
02018049-v	naik	KEEP	Y	1	English
08647616-n	tempat	DELETE	Y	1	English
02964782-a	china	KEEP	None	1	Portuguese
00610592-n	sastra	KEEP	None	1	Spanish
15142167-n	dari awal	KEEP	X	1	English
00652900-v	banding	KEEP	Y	1	Finnish
02075857-v	membawa	DELETE	O	1	English
03679986-n	beban	KEEP	Y	1	English
02629535-v	berisikan	KEEP	None	1	English
08664443-n	tempat-tempat	DELETE	X	1	English
03074922-a	suku	KEEP	O	2	English, Portuguese
00724150-v	mengkhususkan	KEEP	O	1	English
00464894-n	golf	KEEP	Y	2	English, Spanish
00799076-v	mencabut	DELETE	O	1	English
00043003-r	maka	KEEP	L	1	English
03255648-n	orang-orang	DELETE	None	1	English
08619795-n	medan	DELETE	O	1	Greek
00394813-v	berkarau	DELETE	Y	1	English
01777210-v	seperti	DELETE	O	1	English
02020590-v	mengenai	DELETE	O	1	English
01182709-v	menyerahkan	DELETE	O	1	English
01180351-v	menyajikan makanan	KEEP	X	1	Finnish
02193765-v	melainkan	KEEP	O	3	English, Spanish, Portuguese
04677514-n	rupa	KEEP	L	1	English
00005526-v	gelagapan	KEEP	None	1	English
01180351-v	dsajikan	KEEP	None	1	Finnish
01209576-n	service	KEEP	X	1	English
07747607-n	limau	KEEP	Y	1	Slovene
07806221-n	salad	KEEP	None	1	English
01564144-v	mengubrak-abrik	DELETE	O	1	English
00875141-v	menyarankan	KEEP	O	1	English
07942152-n	orang	KEEP	Y	1	English
02685951-v	mengoperkan	DELETE	O	1	English
02210855-v	mengambilkan	DELETE	Y	1	English
02236124-v	membeli	DELETE	O	1	Arabic
02093888-a	selamat	KEEP	O	1	English
08374049-n	koloni	KEEP	Y	1	English
07724943-n	biji	DELETE	O	1	Portuguese
02203362-v	temui	KEEP	None	1	Arabic
08641113-n	tempat	DELETE	O	1	English
