Indonesian	Arabic	Croatian	Thai	Slovene	Finnish	Portuguese	Japanese	Polish	Greek 	Chinese 	English 	Spanish 
Adam	وعرف آدم	Adamu	None	Adama	Aadamista	Adão	None	Adamowych	ο Αδαμ	亞當	of Adam	de Adán
manusia	انسان	čovjeka	None	ljudi	ihmisten	carne	None	człowieka	ανθρωπων	人	men	los hombres
telinga	اذنه	uši	None	ušesno	korvillaan	ouvidos	None	Uszy	ωτιον	耳朵	ears	oídos
Arah	آرح	None	None	None	None	None	None	None	None	亞拉	of Arah	None
Asa	وعمل آسا	Asa	อาสา	Asovo	Ja Aasa	Asa	None	Azy	ο Ασα	亞撒	of Asa	Asa
Asaf	وآساف	Asafu	อาสา	Asafu	Aasafin	Asafe	None	Asafowych	Ασαφ	亞薩	of Asaph	de Asaf
akan makan	ويطعمونك	None	None	None	None	None	None	None	None	None	None	comeré
saya makan	آكل	None	None	None	None	None	None	None	εφαγον	None	None	None
makan makanan	يأكلوا	blagovati	None	None	syömästä	None	None	None	None	None	None	None
yang menghanguskan	آكلة	None	None	None	None	None	None	None	καταναλισκον	None	None	consumidor
ribu	وربوات	tisuće	None	tisoči	tuhatta	milhares	None	tysiące	χιλιαδες	千	thousands	talentos
kilometer	وخمسة	tisuća	None	dan hoda	vakomitan	mil	None	pięć tysięcy	χιλιαδων	一 萬 肘	thousand	None
senjata	وسلاح	oružjem	None	orodje	aseita	armaduras	None	broó	πανοπλιας	器 械	weapons	jabalina
akan memerintahkan	آمر	None	None	None	None	None	None	None	None	None	None	None
perintahkan	اوصيكم	zapovijedam	None	ukazujem	käskyjä	ordeno	None	rozkazuję	προσταζω	None	command	mando
memerintahkan	آمرك	zapovjedio	None	ukaže	käski	ordenou	None	rozkazał	None	吩 咐	commanded	orden
ia percaya kepada	آمن	None	None	None	None	None	None	None	None	None	None	None
hidup dengan aman	آمنا	None	None	None	None	None	None	None	None	None	None	None
aman	آمنين	Mir	None	skrbi	turvallisesti	seguros	None	bezpiecznie	εν ασφαλεια	None	safety	seguro
Engkau percaya	آمنت	None	None	None	None	None	None	None	None	None	None	None
percayai	آمنت	None	None	veroval	None	crido	None	uwierzył	πιστευσει	None	assured	None
Saudara percaya	آمنتم	None	None	None	None	None	None	None	None	None	None	None
percaya itu	آمنوا	None	None	None	None	None	None	None	None	None	None	None
Amos	عاموس	Amosovu	โม ส	Amozovemu	Aamos	Amós	None	Amosa	Αμως	阿摩司	of Amoz	de Amós
Amon	عمون	Amonovim	โมน	Amonovim	ammonilaisten	amonita	None	Ammonowi	υιων Αμμων	亞們	the children of Ammon	los hijos de Amón
Amin	آمين	Amen	เอเมน	Amen	sanokoon	amém	None	Amen	των αιωνων αμην	阿 們	Amen	amén
Hormat	آمين	Milost	เมน	duhom	Armo	None	None	None	None	阿們	Grace	None
perkakas	آنية	predmete	None	orodje	kalut	utensílios da	None	naczynia	σκευος	器皿	vessels	utensilios
perlengkapannya	اوانيها	priborom	None	posodo	pyhän kaluston	seus utensílios	None	naczyniem jego	των σκευων	器具	vessels	utensilios
perlengkapan itu	آنيته	None	None	None	None	None	None	None	None	None	None	None
Aduh	آه	Jao	None	Gorje	Voi	Ah	None	Ach	Ουαι	哀哉	Alas	Ay
di Betel	آون	None	None	None	None	None	None	None	None	伯特利	None	None
serigala	ذئب	čaglji	None	volkove	susi	chacais	None	wilk	λυκος	野狗	wolves	lobos
hutan	وعر	šumu	None	gozdom	metsästä	chacais	None	lasu	δρυμου	樹林	wood	el bosque
keajaiban	قوات	čudo	None	znamenj	tunnusteon	milagrosos	None	dziwne	σημειον	神蹟	wonders	señales
tanda	علامة	žig	None	znamenje	merkkinä	sinal	None	znakiem	σημειον	None	token	señal
Engkaukah	أأنت	Jesi li ti	None	None	Oletko sinä	None	None	None	None	None	None	None
akan mencambuk	أؤدبه	None	None	None	None	None	None	None	None	None	None	None
Apakah Engkau	أانت	None	None	None	Etkö	None	None	None	None	None	None	None
Apolos	أبلوس	Apolonov	None	Apolov	Apollos	Apolo	None	Apollosowy	Απολλως	亞波羅	or Apollos	Apolos
apakah engkau	أتحبني	None	None	None	None	None	None	None	None	None	None	None
Tahukah engkau	أتعلم	None	None	None	None	Sabes	None	None	Εννοεις	None	None	None
kira	أتظنون	None	None	None	luuletteko	None	None	None	νομιζετε	None	thought	None
perapian	اتون	peći	เตาไฟ	peči	pätsi	fornalha	None	piec	χωνευτηριου	狺	the furnace	horno
ia datang	أتى	None	None	None	None	vier	None	None	None	None	None	venga
diadili	مقضي	sudu	None	sodbo	None	apelado	None	sądem	κρινομαι	None	judgment	juzgado
direbut	أخذت	osvojen	None	vzet	None	tomada	None	wzięta	None	被 攻取	taken	tomada
Adma	أدمة	Admi	None	Adami	Adman	Admá	None	None	της Αδαμα	押 瑪	the king of Admah	Adma
mengizinkan	يطلق	dopusti	None	dovolil	sallinut	permitiu	None	pozwolił	None	許	None	permitió
Tunjukkanlah	فاصنعوا	Pokaži	None	pokaži	Osoita	Produzi	None	None	Καμετε	與悔改	Teach	Muéstranos
Arauna	ارونة	Ornana	None	Ornan	Ornanin	Araúna	None	Ornana	Ορναν	亞勞 拿	Ornan	Ornán
kuperlihatkan	أرهم	None	None	None	None	None	None	None	εδειξα	None	None	None
Ariokh	أريوخ	Arjok	None	Ariohu	Arjok	Arioque	None	Aryjoch	Αριωχ	亞 略	Arioch	Arioc
fondasi	أسس	None	รากฐาน	temelj	None	os alicerces	None	None	ην εθεμελιωθη	None	the foundation	cimientos
sebagai kawan	أسلام	None	None	None	None	None	None	None	None	None	None	None
Apakah Saul	أشاول	None	None	None	None	None	None	None	None	None	None	None
saksi	والشاهد	svjedokom	พยาน	priči	todistajiksi	testemunha	None	Świadkiem	μαρτυς	見證	witnesses	testigos
Kutunjukkan	أظهر	None	None	pokažem	None	mostrar	None	None	σοι δειξει	指示	was shewed	mostraré
Kristus datang	أظهر	None	None	None	None	None	None	None	None	None	None	None
sudah dibebaskan	اشتروا	None	None	None	None	None	None	None	None	None	None	None
Berilah kami	أعطنا	None	None	None	None	None	None	None	None	None	None	None
diberi	يعطى	None	None	None	annettiin	dado	None	dane	δοθη	None	given	None
Belum cukupkah	أقليل	None	None	None	None	None	None	None	None	None	None	None
dihidupkan	يقومون	uskršavaju	None	vstajajo	kuolleista	ressuscitou	None	wzbudził	None	經叫	raised	resucitado
Elasar	ألاسار	Elasara	None	elasarskega	Ellasarin	None	None	None	None	拉 非	of Ellasar	Elasar
Eldad	ألداد	Eldad	ลดา ด	Eldad	Eldad	Eldade	None	Eldad	Ελδαδ	伊 利 達	Eldad	None
Apakah kalian tidak	ألستم	None	None	None	None	None	None	None	None	None	None	None
Eleazar	العازار	Eleazaru	เลอาซา	Eleazarju	Eleasarin	Eleazar	None	Eleazarowi	Ελεαζαρ	以利亞撒	of Eleazar	su hijo Eleazar
Apakah Tuan	ألعلك	None	None	None	None	None	None	None	None	None	None	None
Apakah saya	ألعلنا	None	None	None	None	None	None	None	None	None	None	None
Elkana	ألقانة	sina Elkane	None	Elkana	tämän poika Elkana	Elcana	None	Elkana	υιου του Ελκανα	以利 加拿	was Elkanah	hijo de Elcana
memasukkan	ألقت	None	None	None	None	deitavam	None	wrzuciła	None	投 了	None	None
Bukankah	أما	Zar	None	Ni	Enkö	Porventura não	None	Izali nie	None	豈 不 是	None	None
Eliezer	واليعزر	Eliezer	เยเซอ	Eliezer	Elieserin	Eliézer	None	Elijezer	Ελιεζερ	以利 以謝	was Eliezer	de Eliezer
Elifas	اليفاز	Elifaz	None	Elifaza	teemanilainen Elifas	Elifaz	None	Elifasa	Ελιφας	提 幔	sons of Eliphaz	de Elifaz
dicatat	هي مكتوبة	zar sve to nije zapisano	None	zapisane	None	escritos	None	zapisano	ειναι γεγραμμεναι	都 寫	written	no están escritos
perintah	وصية	zapovjedio	None	zapovedi	käskyn	mandamento	None	rozkazanie	None	命 令	commandment	mandato
perintah untuk	أمرا	None	None	None	None	None	None	None	None	None	None	None
orang jujur	أمناء	None	None	None	oikeamieliset	None	None	szczerzy	None	None	None	None
nabikah	أنبيا	None	None	None	None	None	None	None	προφητην	先知麼	None	None
Enos	أنوش	Enoš	โน ช	Enos	Enos	Enos	None	Enos	Ενως	以 挪 士	of Enos	Enós
Ohola	أهولة	Oholi	โอ โฮ ลา	Ohola	Ohola	Aolá	None	None	Οολα	阿 荷	Oholah	Ohola
Oholibama	وأهوليبامة	Oholibame	None	Oholibama	Oholibaman	Aolíbama	None	Oolibamy	Ολιβαμα	阿 何 利 巴 瑪	Oholibamah	Oholibama
Oholiba	أهوليبة	Oholibi	None	Oholiba	Oholiba	Aolibá	None	pałała	Οολιβα	阿 荷 利 巴	lewdness	Oholiba
diangkat TUHAN	أوخذ	None	None	None	None	None	None	None	None	None	None	None
Uri	اوري	Urijeva	None	Urija	Uurin	îri	None	Ury	Ουρι	烏利	of Uri	de Uri
Hidup	ليحي	života	None	življenja	Hoosianna	Hosana ao	None	żywota	ζωης	生命 冊上	living God	Viva
Pujilah	مبارك	Hvalite	None	Hosana	Ylistäkää	Bendito seja	None	Błogosławcież	Ευλογητος	們 要 讚 美	Praise	Bendecid a
Onan	أونان	Onan	None	Onan	Oonan	Onã	None	Onan	Αυναν	俄南	Onan	Onán
peraturan agama	أيجوز	None	None	None	None	None	None	None	None	鏽	None	None
saya percaya	اؤمن	None	None	upanja	None	None	None	None	None	None	None	None
izinkanlah	دع	dopusti	None	dovoli	salli	None	None	dopuść	συγχωρησον μοι	容	please let	permíteme
mempunyai ayah	اب	None	None	None	None	None	None	None	None	None	None	None
bapak	وابا	ocem	None	oče	isäksi	pai	None	ojciec	πατηρ	None	father	padre
bapaknya	اباه	None	None	očeta	isäänsä	None	None	None	πατηρ εις αυτον	他 的 父	his father	None
ayahmu	لابيك	tvoj otac	None	očetu	sinun isäsi	vosso pai	None	ojca waszego	πατρος σου	你 父親	your father	vuestro padre
orang tuamu	اباك	None	None	None	None	None	None	None	None	None	None	None
ayah	ابيك	otac	None	očetu	syntyi	pai	None	ojcem	πατρος	父親	the father	su padre
Bapamu	لان اباكم	Otac	None	Očetu	teidän Isänne	teu Pai	None	Ojca waszego	Πατηρ	你 們 的 父	your Father	vuestro Padre
untuk menjemput ayah	اباكم	None	None	None	None	None	None	None	None	None	None	None
ayahnya	ابيها	svoga oca	None	očetu	isäänsä	pai	None	ojciec	του πατρος	他 父	his father	su padre
jari	ابهام	prstiju	None	prstov	None	dedos	None	palce	μεγαλον δακτυλον	右耳垂	toes	dedos
ayah mereka	ابيهما	None	None	None	None	None	None	None	None	None	None	None
Bapa	الآب	Oče	None	Očetu	Isää	Pai	None	Ojcu	ο Πατηρ	父	the Father	el Padre
mulai	ابتدأ	stane	None	začno	rupesivat	desde	None	poczęli	ηρχισαν	None	began	comenzó
bergembira	يفرح	radujte se	เปรม	veselili	iloitseva	None	None	radujcie	χαρη	歡喜	rejoice	regocijaos
gembira	فرحا	veseljem	None	radost	riemuun	júbilo	None	radością	None	歡 喜	rejoiced	júbilo
abadi	رحمته	vječnu	อมตะ	večna	iankaikkisesti	eterna	None	wieczną	ελεος αυτου	永遠	forever	su misericordia
yang kekal	الابدي	None	None	None	iankaikkiseen	eterno	None	None	αιωνιου	None	None	None
dan kekal	ابدية	None	None	None	iankaikkiseen	eterna	None	wiecznego	None	None	None	None
Kuperlakukan	ابرئك	None	None	None	None	None	None	None	None	極壞	None	None
Abram	ابرام	Abramu	None	Abramova	Ja Abram	Abrão	None	Abramem	ο Αβραμ	亞伯蘭	And Abram	de Abram
Abraham	ابراهيم	Abrahamu	None	Abrahamom	Ja Aabraham	Abraão	None	Abrahamów	ο Αβρααμ	亞 伯 拉 罕	of Abraham	de Abraham
jarum	ابرة ايسر	iglene	None	igli	None	agulha	None	igielne	βελονης	的 眼	of a needle	aguja
berpenyakit kulit	يطهرون	gubavaca	None	gobavci	pitalista	leproso	None	trędowaci	λεπρος	長大痲瘋	lepers	leprosos
menderita penyakit kulit	ابرص	None	None	gobavca	None	None	None	None	λεπρα	大痲瘋	None	None
kulit yang	الابرص	mješine	None	None	nahkuri	lepra	None	None	λεπρος	None	leper	None
kencana	ابريز	None	None	None	None	None	None	szczerego	None	None	None	oro fino
murni	نقي	čistoga	None	čisto	puhtainta	pura	None	czystem	καθαρου	清潔	pure	refinado
Absalom	وكان ابشالوم	Abšalomom	ซา โลม	Absaloma	Mutta Absalom	Absalão	None	Absalomowe	Αβεσσαλωμ	押 沙龍	of Absalom	de Absalón
Abisai	وابشاي	Sarvijin	None	Abisaja	Abisaita	Abisai	None	Abisajego	Αβισαι	洗魯雅	the hand of Abishai	Abisai
memberitakan Kabar	ابشر	None	None	None	None	None	None	None	None	None	None	anunciando
Melihat Engkau	ابصرتك	None	None	None	None	None	None	None	None	None	None	None
kupandang	ابصره	None	None	None	None	None	None	None	θεωρω	None	I see	None
menghentikan	ابطلت	None	None	None	None	cessar	None	None	None	None	None	None
Jauhilah	حد	klonite	None	None	None	Mas evita	None	None	None	要 逃 避	shun	evita
kubenci	ابغضت	mrzim	None	sovražim	vihaan	None	None	nienawidzę	None	恨惡	hatred	None
aku benci	ابغضه	None	None	None	None	None	None	None	None	None	None	None
benci kepadanya	ابغضه	None	None	None	vihasivat	None	None	None	None	None	None	None
benci	يبغضونه	svojoj mržnji	None	sovražil	vihaan	odeio	None	nienawiść	μισω	恨	hatred	odio
Epafras	ابفراس	None	None	Epafra	Epafras	Epafras	None	Epafras	None	巴 弗	Epaphras	Epafras
Epafroditus	ابفرودتس	None	None	Epafrodita	None	Epafrodito	None	Epafrodyta	None	以 巴 弗 提	Epaphroditus	None
kamu mulai	ابكار	None	None	None	None	None	None	None	None	None	None	None
bisu	صامتا	nijemi	None	molčal	mykän	mudos	None	niemy	κωφους	啞吧	was deaf	mudos
Iblis	الشيطان	đavlu	ตาน	hudiču	saatanan	Diabo	None	dyjabłu	του διαβολου	撒但	the devil	el diablo
Anak	الابن	Sinu	เมษ	Sinu	Pojan	Filho	None	dzieciątko	ο Υιος	羔	the Son	el Hijo
berumur	ابن	je bilo	None	star	None	tinha	None	urodzonych	ηλικιας	登 基	old	tenía
anak	بن	sinu	ชาย	sinu	tämä	filhos	None	syn	υιου του	兒子	the son	hijos
Hinom	هنوم	Hinomova	None	Hinomovega	None	Hinom	None	Hennomowego	υιου Εννομ	欣 嫩	the son of Hinnom	de Hinom
putri	بنت	kći	None	hči	tytär	filha	None	córki	θυγατρος	女兒	daughter	la hija
anak perempuan	ابنة	None	None	None	tytärtä	None	None	córek	None	女兒	None	None
Putri Tuan	ابنتك	None	None	None	Tyttäresi	None	None	None	None	None	None	None
anaknya	ابنها	svoga sina	None	sina	poikansa	seu filho	None	syna swego	υιον	None	son	su hijo
kawin dengan anak	ابنتي	None	None	None	tyttäreni	None	None	None	None	None	None	None
Anak perempuan saya	ابنتي	None	None	None	None	None	None	None	None	None	None	None
anakmu	ثمرة	None	None	sina svojega	poikasi	teu filho	None	syna twego	None	None	your son	tu hijo
anak Ibu	ابنك	None	None	None	None	None	None	None	None	None	None	None
putranya	ابنه	sinu	โอรส	sin njegov	pojallensa	seu filho	None	syna swego	None	他 兒 子	son	su hijo
anakku	ابني	sine	None	sin moj	tyttäreni	filho meu	None	syna mego	υιον	我兒	my son	mi hijo
Anakku	ابني	sine	None	Sin moj	poikani	Filho meu	None	Synu	υιε	兒 押	my son	hijo mío
Abner	وابنير	Abneru	None	Abnerjem	Niin Abner	Abner	None	Abnerowi	ο Αβενηρ	押 尼珥	Abner	Abner
kedua anaknya	ابنيه	None	None	None	None	None	None	None	None	None	None	None
pendiri kota	ابو	None	None	None	None	None	None	None	None	None	None	None
menjadi leluhur	ابو	None	None	None	polveutuvat	None	None	None	None	None	None	None
pintu gerbang	ابواب	None	None	vratom	porttitietä	porta	None	bram	None	門	None	None
kotamu	مدنكم	None	None	None	porttiesi	None	None	None	πυλων	None	your gates	vuestra ciudad
trompet	بالبوق	trublje	แตร	trobent	torvilla	buzina	None	trąb	τας σαλπιγγας	吹號	trumpets	trompetas
Bapa kami	ابونا	None	None	None	None	None	None	None	None	None	None	None
ayahku	متني ابي	ocu	None	očeta mojega	niinkuin Herra puhui	meu pai	None	ojcu memu	πατερα μου	我 父親	my father	padre
Abiel	ابيئيل	None	None	None	Abielin	Abiel	None	None	None	亞別 的	of Abiel	Abiel
Abia	ابيا	Abijina	None	Abijem	Abian	Abias	None	Abijasza	Αβια	亞比雅	of Abijah	de Abías
Abyatar	ابياثار	Ebjataru	None	Abiatarjevega	Ebjatarin	Abiatar	None	Abijatar	τον Αβιαθαρ	亞 比 亞他	of Abiathar	de Abiatar
Ebyasaf	ابياساف	Abjasafa	None	Ebiasafa	Ebjasafin	Ebiasafe	None	None	του Εβιασαφ	以 比 雅 撒 的	the son of Ebiasaph	de Ebiasaf
Abiam	ابيام	None	None	In Abijam	Abiam	Abião	None	Abijam	Αβιαμ	亞比央	of Abijam	Abías
Abib	ابيب	Abibu	None	Abibu	None	abibe	None	None	Αβιβ	None	Abib	de Abib
Abigail	ابيجايل	Abigajila	None	Abigaili	Abigailille	Abigail	None	Abigaili	Αβιγαιας	亞比該	of her hand	Abigaíl
Abihail	ابيحايل	Abihajla	None	Abihaila	Abihailin	Abiail	None	Abihaila	Αβιχαιλ	亞 比	of Abihail	de Abijail
kukalahkan	ابيدهم	None	None	uničil	None	None	None	None	None	必剿滅	None	destruiré
Abisag	ابيشج	None	None	None	Abisagin	Abisague	None	Abisag	Αβισαγ	亞比煞	Abishag	Abisag
Abisua	وابيشوع	Abišua	None	Abisua	Abisua	Abisua	None	None	Αβισσουα	亞比書	son of Abishua	Abisúa
putih	بيضاء	koži	ขาว	belih	valkoisilla	lustrosa	None	białych	λευκον	白衣	white	blancos
Abiezer	ابيعزر	Abiezerovoj	None	Abiezritov	abieserilaisten	abiezritas	None	Esrowego	None	亞比 以謝	Abiezrites	abiezeritas
bapakmu	ابيكم	None	None	None	None	None	None	None	None	你 們 的 父	are of your father	vuestro padre
yang dipuja ayahmu	ابيكم	None	None	None	None	None	None	None	None	None	None	None
Abimelekh	ابيمالك	Abimelekom	None	Abimelekom	Abimelekista	Abimeleque	None	Abimelechem	ο Αβιμελεχ	比 米勒	Abimelech	Abimelec
Bapa kita	ابينا	None	None	None	None	None	None	None	None	父神	None	None
ayah kami	ابينا	None	None	None	None	None	None	None	None	None	None	None
Abinadab	وابيناداب	Abinadabove	None	Abinadabove	Abinadabin	Abinadabe	None	Abinadabowego	Αβιναδαβ	比 拿達	of Abinadab	a Abinadab
Abinoam	ابينوعم	None	None	None	Abinoamin	Abinoão	None	None	Αβινεεμ	比 挪 菴	of Abinoam	de Abinoam
keledai	وحميرا	magarcima	ลา	oslico	aasit	jumentas	None	oślic	ονων	驢	the donkey	los asnos
keledainya	حماره	ni magarca njegova	ลา ของ	oslu	aasinsa	sua jumenta	None	osła	ονου	驢上	his donkey	su asno
saya mau mengikuti Bapak ke	اتبعك	None	None	None	None	None	None	None	None	None	None	None
Ikutlah Aku	اتبعني	None	None	None	None	None	None	None	None	None	None	Sígueme
Mari ikut Aku	اتبعني	None	None	None	None	None	None	None	None	None	None	None
mengikuti Aku	اتبعني	None	None	None	None	None	None	None	None	從我	None	sígame
kawin	زوجة	udaju	สมรส	omoži	vaimon	casamento	None	pojął	None	嫁	married	se casa
telah mengawini	اتخذوا	None	None	None	None	None	None	None	None	None	None	None
perisai	مجن	štitove	None	ščitom	kilvillä	paveses	None	tarcze	τας ασπιδας	盾牌	the shield	escudos
akan meninggalkan	يترك	None	None	zapustim	jätä	None	None	opuści	None	None	None	None
meninggalkan Bapak	اشك	ostaviti	None	zapustim	None	deixarei	None	None	αφησει	None	None	dejaré
meninggalkan engkau	يتركك	None	None	None	None	None	None	None	None	None	None	None
biarkanlah	اتركوا	None	None	panj njegov	None	deixai na	None	None	στελεχος	要 容	leave the	dejad
Biarkan	دعوا	Pustite	None	Pusti	jätä	Deixai	None	Zaniechaj	Αφησατε	使 你 民	Leave	dejarás
goyah	تتزعزع	uzdrhta	None	omahuje	horju	abalou	None	None	σαλευθη	動 搖	shaken	movido
Hormatilah	تتقي	Poštuj	ยำเกรง พระ	Strah	Kunnioita	Honra	None	Czcij	Τιμα	當 孝 敬	fear the	Honra
duduk makan	متكئ	stolom	เอนกาย	None	None	None	None	None	None	坐席	None	None
yang kauandalkan	اتكلت	None	None	None	None	None	None	None	θαρρεις	None	None	None
bicara	اتكلم	govoru	None	None	puhua	falarei	None	None	λαλησει	說話	speak	hablaré
berbicara	يتكلم	govoriti	None	govoriti	puhunut	falava	None	mówił	ελαλησε	說話	spoken	habló
tungku	اتون	peći	เตา	peči	None	forno	None	pieca	None	火 爐	the hearth	horno
bekas	اثر	None	None	None	None	virgindade	None	None	None	回 的	children of the	venido de la
ganti	لاثمه	nadoknaditi	แทน	None	None	pela	None	nagrodzi	αντι	替	restitution	None
kejahatan	شر	zlo	None	krivico	pahan	maldade	None	złego	κακου	惡	wickedness	maldad
Beranakcuculah yang	اثمروا	None	None	None	None	None	None	None	None	None	None	None
dosamu	ذنوبكم	opačine	None	greh vaš	syntisi	os teus pecados	None	nieprawości	των ανομιων	罪 孽	your sins	pecados
berharga	شهي	vredniji	None	None	kallis	preciosa	None	kosztowne	None	寶 貴	precious	valéis
kesalahannya	اثمه	None	None	None	None	None	None	None	None	None	None	None
dua orang	رجلين	dvojicu	None	dva	None	dois	None	dwaj	None	None	None	None
Dua	اثنتان	je dva	None	Dve	Kaksi	dois	None	dwóch	None	兩個	two	Dos
ada dua	اثنتي	None	None	None	None	None	None	None	None	None	None	None
dua	الثاني	dvije	สอง	dveh	kaksi	duas	None	dwaj	δυο	二	two	dos
Atena	اثينا	Ateni	None	Atenah	Ateenaan	atenienses	None	Atenach	Αθηνων	雅典	of Athens	de Atenas
menjawab	فاجاب	odvrati	ตอบ	odgovori	vastasivat	Respondeu	None	odpowiedzieli	απεκριθη	回答	said	respondió
Daniel	لدانيال	Daniele	None	Danielu	Danielin	Daniel	None	Danijelu	ο Δανιηλ	但以理	Daniel	Daniel
itu menjawab	اجابه	None	None	None	None	None	None	None	None	回答	None	None
orang itu menjawab	اجابهم	None	None	None	None	None	None	None	None	None	None	None
Mereka menjawab	فاجابوا	None	None	Odgovore	None	None	None	None	None	None	None	None
Agag	اجاج	Agaga	None	Agaga	Agagin	agagita	None	Agaga	Αγαγ	亞瑪力 王亞甲	Agagite	agageo
bertemu	اجتمع	susret	พบ	je dospela	None	encontro	None	None	συναντησιν	遇	met	veros
berkumpul	مجتمعين	skupili	None	zbero	koolla	reunidos	None	zebrali	None	聚 會	together	reunieron
Berkumpullah	اجتمعوا	Skupite	None	Zberite se	None	None	None	Zbierzcie	Συναχθητε	們 要 聚 集	Gather	Reuníos
kudapati	اجد	None	None	našel	None	None	None	None	ευρηκα	著 一	None	None
upah	اكرمك	plaću	None	obsipati	palkkansa	recompensará	None	jawnie	μισθος	工 價	wages	salario
upahnya	اجرته	plaću	None	plačilo	palkkansa	salário	None	None	μισθου	工 價	wages	salario
imbalan	اجرته	None	None	povračilo	None	recompensa	None	None	None	酬 他	None	None
diiringi	اجرته معه	naplata	None	None	None	None	None	None	None	在 他 那裡	None	acompañado
upah saya	اجرتي	None	None	None	None	None	None	None	None	None	None	None
menerima upahnya	اجره	None	None	None	None	None	None	None	None	None	None	None
tubuhmu	اجسادكم	None	None	None	teidän ruumiinne	None	None	None	None	身 子	your bodies	vuestro cuerpo
badanmu	جسدك	će tijelo tvoje	None	udov	sinun ruumiisi	corpo será	None	ciało twoje	σωμα σου θελει	百 骨	thy body	tu cuerpo
diri kami	اجسادنا	None	None	None	None	None	None	None	None	None	ourselves	None
tubuhnya	سيرها	tijela	None	telesa	ruumistansa	None	None	None	σωματα αυτων	身 子	bodies	cuerpos
Kujadikan	اجعلك	None	None	naredim	teen	porei	None	uczynię	None	None	None	None
karena	لانه	zbog	เพราะ	zaradi	sillä	causa	None	dla	επειδη	因為	for	porque
mendatangkan bencana	اجلب	None	None	None	None	None	None	None	επεφερεν	None	None	None
Kudatangkan	اجلبه	None	None	ga jaz	None	None	None	None	None	堆 在	None	traeré
Duduklah	اجلسوا	sjedni	None	sedi	Istukaa	None	None	siądź	καθου	你 坐	sit	siéntate
duduklah	اجلس	sjedni	None	Sedi	istu	None	None	siądź	καθησον	你 坐	sit	siéntate
untuk kita	اجلنا	None	None	None	None	None	None	None	None	None	None	None
Kumpulkanlah	اجمعوا	Skupite	จง รวบรวม	Zberite	Kootkaa	None	None	Zbierz	συναξον	招聚	Gather	Reúneme
senangnya	اجمل	omilio	None	None	None	None	None	aby cię	None	None	None	agradó
pasukan demi	اجنادهم	njihovom	None	None	None	None	None	None	None	None	None	None
sayap	واجنحتها	krilima	None	perutnic	siivillänsä	asa	None	skrzydłami	τας πτερυγας	翅膀	wings	sus alas
sayapnya	جناحيها	krila	None	perutnice	siivet	asas	None	skrzydła	τας πτερυγας	兩 翼	wings	sus alas
terbang	ركب	odleti	None	odleti	lensi	voante	None	leciała	πετωμενον	飛	rode	voló
terbentang	اجنحتهما	raširena	None	razprostirala peruti	siipensä	asas sobre	None	None	None	張 著 翅 膀	None	sus alas
datang nanti	اجيء	None	None	None	None	None	None	None	None	降臨	None	None
Aku datang	اجيء	None	None	None	None	vim	None	Przyszedłem	ερχομαι	None	None	None
